__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 19:38:59.040,0,0,0,2,0,1,1,2,7,480,-8738,-183,-399,-129,0,0,0,1,0,0,0,1,250,747,-7985,-15,77,105
'2017-08-02 19:38:59.050,0,0,0,2,0,1,1,2,5,481,-8713,-139,-453,-126,0,0,0,1,0,0,0,1,243,763,-8016,-15,77,105
'2017-08-02 19:38:59.060,0,0,0,2,0,1,1,2,-18,485,-8709,-85,-478,-117,0,0,0,1,0,0,0,1,248,742,-8011,-15,77,105
'2017-08-02 19:38:59.070,0,0,0,2,0,1,1,2,-59,456,-8676,-64,-462,-99,0,0,0,1,0,0,0,1,259,742,-7979,-15,77,105
'2017-08-02 19:38:59.080,0,0,0,2,0,1,1,2,-51,452,-8714,-51,-441,-104,0,0,0,1,0,0,0,1,240,749,-7999,-15,77,105
'2017-08-02 19:38:59.090,0,0,0,2,0,1,1,2,-56,489,-8648,-29,-404,-92,0,0,0,1,0,0,0,1,249,748,-8033,1,33,115
'2017-08-02 19:38:59.100,0,0,0,2,0,1,1,2,-69,457,-8627,-21,-361,-104,0,0,0,1,0,0,0,1,249,754,-8023,-20,27,96
'2017-08-02 19:38:59.110,0,0,0,1,0,1,1,2,-92,464,-8611,-3,-355,-89,0,0,0,1,0,0,0,1,235,784,-8024,-16,23,102
'2017-08-02 19:38:59.120,0,0,0,1,0,1,1,1,-57,480,-8638,18,-392,-101,0,0,0,1,0,0,0,1,260,749,-7979,-19,14,106
'2017-08-02 19:38:59.130,0,0,0,1,0,2,1,1,-50,509,-8721,80,-489,-98,0,0,0,1,0,0,0,1,259,799,-7988,-19,12,96
'2017-08-02 19:38:59.140,0,0,0,1,0,2,1,1,-75,475,-8711,112,-589,-102,0,0,0,1,0,0,0,1,237,747,-8008,-18,-9,101
'2017-08-02 19:38:59.150,0,0,0,1,0,2,1,1,-124,460,-8680,152,-635,-89,0,0,0,1,0,0,0,1,263,775,-7993,-25,-14,104
'2017-08-02 19:38:59.160,0,1,0,1,0,2,1,1,-124,472,-8660,172,-646,-96,0,0,0,1,0,0,0,1,238,770,-8000,-12,-17,91
'2017-08-02 19:38:59.170,0,1,0,1,0,2,1,1,-148,458,-8639,208,-642,-106,0,0,0,1,0,0,0,1,247,757,-8008,-10,-20,92
'2017-08-02 19:38:59.180,0,1,0,1,0,2,1,1,-185,418,-8631,208,-619,-111,0,0,0,1,0,0,0,1,223,737,-8029,-15,-18,95
'2017-08-02 19:38:59.190,0,1,0,1,0,2,1,0,-181,395,-8656,190,-580,-117,0,0,0,1,0,0,0,1,249,764,-7989,-21,-20,93
'2017-08-02 19:38:59.200,0,1,0,1,0,2,1,0,-169,404,-8716,123,-593,-123,0,0,0,1,0,0,0,1,259,780,-7995,-12,-17,97
'2017-08-02 19:38:59.210,0,1,0,1,0,2,1,0,-216,403,-8731,94,-593,-126,0,0,0,1,0,0,0,1,240,783,-8045,-24,-8,89
'2017-08-02 19:38:59.220,0,1,0,0,0,2,1,0,-194,455,-8724,63,-638,-135,0,0,0,1,0,0,0,1,236,748,-8029,-15,-2,102
'2017-08-02 19:38:59.230,0,1,0,0,0,2,1,0,-180,465,-8737,99,-732,-141,0,0,0,1,0,0,0,1,222,764,-8010,-16,11,96
'2017-08-02 19:38:59.240,0,2,0,0,1,2,1,0,-177,478,-8800,145,-896,-155,0,0,0,1,0,0,0,1,235,744,-8047,-15,33,101
'2017-08-02 19:38:59.250,0,2,0,0,1,2,1,0,-256,434,-8726,175,-1033,-191,0,0,0,1,0,0,0,1,229,754,-8008,-29,26,106
'2017-08-02 19:38:59.260,0,2,0,0,1,2,1,0,-236,458,-8828,140,-1114,-204,0,0,0,1,0,0,0,1,237,751,-8008,-17,22,103
'2017-08-02 19:38:59.270,0,2,0,0,1,2,1,0,-264,490,-8978,1,-1276,-237,0,0,0,1,0,0,0,1,221,753,-7975,-24,35,104
'2017-08-02 19:38:59.280,0,2,0,0,1,2,1,0,-335,493,-8918,-96,-1440,-316,0,0,0,1,0,0,0,1,230,750,-8003,-28,42,104
'2017-08-02 19:38:59.290,0,2,0,0,1,2,1,0,-329,418,-8817,-255,-1573,-382,0,0,0,1,0,0,0,1,229,778,-8021,-12,70,110
'2017-08-02 19:38:59.300,0,2,0,0,1,2,1,0,-372,539,-8960,-447,-1721,-428,0,0,0,1,0,0,0,1,255,756,-8043,-14,71,110
'2017-08-02 19:38:59.310,0,2,0,0,1,2,1,0,-486,536,-8915,-881,-2016,-532,0,0,0,1,0,0,0,1,222,778,-8020,-6,96,107
'2017-08-02 19:38:59.320,0,2,0,0,1,2,1,0,-366,444,-8756,-1101,-2140,-507,0,0,0,1,0,0,0,1,242,755,-8012,-5,104,114
'2017-08-02 19:38:59.330,0,2,1,0,1,2,1,0,-514,250,-9133,26,-2101,-371,0,0,0,1,0,0,0,1,216,745,-8013,-4,100,114
'2017-08-02 19:38:59.340,0,2,1,0,1,2,1,0,-268,338,-10491,620,-2472,-264,0,0,0,1,0,0,0,1,219,759,-7997,3,108,112
'2017-08-02 19:38:59.350,1,2,1,0,1,2,1,0,-226,454,-11160,389,-3015,-274,0,0,0,1,0,0,0,1,236,765,-8027,-6,112,119
'2017-08-02 19:38:59.360,1,2,1,0,1,2,1,0,-426,307,-10475,-329,-4135,-408,0,0,0,1,0,0,0,1,230,772,-7997,0,116,108
'2017-08-02 19:38:59.370,1,2,1,0,2,2,0,0,-419,863,-10935,-513,-5008,-508,0,0,0,1,0,0,0,1,236,771,-8033,5,145,120
'2017-08-02 19:38:59.380,1,2,1,0,2,2,0,0,-1231,1158,-13735,-961,-6277,-706,0,0,0,1,0,0,0,1,237,773,-8035,18,170,122
'2017-08-02 19:38:59.390,1,2,1,0,2,2,0,0,233,133,-12034,-1647,-8768,-625,0,0,0,1,0,0,0,1,246,757,-8014,11,166,119
'2017-08-02 19:38:59.400,2,2,1,0,2,2,0,0,-731,1455,-12577,-2273,-10045,-840,0,0,0,1,0,0,0,1,253,769,-7978,-5,167,119
'2017-08-02 19:38:59.410,2,2,0,0,2,2,0,0,-719,1442,-13895,-2962,-12110,-1158,0,0,0,1,0,0,0,1,246,749,-8004,7,154,120
'2017-08-02 19:38:59.420,2,2,0,0,2,2,0,0,-285,2078,-16986,-2946,-13827,-1797,0,0,0,1,0,0,0,1,245,786,-7988,0,155,115
