__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 19:52:20.736,0,0,0,1,0,1,1,1,878,197,-8679,-56,132,-32,0,1,0,0,0,0,0,0,233,1362,-7913,-112,-159,61
'2017-08-02 19:52:20.746,0,0,0,1,0,1,1,1,856,207,-8669,-73,163,-37,0,1,0,0,0,0,0,0,253,1376,-7880,-112,-159,61
'2017-08-02 19:52:20.756,0,0,0,1,0,1,1,1,869,213,-8689,-77,184,-39,0,1,0,0,0,0,0,0,237,1365,-7895,-112,-159,61
'2017-08-02 19:52:20.766,0,0,0,1,0,1,1,1,855,214,-8661,-87,206,-34,0,1,0,0,0,0,0,0,246,1382,-7864,-112,-159,61
'2017-08-02 19:52:20.776,0,0,0,1,0,1,1,1,879,249,-8632,-80,222,-43,0,1,0,0,0,0,0,0,241,1356,-7896,-19,69,100
'2017-08-02 19:52:20.786,0,0,0,1,0,1,1,1,880,233,-8674,-83,226,-37,0,1,0,0,0,0,0,0,236,1327,-7922,7,82,107
'2017-08-02 19:52:20.796,0,0,0,1,0,1,1,1,884,233,-8666,-75,221,-41,0,1,0,0,0,0,0,0,241,1348,-7876,-3,78,103
'2017-08-02 19:52:20.806,0,0,0,1,0,1,1,2,895,217,-8682,-65,206,-40,0,1,0,0,0,0,0,0,271,1352,-7910,3,75,104
'2017-08-02 19:52:20.816,0,0,0,1,0,1,1,2,905,258,-8671,-63,196,-39,0,1,0,0,0,0,0,0,247,1336,-7904,3,65,109
'2017-08-02 19:52:20.826,0,0,0,1,0,1,1,2,907,218,-8669,-62,178,-46,0,1,0,0,0,0,0,0,248,1323,-7880,-5,58,106
'2017-08-02 19:52:20.836,0,0,0,1,0,1,1,2,906,248,-8685,-60,167,-38,0,1,0,0,0,0,0,0,274,1313,-7888,4,47,102
'2017-08-02 19:52:20.846,0,0,0,1,0,1,1,2,895,216,-8657,-61,165,-47,0,1,0,0,0,0,0,0,245,1364,-7853,6,21,104
'2017-08-02 19:52:20.856,0,0,0,1,0,1,1,2,911,230,-8694,-48,155,-44,0,1,0,0,0,0,0,0,233,1364,-7904,15,9,93
'2017-08-02 19:52:20.866,0,0,0,2,0,1,1,2,897,255,-8668,-40,132,-44,0,1,0,0,0,0,0,0,264,1352,-7866,25,12,102
