__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 14:33:20.292,0,1,2,2,0,1,1,1,1161,198,-8442,-132,-136,-10,2,2,2,0,1,2,0,0,9476,5403,-30766,3612,32503,5432
'2017-08-02 14:33:20.302,0,1,2,2,0,1,1,1,1154,210,-8441,-132,-136,-10,2,2,2,0,1,1,0,0,9743,4322,-25963,7299,30764,6984
'2017-08-02 14:33:20.312,0,1,2,2,0,1,1,1,1149,185,-8451,-132,-136,-10,2,1,2,0,0,1,0,0,4135,16507,-30589,5673,28723,7126
'2017-08-02 14:33:20.322,0,1,2,2,0,1,1,1,1152,195,-8434,-132,-136,-10,2,1,1,0,0,0,0,0,-437,14754,-30671,2743,30944,10279
'2017-08-02 14:33:20.332,0,1,2,2,0,1,1,1,1110,228,-8481,-132,-136,-10,1,1,1,0,0,0,0,0,-1953,16086,-32730,-1847,30981,13287
'2017-08-02 14:33:20.342,0,1,2,2,0,1,1,1,1094,220,-8440,-10,-309,-16,0,0,1,0,0,0,0,0,-16650,10946,-28175,1083,29375,14561
'2017-08-02 14:33:20.352,0,1,2,2,0,1,1,1,1103,207,-8441,-29,-301,-24,0,0,0,0,0,0,0,0,-8476,12186,-4754,8025,23631,9462
'2017-08-02 14:33:20.362,0,1,2,2,0,1,1,1,1114,206,-8473,-26,-309,-24,0,0,0,0,0,0,0,0,-26212,14233,-13042,2316,8203,-396
'2017-08-02 14:33:20.372,0,1,2,2,0,1,1,1,1100,219,-8457,-13,-302,-26,0,0,0,0,0,0,0,0,-18366,8211,-14972,1248,-6988,-8028
'2017-08-02 14:33:20.382,0,1,2,2,0,1,1,1,1070,177,-8438,-8,-287,-29,0,0,0,0,0,0,0,0,-14965,8532,-14018,2793,-14915,-10971
'2017-08-02 14:33:20.392,0,1,2,2,0,1,1,1,1090,185,-8423,-24,-258,-12,0,0,0,0,0,0,0,0,-14118,9572,-12038,1860,-18568,-10315
'2017-08-02 14:33:20.402,0,1,2,2,0,1,1,1,1080,216,-8429,-37,-227,-6,0,0,0,0,0,0,0,0,-12408,8067,-9557,-1506,-21353,-8428
'2017-08-02 14:33:20.412,0,1,2,2,0,1,1,1,1050,202,-8407,-33,-198,-2,0,0,0,0,0,0,0,0,-10552,5644,-9727,-4402,-23650,-6324
'2017-08-02 14:33:20.422,1,1,2,1,0,1,1,1,1068,226,-8453,-26,-158,7,0,0,0,0,0,0,0,0,-8386,3185,-9918,-5936,-24846,-4450
'2017-08-02 14:33:20.432,1,1,2,1,0,1,1,1,1065,206,-8433,-23,-126,11,0,0,0,0,0,0,0,0,-7431,746,-9094,-5647,-25517,-3112
'2017-08-02 14:33:20.442,1,1,2,1,0,1,1,1,1071,191,-8432,-12,-110,2,0,0,0,0,0,0,0,0,-6620,-272,-9203,-3655,-26299,-2074
'2017-08-02 14:33:20.452,1,1,2,1,0,1,1,1,1094,234,-8432,-8,-115,3,0,0,0,0,0,0,0,0,-5663,439,-9971,-1665,-27211,-1120
'2017-08-02 14:33:20.462,1,1,2,1,0,1,1,1,1061,230,-8462,2,-129,-2,0,0,0,0,0,0,0,0,-4330,2081,-10947,-1093,-27951,-62
'2017-08-02 14:33:20.472,1,1,2,1,0,1,1,1,1074,186,-8469,-5,-117,0,0,0,0,0,0,0,0,0,-3504,2614,-11041,-1984,-28202,1106
'2017-08-02 14:33:20.482,1,1,2,1,0,1,1,1,1044,209,-8454,-11,-127,0,0,0,0,0,0,0,0,0,-3111,2131,-10976,-3279,-28319,1863
'2017-08-02 14:33:20.492,1,1,2,1,0,1,1,1,1070,193,-8441,-31,-108,3,0,0,0,0,0,0,0,0,-2408,1683,-12118,-4552,-28264,2113
'2017-08-02 14:33:20.502,1,1,2,1,0,1,1,1,1054,193,-8473,-26,-94,4,0,0,0,0,0,0,0,0,-1785,1318,-13334,-5494,-27904,1824
'2017-08-02 14:33:20.512,1,1,2,1,0,1,1,1,1060,207,-8410,-43,-70,10,0,0,0,0,0,0,0,0,-1553,1425,-14400,-6338,-27605,1144
'2017-08-02 14:33:20.522,1,1,2,1,0,1,1,1,1061,196,-8477,-48,-71,13,0,0,0,0,0,0,0,0,-1160,1565,-16003,-7445,-27377,306
'2017-08-02 14:33:20.532,1,1,2,1,0,1,1,1,1054,204,-8462,-37,-76,2,0,0,0,0,0,0,0,0,-382,1677,-17659,-8837,-26974,-404
'2017-08-02 14:33:20.542,1,1,2,1,0,1,1,1,1059,192,-8455,-40,-87,14,0,0,0,0,0,0,0,0,623,989,-19369,-10009,-26305,-983
'2017-08-02 14:33:20.552,1,1,2,1,0,1,1,1,1072,189,-8435,-46,-103,15,0,0,0,0,0,0,0,0,3225,293,-21212,-10393,-25249,-1982
'2017-08-02 14:33:20.562,1,1,2,1,0,1,1,1,1058,221,-8465,-45,-114,6,0,0,0,0,0,0,0,0,7531,-246,-22291,-10363,-23262,-3445
'2017-08-02 14:33:20.572,1,1,2,1,0,1,1,1,1043,222,-8449,-29,-110,7,0,0,0,0,0,0,0,0,10342,242,-22644,-10227,-21003,-4850
'2017-08-02 14:33:20.582,1,1,2,1,0,1,1,1,1051,190,-8501,-28,-123,8,0,0,0,0,0,0,0,0,14166,271,-23027,-9804,-20089,-5948
'2017-08-02 14:33:20.592,1,1,2,1,0,1,1,1,1054,206,-8468,-23,-133,-3,0,0,0,0,0,0,0,0,20985,-13,-20851,-8758,-18389,-7913
'2017-08-02 14:33:20.602,1,1,2,1,0,1,1,1,1033,204,-8455,-23,-133,2,0,0,0,0,0,0,0,0,22867,0,-19526,-8660,-17332,-8424
'2017-08-02 14:33:20.612,1,1,2,1,0,1,1,1,1038,203,-8460,-22,-115,4,0,0,0,0,0,0,0,0,26122,100,-16349,-9399,-14749,-8929
'2017-08-02 14:33:20.622,1,1,2,1,0,1,1,1,1031,190,-8445,-35,-81,8,0,0,0,0,0,0,0,0,28971,-1088,-12867,-11554,-11873,-8766
'2017-08-02 14:33:20.632,1,1,2,1,0,1,1,1,1038,187,-8414,-31,-44,22,0,0,0,0,0,0,0,0,32230,-3449,-10707,-13839,-9003,-8338
'2017-08-02 14:33:20.642,1,1,2,1,0,1,1,1,1039,207,-8435,-46,-28,19,0,0,0,0,0,0,0,0,-32768,-6704,-8732,-14725,-6614,-7885
'2017-08-02 14:33:20.652,1,1,2,1,0,1,1,1,1040,192,-8461,-31,-33,17,0,0,0,0,0,0,0,0,-32768,-12708,-6828,-12280,-4911,-7813
'2017-08-02 14:33:20.662,1,1,2,1,0,1,1,1,1032,209,-8450,-12,-28,22,0,0,0,0,0,0,0,0,-32768,-15227,-4796,-5953,-3203,-8196
'2017-08-02 14:33:20.672,1,1,2,1,0,1,1,1,1051,190,-8441,-22,-39,15,0,0,0,0,0,0,0,0,-32768,-12020,-6122,-34,-532,-7824
'2017-08-02 14:33:20.682,1,1,2,1,0,1,1,1,1049,212,-8495,-12,-42,7,0,0,0,0,0,0,0,0,-32768,-19130,-14200,10272,11182,-4121
'2017-08-02 14:33:20.692,1,1,2,1,0,1,1,1,1032,201,-8469,2,-67,4,0,0,0,0,0,0,0,1,31006,10806,14130,21211,21875,2420
'2017-08-02 14:33:20.702,1,1,2,1,0,1,1,1,1052,172,-8476,-1,-75,0,0,0,0,2,0,0,1,2,-15523,3470,-32768,-32768,23489,3478
'2017-08-02 14:33:20.712,1,1,2,1,0,1,1,1,1038,174,-8465,-11,-92,5,0,0,0,2,0,0,1,2,1628,1847,-19864,11527,-8408,-3376
'2017-08-02 14:33:20.722,1,1,2,1,0,1,1,1,1011,187,-8472,-14,-87,7,0,0,0,2,0,1,1,2,2232,-4194,-26468,17477,-2239,148
'2017-08-02 14:33:20.732,1,1,2,1,0,1,1,1,1018,189,-8472,-23,-85,9,0,0,0,2,0,1,2,2,-425,-670,-16252,9630,1894,-281
'2017-08-02 14:33:20.742,1,1,2,1,0,1,1,1,1005,190,-8479,-33,-75,20,0,0,1,2,0,1,2,2,-3502,-862,-8397,3954,3991,-401
'2017-08-02 14:33:20.752,1,1,2,1,0,1,1,1,1024,200,-8418,-39,-52,22,0,0,2,2,0,2,2,2,1054,1434,-7430,1909,3240,-35
'2017-08-02 14:33:20.762,1,1,2,1,0,1,1,1,1036,188,-8461,-42,-28,18,0,1,2,2,1,2,2,2,-1446,257,-8128,2063,1442,-214
'2017-08-02 14:33:20.772,1,1,2,1,0,1,1,1,1011,195,-8460,-47,-8,17,0,1,2,2,1,2,2,2,-1345,679,-9946,552,1186,116
'2017-08-02 14:33:20.782,1,1,2,1,0,1,1,1,1024,184,-8473,-61,19,24,1,1,2,2,1,2,2,2,-1073,753,-8954,-302,1596,57
'2017-08-02 14:33:20.792,1,1,2,1,0,1,1,1,1008,158,-8460,-80,54,36,1,1,2,2,1,2,2,2,-1180,725,-9107,-805,1456,38
'2017-08-02 14:33:20.802,1,1,2,1,0,1,1,1,1044,193,-8419,-99,90,43,1,1,2,2,1,2,2,2,-1285,831,-9441,-1426,1580,90
'2017-08-02 14:33:20.812,1,1,2,1,0,1,1,1,1066,180,-8496,-88,74,36,1,1,2,2,1,2,2,2,-1366,1041,-9843,-2005,1976,219
'2017-08-02 14:33:20.822,1,1,2,1,0,1,1,1,1019,202,-8443,-94,67,32,1,1,2,2,1,2,2,2,-1012,816,-9456,-2498,2700,238
'2017-08-02 14:33:20.832,1,1,2,1,0,1,1,1,1046,208,-8451,-62,72,27,1,1,2,2,1,2,2,2,-1383,1245,-9290,-2934,3148,303
'2017-08-02 14:33:20.842,1,1,2,1,0,1,1,1,1017,151,-8429,-76,74,39,1,1,2,2,1,2,2,2,-1147,751,-9504,-3015,3655,288
'2017-08-02 14:33:20.852,1,1,2,1,0,1,1,1,1021,151,-8418,-97,118,48,1,1,2,2,1,2,2,2,-1191,1399,-9486,-3410,4201,251
'2017-08-02 14:33:20.862,1,1,2,1,0,1,1,1,1016,201,-8453,-129,159,60,1,1,2,1,1,2,2,1,-1392,1407,-9475,-3599,4930,409
'2017-08-02 14:33:20.872,1,1,2,1,0,1,1,1,1014,172,-8448,-142,192,68,1,1,2,1,1,2,2,1,-654,1353,-10071,-3631,5679,681
'2017-08-02 14:33:20.882,1,1,2,1,0,1,1,1,1038,171,-8430,-167,219,77,1,1,2,1,1,2,2,1,-1072,1781,-9856,-6327,7519,857
'2017-08-02 14:33:20.892,1,1,2,1,0,1,1,1,1087,172,-8497,-189,196,77,1,1,2,0,1,2,2,0,-836,2519,-11159,-6132,7997,1312
'2017-08-02 14:33:20.902,1,1,2,1,0,1,1,1,1107,243,-8553,-190,115,69,1,1,2,0,1,2,1,0,-697,3008,-9639,-3939,9017,1498
'2017-08-02 14:33:20.912,1,1,2,1,0,1,1,1,1098,238,-8550,-189,-4,48,1,1,2,0,1,2,1,0,-305,1134,-9234,-1089,9737,1565
'2017-08-02 14:33:20.922,1,1,2,1,0,1,1,1,1173,262,-8569,-158,-216,5,1,1,2,0,1,2,1,0,-170,1998,-9282,-806,9963,1685
'2017-08-02 14:33:20.932,1,1,2,1,0,1,1,1,1103,305,-8683,-107,-461,-62,1,1,1,0,1,2,1,0,-144,1823,-8738,-1063,9514,1849
'2017-08-02 14:33:20.942,1,1,2,1,0,1,1,1,1136,284,-8736,-43,-733,-127,1,1,1,0,1,2,1,0,439,794,-7589,-1022,9026,1993
'2017-08-02 14:33:20.952,1,1,2,1,0,1,1,0,1110,301,-8863,31,-1074,-229,1,1,1,0,1,2,1,0,546,1379,-6805,-465,8560,1537
'2017-08-02 14:33:20.962,1,1,2,1,0,1,0,0,1006,193,-8911,114,-1416,-304,1,1,1,0,1,2,1,0,758,1585,-6356,-863,7788,1341
'2017-08-02 14:33:20.972,1,1,2,1,0,1,0,0,1049,709,-9201,183,-1822,-432,1,1,1,0,1,2,1,0,1088,1739,-6175,-318,6954,1304
'2017-08-02 14:33:20.982,1,2,2,1,0,1,0,0,1273,524,-9400,1882,-2643,-552,1,1,2,0,1,2,1,0,1008,1771,-6539,75,6192,1313
'2017-08-02 14:33:20.992,1,2,2,1,0,1,0,0,1179,988,-10030,2868,-3744,-533,2,2,2,0,1,2,1,0,1289,2221,-6754,720,5520,1347
'2017-08-02 14:33:21.002,1,2,2,1,0,1,0,0,1224,833,-10771,3803,-4823,-628,2,2,2,0,1,2,1,0,1454,2535,-6974,1258,4981,1560
'2017-08-02 14:33:21.012,1,2,2,0,0,1,0,0,729,1008,-11430,3183,-5840,-961,2,2,2,0,1,2,1,0,1681,2025,-7343,1812,4612,1794
'2017-08-02 14:33:21.022,1,2,2,0,0,1,0,0,816,1025,-11934,3792,-7098,-1047,2,2,2,0,1,2,0,0,1874,2463,-7440,2269,4364,1980
'2017-08-02 14:33:21.032,1,2,2,0,0,1,0,0,601,908,-11610,3863,-8033,-1331,2,2,2,0,2,2,0,0,2061,1965,-7773,2523,4183,2225
'2017-08-02 14:33:21.042,1,2,2,0,0,1,0,0,885,926,-12403,4272,-9279,-1536,2,2,2,0,2,2,0,0,2073,2098,-7909,2683,4091,2439
'2017-08-02 14:33:21.052,1,2,2,0,0,0,0,0,373,1078,-12743,4942,-10348,-1610,2,2,2,0,2,2,0,0,2386,1523,-8127,2742,4119,2577
'2017-08-02 14:33:21.062,1,2,1,0,0,0,0,0,96,1619,-12270,5279,-11400,-1986,2,2,2,0,2,2,0,0,2370,1092,-8599,2713,4298,2535
'2017-08-02 14:33:21.072,1,2,1,0,0,0,0,0,436,705,-12972,5195,-11947,-2740,2,2,2,0,2,2,0,0,2593,256,-9588,2653,4747,2275
'2017-08-02 14:33:21.082,1,1,1,0,0,0,0,0,566,245,-11842,6815,-12230,-2560,2,2,2,0,2,2,0,0,2294,213,-10039,2702,5384,1829
'2017-08-02 14:33:21.092,0,1,1,0,0,0,0,0,196,1931,-12489,7065,-11532,-2829,2,2,2,0,2,2,0,0,2443,90,-10758,2855,6295,1300
'2017-08-02 14:33:21.102,0,1,1,0,0,0,0,0,-357,174,-11785,7831,-10003,-3319,2,2,2,0,2,2,0,0,2313,-276,-11159,3007,7423,732
'2017-08-02 14:33:21.112,0,0,0,0,0,0,0,0,3780,1651,-12765,10051,-8516,-2873,2,2,2,0,2,2,0,0,2349,89,-11924,3111,8695,215
'2017-08-02 14:33:21.122,0,0,0,0,0,0,0,0,12271,6889,-9490,10489,-5275,-2070,2,2,2,0,2,2,0,0,2220,373,-12646,3124,10294,-136
'2017-08-02 14:33:21.132,0,0,0,0,0,0,0,0,6190,8054,-13410,3546,-334,-2342,2,2,2,0,2,2,1,0,2507,1149,-13285,3014,12023,-231
'2017-08-02 14:33:21.142,0,0,0,0,0,0,0,0,3781,722,-6654,1127,1628,-2692,2,2,2,0,2,2,1,0,2308,2519,-13890,2758,13914,42
'2017-08-02 14:33:21.152,0,0,0,0,0,0,0,0,2859,1214,-8212,2427,982,-2190,2,2,2,0,2,2,1,0,2315,2424,-14978,2108,16272,709
'2017-08-02 14:33:21.162,0,0,0,0,0,0,0,0,4321,3676,-7592,2502,977,-1389,2,2,2,0,2,2,1,0,1790,3749,-14902,1440,18939,1697
'2017-08-02 14:33:21.172,0,0,0,0,0,0,0,0,4538,4010,-7440,701,1709,-837,2,2,2,0,2,2,1,0,2131,3861,-15688,486,21936,2979
'2017-08-02 14:33:21.182,0,0,0,0,0,0,0,0,4228,3070,-6889,-862,2086,-165,2,2,2,0,2,2,1,0,2970,3257,-17374,-201,25154,4122
'2017-08-02 14:33:21.192,0,0,0,0,0,0,0,0,4145,2524,-6871,-1828,2208,563,2,2,2,0,1,2,1,0,5608,4085,-19381,49,28220,5028
'2017-08-02 14:33:21.202,0,0,0,0,0,0,0,0,4525,2337,-7029,-2680,2547,1079,2,2,2,0,1,2,1,0,9889,3215,-24400,646,30228,5141
