__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 14:12:42.160,0,0,0,2,0,0,1,2,1052,203,-8907,489,-1530,72,1,0,1,2,0,2,1,2,-369,367,-8539,847,925,-62
'2017-08-02 14:12:42.170,0,0,0,2,0,0,1,2,1147,294,-8696,210,-1761,23,1,0,1,2,0,2,1,2,-350,342,-8465,847,925,-62
'2017-08-02 14:12:42.180,0,0,0,2,0,1,1,2,1092,283,-8653,100,-2035,-40,1,0,1,2,0,2,1,2,-367,379,-8503,847,925,-62
'2017-08-02 14:12:42.190,0,0,0,2,0,1,2,2,1109,345,-8732,-38,-2240,-57,1,0,1,2,0,2,2,1,-353,421,-8587,847,925,-62
'2017-08-02 14:12:42.200,0,0,0,2,0,1,2,2,992,357,-8917,-104,-2450,-64,1,1,2,2,0,2,2,1,-370,372,-8537,-20,398,42
'2017-08-02 14:12:42.210,0,0,0,2,0,1,2,2,940,337,-8742,-142,-2694,-36,1,1,2,2,0,2,2,1,-320,445,-8571,-1,497,55
'2017-08-02 14:12:42.220,0,0,0,2,0,1,2,2,794,285,-8721,-231,-2983,-30,1,1,2,2,0,2,2,1,-339,449,-8534,33,554,74
'2017-08-02 14:12:42.230,0,0,1,2,0,1,2,2,836,352,-8676,-303,-3333,11,1,1,2,2,0,2,2,1,-361,492,-8599,98,683,105
'2017-08-02 14:12:42.240,0,0,1,2,0,1,2,2,795,305,-8578,-294,-3522,5,2,1,2,2,0,2,2,1,-262,454,-8528,200,770,145
'2017-08-02 14:12:42.250,0,0,1,2,0,1,2,2,609,391,-8576,-331,-3604,-38,2,1,2,2,1,2,2,1,-276,323,-8506,214,760,145
'2017-08-02 14:12:42.260,0,0,1,2,0,1,2,2,547,493,-8547,-268,-3618,-95,2,1,2,2,1,2,2,1,-244,336,-8478,191,709,135
'2017-08-02 14:12:42.270,0,0,1,2,0,1,2,2,482,463,-8481,-88,-3612,-198,2,2,2,2,1,2,2,1,-189,314,-8421,129,619,109
'2017-08-02 14:12:42.280,0,0,2,2,0,2,2,1,425,446,-8559,37,-3566,-279,2,2,2,2,1,2,2,1,-179,285,-8518,46,513,73
'2017-08-02 14:12:42.290,0,0,2,2,0,2,2,1,405,487,-8573,87,-3601,-411,2,2,2,2,1,2,2,1,-198,374,-8531,1,427,41
'2017-08-02 14:12:42.300,0,1,2,1,0,2,1,1,216,464,-8636,25,-3719,-592,2,2,2,2,1,2,2,1,-188,400,-8537,-5,403,46
'2017-08-02 14:12:42.310,0,1,2,1,0,2,1,0,354,555,-8722,-197,-3998,-815,2,2,2,2,1,2,2,1,-172,435,-8529,33,383,74
'2017-08-02 14:12:42.320,0,1,2,1,0,2,1,0,168,844,-8741,-177,-4151,-1067,2,2,2,2,1,2,2,1,-178,388,-8538,67,365,87
'2017-08-02 14:12:42.330,0,2,2,0,0,2,1,0,305,1520,-9185,-96,-4345,-1401,2,2,2,2,1,2,2,1,-168,354,-8538,54,340,81
'2017-08-02 14:12:42.340,0,2,2,0,0,2,1,0,13,205,-10221,706,-5138,-1874,2,2,2,2,1,2,2,1,-143,345,-8566,34,346,83
