__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 14:56:33.672,0,2,2,2,0,1,2,2,1208,453,-8603,428,1269,234,1,1,1,1,1,2,2,1,-81,704,-8414,135,912,7600
'2017-08-02 14:56:33.682,0,2,2,2,0,1,2,2,1363,445,-8651,244,1372,263,1,1,1,1,1,2,2,1,-58,700,-8450,135,912,7600
'2017-08-02 14:56:33.692,0,2,2,2,0,1,2,2,1397,463,-8801,69,1332,291,1,1,1,1,1,2,2,1,-28,699,-8420,135,912,7600
'2017-08-02 14:56:33.702,0,2,2,2,0,1,2,2,1494,545,-8781,-83,1165,278,1,1,1,1,1,2,2,1,-117,666,-8424,135,912,7600
'2017-08-02 14:56:33.712,0,2,2,2,0,1,2,2,1514,582,-8789,-157,907,250,1,1,1,1,1,2,2,1,-88,729,-8488,57,232,7
'2017-08-02 14:56:33.722,0,2,2,2,0,1,2,2,1503,610,-8796,-195,618,191,1,1,1,1,1,2,2,1,-58,717,-8482,59,231,12
'2017-08-02 14:56:33.732,0,2,2,2,0,1,2,2,1580,671,-8827,-178,255,119,1,1,1,1,1,2,2,1,-38,684,-8517,50,253,9
'2017-08-02 14:56:33.742,0,2,2,2,0,1,2,2,1516,636,-8754,-152,-43,34,1,1,1,1,1,2,2,1,-37,689,-8487,34,237,7
'2017-08-02 14:56:33.752,0,2,2,2,0,1,2,2,1444,613,-8657,-162,-186,-24,1,1,1,1,1,2,2,1,-9,698,-8464,19,223,-11
'2017-08-02 14:56:33.762,0,2,2,2,0,1,2,2,1443,529,-8570,-226,-218,-46,1,1,1,1,1,2,2,1,-22,684,-8416,7,170,-11
'2017-08-02 14:56:33.772,0,2,2,2,0,1,2,2,1410,556,-8505,-307,-171,-49,1,1,1,1,1,2,2,1,1,675,-8424,-10,88,-25
'2017-08-02 14:56:33.782,0,2,2,2,0,1,2,2,1417,573,-8559,-353,-96,-60,1,1,1,1,1,2,2,1,-42,693,-8392,4,50,-24
'2017-08-02 14:56:33.792,0,1,2,2,0,1,2,2,1415,576,-8539,-385,-71,-66,1,1,1,1,1,2,2,1,-50,733,-8407,15,56,-12
'2017-08-02 14:56:33.802,0,1,2,2,0,1,2,2,1441,620,-8518,-388,-48,-67,1,1,1,1,1,2,2,1,-40,763,-8483,53,77,-2
'2017-08-02 14:56:33.812,0,1,2,2,0,1,2,2,1445,648,-8603,-381,-54,-66,1,1,1,1,1,2,2,1,-30,704,-8513,70,86,3
'2017-08-02 14:56:33.822,0,1,2,2,0,1,2,2,1416,602,-8521,-370,-54,-72,1,1,1,1,1,2,2,1,-12,692,-8473,80,71,5
'2017-08-02 14:56:33.832,0,1,2,2,0,1,2,2,1482,626,-8614,-362,-146,-82,1,1,1,1,1,2,2,1,3,674,-8414,83,32,13
'2017-08-02 14:56:33.842,0,1,2,2,0,1,2,2,1470,656,-8596,-356,-286,-83,1,1,1,1,1,2,2,1,-15,681,-8436,86,-15,-12
'2017-08-02 14:56:33.852,0,1,2,2,0,1,2,2,1427,670,-8564,-306,-375,-96,1,1,1,1,1,2,2,1,-19,680,-8447,80,-53,-2
'2017-08-02 14:56:33.862,0,1,2,2,0,1,2,2,1380,600,-8561,-288,-376,-127,1,1,1,1,1,2,2,1,-29,691,-8430,97,-59,-3
'2017-08-02 14:56:33.872,0,1,2,2,0,1,2,2,1416,586,-8532,-371,-353,-111,1,1,1,1,1,2,2,1,-14,693,-8444,92,-69,8
'2017-08-02 14:56:33.882,0,1,2,2,0,1,2,2,1373,633,-8491,-424,-320,-103,1,1,1,1,1,2,2,1,-32,672,-8494,86,-61,-1
'2017-08-02 14:56:33.892,0,1,2,2,0,1,2,2,1361,613,-8490,-460,-245,-82,1,1,1,1,1,2,2,1,-26,639,-8489,67,-80,5
'2017-08-02 14:56:33.902,0,1,2,2,0,1,2,2,1344,688,-8491,-462,-185,-63,1,1,1,1,1,2,2,1,-42,684,-8491,47,-65,-6
'2017-08-02 14:56:33.912,0,1,2,2,0,1,2,2,1358,656,-8538,-427,-133,-55,1,1,1,1,1,2,2,1,-44,697,-8501,42,-17,-1
'2017-08-02 14:56:33.922,0,1,2,2,0,1,2,2,1413,734,-8511,-357,-159,-48,1,1,1,1,1,2,2,1,-7,684,-8483,47,-7,1
'2017-08-02 14:56:33.932,0,1,2,2,0,1,2,2,1380,709,-8486,-235,-177,-69,1,1,1,1,1,2,2,1,-31,662,-8468,34,2,-6
'2017-08-02 14:56:33.942,0,1,2,2,0,1,2,2,1388,656,-8434,-171,-153,-52,1,1,1,1,1,2,2,1,-13,641,-8481,30,3,6
'2017-08-02 14:56:33.952,0,1,2,2,0,1,2,2,1356,681,-8461,-117,-83,-46,1,1,1,1,1,2,2,1,-20,667,-8486,9,-17,-6
'2017-08-02 14:56:33.962,0,1,2,2,0,1,2,2,1342,687,-8403,-71,10,-41,1,1,1,1,1,2,2,1,4,675,-8466,-21,-38,-8
'2017-08-02 14:56:33.972,0,1,2,2,0,1,2,2,1318,642,-8413,-37,152,-40,1,1,1,1,1,2,2,1,-5,675,-8435,-26,-56,-10
'2017-08-02 14:56:33.982,0,1,2,2,0,1,2,2,1357,680,-8455,-26,265,-24,1,1,1,1,1,2,2,1,-14,650,-8449,-18,-58,-5
'2017-08-02 14:56:33.992,0,1,2,2,0,1,2,2,1346,658,-8454,9,378,-40,1,1,1,1,1,2,2,1,-33,685,-8453,-17,-46,-2
'2017-08-02 14:56:34.002,0,1,2,2,0,1,2,2,1368,621,-8487,-21,504,-27,1,1,1,1,1,2,2,1,-29,669,-8476,0,-44,-7
'2017-08-02 14:56:34.012,0,1,2,2,0,1,2,2,1355,673,-8484,-45,635,-17,1,1,1,1,1,2,2,1,-50,664,-8458,0,-31,0
'2017-08-02 14:56:34.022,0,1,2,2,0,1,2,2,1413,620,-8499,-89,762,-32,1,1,1,1,1,2,2,1,-19,685,-8431,6,-45,0
'2017-08-02 14:56:34.032,0,1,2,2,0,1,2,2,1431,681,-8517,-134,834,-26,1,1,1,1,1,2,2,1,-12,668,-8443,15,-48,6
'2017-08-02 14:56:34.042,0,1,2,2,0,1,2,2,1425,739,-8514,-105,839,-20,1,1,1,1,1,2,2,1,-23,674,-8486,5,-59,-7
'2017-08-02 14:56:34.052,0,1,2,2,0,1,2,2,1556,740,-8523,-17,747,-53,1,1,1,1,1,2,2,1,-36,689,-8456,10,-40,4
'2017-08-02 14:56:34.062,0,1,2,2,0,1,2,2,1549,757,-8565,113,583,-75,1,1,1,1,1,2,2,1,-33,685,-8461,26,-37,4
'2017-08-02 14:56:34.072,0,1,2,2,0,1,2,2,1593,685,-8605,141,336,-86,1,1,1,1,1,2,2,1,-33,670,-8473,30,-11,4
'2017-08-02 14:56:34.082,0,1,2,2,0,1,2,2,1627,756,-8736,158,-1,-95,1,1,1,1,1,2,2,1,-33,690,-8487,27,1,-3
'2017-08-02 14:56:34.092,1,1,2,2,0,2,2,2,1637,713,-8723,164,-389,-126,1,1,1,1,1,2,2,1,-28,675,-8503,20,19,2
