__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 16:49:04.796,0,2,2,2,0,2,2,2,-2170,1186,-9454,2620,-6383,556,0,2,2,0,0,2,1,0,860,-622,-10342,355,7417,-362
'2017-08-02 16:49:04.806,0,2,2,2,0,2,2,2,-1155,-797,-10329,4107,-4490,-343,0,2,2,0,0,2,1,0,359,1126,-10621,355,7417,-362
'2017-08-02 16:49:04.816,0,2,2,2,0,2,2,2,854,-1055,-10697,2165,-3485,296,1,2,2,0,1,2,1,0,1204,891,-8460,355,7417,-362
'2017-08-02 16:49:04.826,0,2,2,2,0,2,2,2,271,-589,-11014,337,-4288,307,1,2,2,0,1,2,1,0,1017,955,-6443,355,7417,-362
'2017-08-02 16:49:04.836,1,2,2,2,0,2,2,1,62,-285,-11885,-1197,-5977,312,2,2,2,0,1,2,0,0,1311,1226,-4726,1960,3135,-8
'2017-08-02 16:49:04.846,1,2,2,1,1,2,2,1,-448,79,-11022,-1827,-7456,136,2,2,2,0,1,2,0,0,1427,979,-5273,2221,2133,23
'2017-08-02 16:49:04.856,2,2,2,1,1,2,2,0,-263,-947,-11446,-3552,-8321,63,2,2,2,0,1,2,0,0,702,1746,-13537,3214,1452,91
'2017-08-02 16:49:04.866,2,2,2,0,1,2,2,0,-930,829,-12692,-6847,-10954,-380,2,2,2,0,1,2,0,0,8,1802,-25788,2797,6097,673
'2017-08-02 16:49:04.876,2,2,2,0,2,2,1,0,1738,919,-6645,-6749,-5371,-1129,2,2,2,0,1,2,0,0,-839,603,-31354,1065,16637,1246
'2017-08-02 16:49:04.886,2,2,2,0,2,2,0,0,561,-1603,-20483,2339,178,-1381,2,2,2,0,1,2,0,0,-2128,-599,-22185,-182,26255,862
'2017-08-02 16:49:04.896,2,2,2,0,2,2,0,0,416,2667,-22804,-52,-12793,-433,2,2,2,0,1,1,0,0,-1918,6515,-14784,2787,28586,779
'2017-08-02 16:49:04.906,2,2,2,0,2,1,0,0,2957,686,-22250,-690,-24364,-905,2,2,2,0,1,0,0,0,-554,5594,-22640,3562,27915,2935
'2017-08-02 16:49:04.916,2,2,2,0,2,1,0,0,2515,1439,-12197,90,-28898,-976,2,1,2,0,1,0,0,0,3615,-2361,-28874,4667,30404,3686
'2017-08-02 16:49:04.926,2,2,2,0,1,0,0,0,-1634,2242,-2079,-1944,-27444,-2236,2,1,2,0,0,0,0,0,-3958,1691,-32768,6365,32767,2132
'2017-08-02 16:49:04.936,1,2,2,0,1,0,0,0,9,382,1151,-401,-20255,-2122,2,1,1,0,0,0,0,0,-1655,1675,-32484,5238,32767,2699
'2017-08-02 16:49:04.946,1,1,2,0,1,0,0,0,7332,3806,-32768,2938,-27941,-3578,1,0,1,0,0,0,0,0,-2694,731,-29077,8843,32767,1864
'2017-08-02 16:49:04.956,1,0,1,0,0,0,0,0,5131,9304,-32768,-7758,-32768,-3672,1,0,1,0,0,0,0,0,-8136,-5,-32001,11864,32767,1032
