__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 16:20:16.296,0,0,0,2,0,0,1,2,950,137,-8134,-449,-1108,-96,0,1,2,2,0,0,0,2,-270,343,-8628,-425,1200,11
'2017-08-02 16:20:16.306,0,0,0,2,0,0,1,2,871,306,-8444,-545,-2027,-166,0,1,2,2,0,0,0,2,-270,343,-8628,-425,1200,11
'2017-08-02 16:20:16.316,0,0,0,2,0,0,1,2,620,262,-8897,-544,-2730,-130,0,1,2,2,0,0,0,2,-142,248,-8564,-425,1200,11
'2017-08-02 16:20:16.326,0,0,1,2,0,0,2,2,639,256,-8960,-549,-3355,-112,0,1,2,2,0,0,0,2,-95,244,-8532,-425,1200,11
'2017-08-02 16:20:16.336,0,0,1,2,0,1,2,2,750,271,-9170,-476,-3921,-172,0,1,2,2,0,0,1,2,-104,303,-8595,-425,1200,11
'2017-08-02 16:20:16.346,0,0,2,2,0,1,2,2,564,410,-9407,-518,-4709,-231,0,1,2,2,0,0,1,2,-120,364,-8559,-470,598,-26
'2017-08-02 16:20:16.356,0,1,2,2,0,1,2,2,204,277,-9868,-555,-5199,-222,0,1,2,2,0,0,1,2,-133,461,-8638,-281,582,-30
'2017-08-02 16:20:16.366,1,1,2,2,0,1,2,2,210,360,-9661,-934,-5739,-231,0,1,2,2,0,0,1,2,-120,435,-8609,-158,592,-13
'2017-08-02 16:20:16.376,1,2,2,2,1,1,2,1,153,525,-9963,-1148,-6249,-207,0,1,2,2,0,0,1,2,-81,408,-8619,-104,576,-7
'2017-08-02 16:20:16.386,1,2,2,1,1,1,2,0,11,717,-10018,-1691,-6809,-191,0,1,2,2,0,0,1,2,-52,419,-8543,-60,547,0
'2017-08-02 16:20:16.396,2,2,2,1,2,1,2,0,-621,481,-9393,-2371,-6856,-726,0,1,2,2,0,0,1,2,-63,392,-8485,-21,494,3
'2017-08-02 16:20:16.406,2,2,2,0,2,1,1,0,116,10,-10607,-3542,-5908,-1072,0,1,2,2,0,0,1,2,-36,329,-8559,8,450,3
'2017-08-02 16:20:16.416,2,2,2,0,2,1,1,0,1103,1610,-13171,-797,-4214,-473,0,1,2,2,0,0,1,2,-31,344,-8535,-5,421,9
'2017-08-02 16:20:16.426,2,2,2,0,2,1,0,0,-764,-175,-12062,2800,-6562,-464,0,1,2,2,0,0,1,2,-11,287,-8536,-26,351,8
'2017-08-02 16:20:16.436,2,2,2,0,2,1,0,0,1182,3150,-15919,2540,-10564,-87,0,1,2,2,0,0,1,2,-49,321,-8619,-106,368,-15
'2017-08-02 16:20:16.446,2,2,2,0,1,0,0,0,-249,2514,-12309,1186,-12643,-1586,0,1,2,2,0,0,1,2,-41,381,-8625,-110,392,-15
'2017-08-02 16:20:16.456,2,2,2,0,1,0,0,0,-671,3093,-15020,4195,-13767,-1739,0,1,2,2,0,0,1,2,0,385,-8597,-93,396,-11
'2017-08-02 16:20:16.466,2,1,1,0,0,0,0,0,-208,7055,-22075,3464,-14963,-2899,0,1,2,2,0,0,1,2,15,401,-8530,-77,351,-23
