__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:42:26.100,2,2,1,0,2,2,2,0,-1818,2258,-6960,315,-1125,367,2,2,2,1,2,1,2,1,584,639,-8192,675,188,36
'2017-08-02 15:42:26.110,2,2,1,0,2,2,2,0,-1866,1856,-6806,1664,136,91,2,2,2,1,2,1,2,1,552,554,-8202,675,188,36
'2017-08-02 15:42:26.120,2,2,2,1,2,2,2,0,-976,1135,-7775,2255,1218,-183,2,2,2,1,2,1,2,1,595,641,-8233,675,188,36
'2017-08-02 15:42:26.130,2,2,2,1,2,2,2,0,-377,358,-9088,2218,1411,-223,2,2,2,1,2,1,2,1,539,672,-8245,675,188,36
'2017-08-02 15:42:26.140,2,2,2,1,2,2,2,0,-507,-183,-9590,1615,1054,-43,2,2,2,1,2,1,2,1,499,846,-8288,675,188,36
'2017-08-02 15:42:26.150,2,2,2,1,2,2,2,0,-572,368,-9021,707,730,205,2,2,2,1,2,1,2,1,550,891,-8332,300,85,-107
'2017-08-02 15:42:26.160,2,2,2,1,2,2,2,0,-646,1377,-8348,895,773,152,2,2,2,1,2,1,2,1,426,1118,-8394,515,85,-33
'2017-08-02 15:42:26.170,2,2,2,1,2,1,2,1,-481,1375,-8236,1651,994,-92,2,2,2,1,2,1,2,1,502,990,-8317,832,101,56
'2017-08-02 15:42:26.180,2,2,2,2,2,1,2,1,-546,632,-8811,2238,1056,-247,2,2,2,1,2,1,2,1,567,706,-8397,996,89,93
'2017-08-02 15:42:26.190,2,2,2,2,2,1,2,1,-365,450,-8748,2321,945,-206,2,2,2,1,2,1,2,1,476,676,-8439,992,110,67
'2017-08-02 15:42:26.200,2,2,2,2,2,1,2,1,-494,293,-8856,2112,898,-125,2,2,2,1,2,1,2,1,501,766,-8473,1025,139,105
'2017-08-02 15:42:26.210,2,2,2,2,2,1,1,1,-342,399,-8999,1895,738,-54,2,2,2,1,2,1,2,1,563,398,-8560,966,162,86
'2017-08-02 15:42:26.220,2,2,2,2,2,1,1,1,-312,325,-8924,1583,579,-54,2,2,2,1,2,1,2,1,546,394,-8542,725,175,45
'2017-08-02 15:42:26.230,2,2,2,2,2,1,1,1,-363,175,-8860,1195,445,14,2,2,2,1,2,1,2,1,593,650,-8397,543,153,12
'2017-08-02 15:42:26.240,2,2,2,2,1,1,1,2,-391,306,-8514,819,415,71,2,2,2,1,2,1,2,1,581,491,-8364,420,65,22
'2017-08-02 15:42:26.250,2,2,2,2,1,1,1,2,-426,431,-8469,615,540,109,2,2,2,1,2,1,2,1,570,472,-8399,177,23,10
'2017-08-02 15:42:26.260,2,2,2,2,1,0,1,2,-451,369,-8441,533,695,132,2,2,2,1,2,1,2,1,604,597,-8307,-74,-8,38
'2017-08-02 15:42:26.270,2,2,2,2,1,0,1,2,-471,211,-8568,327,857,163,2,2,2,1,2,1,2,1,485,382,-8472,-330,28,61
'2017-08-02 15:42:26.280,2,2,2,2,1,0,1,2,-385,143,-8623,-26,922,202,2,2,2,1,2,1,2,1,592,484,-8475,-636,89,24
'2017-08-02 15:42:26.290,2,2,2,2,1,0,1,2,-115,62,-8660,-434,873,251,2,2,2,1,2,1,2,1,476,647,-8507,-691,114,-33
'2017-08-02 15:42:26.300,2,2,2,2,1,0,1,2,-72,222,-8658,-885,732,331,2,2,2,1,2,1,2,1,580,876,-8423,-481,136,12
'2017-08-02 15:42:26.310,2,2,2,2,1,0,1,2,-198,364,-8530,-1190,659,349,2,2,2,1,2,1,2,1,595,721,-8395,-338,128,36
'2017-08-02 15:42:26.320,2,2,2,2,1,0,1,2,-319,392,-8525,-1463,665,320,2,2,2,1,2,1,2,1,609,792,-8312,-272,84,44
'2017-08-02 15:42:26.330,2,2,1,2,1,0,1,2,-130,257,-8456,-1817,681,312,2,2,2,1,2,1,2,1,561,753,-8427,-158,46,70
'2017-08-02 15:42:26.340,2,2,1,2,1,0,1,2,-109,438,-8488,-2097,724,307,2,2,2,1,2,1,2,1,624,747,-8355,-70,32,69
'2017-08-02 15:42:26.350,2,2,1,2,1,1,1,2,-95,744,-8523,-2016,742,235,2,2,2,1,2,1,2,1,589,726,-8395,-3,15,74
'2017-08-02 15:42:26.360,2,2,1,2,1,1,1,2,-97,788,-8530,-1840,703,144,2,2,2,1,2,1,2,1,555,747,-8464,111,49,70
'2017-08-02 15:42:26.370,2,2,1,2,1,1,1,2,39,863,-8417,-1510,657,54,2,2,2,1,2,1,2,1,530,725,-8468,167,101,91
'2017-08-02 15:42:26.380,2,2,1,2,1,1,1,2,-86,789,-8441,-1236,580,-49,2,2,2,1,2,1,2,1,471,793,-8610,186,192,111
