__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:23:53.906,0,0,0,1,0,0,0,1,-1602,4919,-19987,19334,-7872,-1237,2,2,2,1,2,1,2,1,178,688,-8477,424,295,45
'2017-08-02 15:23:53.916,0,0,0,1,0,0,1,2,1610,74,-10717,15742,-2493,1481,2,2,2,1,2,1,2,1,177,678,-8490,424,295,45
'2017-08-02 15:23:53.926,0,0,0,2,0,0,1,2,-5173,-1748,-11911,15916,-2298,-559,2,2,2,1,2,1,2,1,200,821,-8469,424,295,45
'2017-08-02 15:23:53.936,0,0,0,2,0,0,2,2,-2956,-10075,-17370,8250,965,237,2,2,2,1,2,1,2,1,214,712,-8429,424,295,45
'2017-08-02 15:23:53.946,0,0,0,2,0,0,2,2,-1877,-2100,-10648,4840,2645,-229,2,2,2,1,2,1,2,1,223,654,-8436,234,334,-1
'2017-08-02 15:23:53.956,0,0,0,2,1,0,2,2,-577,-112,-10258,2390,1710,425,2,2,2,1,2,1,2,1,253,690,-8336,227,308,39
'2017-08-02 15:23:53.966,0,0,0,2,1,0,2,2,-73,504,-10089,1626,804,682,2,2,2,1,2,1,2,1,236,644,-8392,159,287,41
'2017-08-02 15:23:53.976,0,1,0,2,1,0,2,2,-4,983,-8970,1229,185,374,2,2,2,1,2,1,2,1,242,620,-8408,98,277,8
'2017-08-02 15:23:53.986,1,1,0,2,1,0,2,2,-302,924,-8625,1369,286,351,2,2,2,1,2,1,2,1,216,722,-8388,57,268,-5
'2017-08-02 15:23:53.996,1,1,0,2,1,0,2,2,93,436,-8758,1168,420,224,2,2,2,1,2,1,2,1,268,632,-8479,15,254,-2
'2017-08-02 15:23:54.006,1,1,0,2,1,0,2,2,25,315,-9202,465,321,235,2,2,2,1,2,1,2,0,254,685,-8479,-37,259,-19
'2017-08-02 15:23:54.016,1,1,0,2,1,0,2,2,12,350,-9203,-404,172,296,2,2,2,0,2,1,2,0,277,822,-8417,2,243,-18
'2017-08-02 15:23:54.026,1,1,0,2,1,0,2,2,57,896,-8935,-934,40,302,2,2,2,0,2,1,2,0,246,728,-8410,35,220,3
'2017-08-02 15:23:54.036,1,1,0,2,1,0,2,2,170,1044,-8804,-885,-123,234,2,2,2,0,2,2,2,0,327,719,-8393,19,208,8
'2017-08-02 15:23:54.046,1,1,0,2,1,0,2,2,143,968,-8643,-757,-322,155,2,2,2,0,2,2,2,0,340,741,-8334,11,140,14
'2017-08-02 15:23:54.056,1,1,0,2,1,0,2,2,112,1010,-8624,-615,-480,101,2,2,2,0,2,2,2,0,362,613,-8294,-40,48,-3
'2017-08-02 15:23:54.066,1,1,0,2,1,1,2,2,84,1050,-8631,-404,-589,82,2,2,2,0,2,2,2,0,308,675,-8304,-85,-42,-38
'2017-08-02 15:23:54.076,1,1,0,2,1,1,2,2,136,1101,-8711,-152,-683,36,2,2,2,0,2,2,2,0,326,709,-8391,-97,-113,-70
'2017-08-02 15:23:54.086,1,1,0,2,1,1,2,2,85,1075,-8671,133,-787,-7,2,2,2,0,2,2,2,0,319,681,-8430,-155,-153,-76
'2017-08-02 15:23:54.096,1,1,0,2,1,1,2,2,71,952,-8672,341,-901,-37,2,2,2,0,2,2,2,0,273,687,-8391,-218,-169,-81
'2017-08-02 15:23:54.106,1,1,0,2,1,1,2,2,72,858,-8563,384,-956,-66,2,2,2,0,2,2,2,0,326,684,-8358,-275,-216,-77
'2017-08-02 15:23:54.116,1,1,0,2,1,1,2,2,44,827,-8499,347,-963,-98,2,2,2,0,2,2,2,0,297,550,-8354,-403,-289,-114
'2017-08-02 15:23:54.126,1,1,0,2,1,1,2,2,55,858,-8435,346,-1017,-128,2,2,2,0,2,2,2,0,363,488,-8318,-653,-377,-157
'2017-08-02 15:23:54.136,1,1,0,2,1,1,2,2,23,891,-8444,390,-1084,-170,2,2,2,0,2,2,2,0,337,618,-8329,-864,-511,-211
'2017-08-02 15:23:54.146,1,2,0,2,1,1,2,2,61,879,-8410,489,-1124,-211,2,2,2,0,2,2,2,1,376,713,-8171,-991,-694,-240
'2017-08-02 15:23:54.156,1,2,0,2,1,1,2,2,63,932,-8493,674,-1248,-228,2,2,2,1,2,2,2,1,425,758,-8146,-1133,-988,-245
'2017-08-02 15:23:54.166,1,2,1,2,1,1,2,2,-48,929,-8491,907,-1353,-259,2,2,2,1,2,2,2,1,445,720,-8085,-1305,-1353,-275
