시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 10:49:56.164,0,0,0,0,0,0,0,0,7273,5456,-5480,-8176,14042,2434,0,1,1,2,0,0,0,1,6,584,-8012,-43,93,110
'2017-08-03 10:49:56.174,0,0,0,0,0,0,0,0,7443,3235,-6325,-9302,15145,2748,0,1,1,2,0,0,0,1,13,555,-7993,-43,93,110
'2017-08-03 10:49:56.184,0,0,0,0,0,0,0,0,7294,2072,-7084,-9195,16936,3467,0,1,1,2,0,0,0,1,11,544,-8020,-43,93,110
'2017-08-03 10:49:56.194,0,0,0,0,0,0,0,0,6644,2159,-7715,-8840,18752,4190,0,1,1,2,0,0,0,1,23,573,-7986,-43,93,110
'2017-08-03 10:49:56.204,0,0,0,0,0,0,0,0,5549,2305,-8169,-8977,20133,4607,0,1,1,2,0,0,0,1,8,548,-7992,5,94,84
'2017-08-03 10:49:56.214,0,0,0,0,0,0,0,0,4049,2106,-8428,-9445,20726,4686,0,1,1,2,0,0,0,1,22,530,-8009,-6,91,116
'2017-08-03 10:49:56.224,0,0,0,0,0,0,0,0,2767,1717,-8710,-9906,20506,4488,0,1,1,2,0,0,0,1,19,510,-8013,0,65,109
'2017-08-03 10:49:56.234,0,0,0,0,0,0,0,0,2017,970,-9395,-9973,19960,4108,0,1,1,2,0,0,0,1,35,569,-7998,5,67,107
'2017-08-03 10:49:56.244,0,0,0,0,0,0,0,0,1847,376,-10367,-9433,19531,3653,0,1,1,2,0,0,0,1,23,560,-8001,-12,37,110
'2017-08-03 10:49:56.254,0,0,0,0,0,0,0,0,2139,141,-11391,-8683,19536,3231,0,1,1,2,0,0,0,1,17,550,-8020,-13,33,106
'2017-08-03 10:49:56.264,0,0,0,0,0,0,0,0,2134,241,-12482,-8155,19908,2832,0,1,1,2,0,0,0,1,24,570,-8018,-11,37,110
'2017-08-03 10:49:56.274,0,0,0,0,0,0,0,0,1612,167,-13368,-7923,20203,2482,0,1,1,2,0,0,0,1,28,522,-8008,-15,18,102
'2017-08-03 10:49:56.284,0,0,0,0,0,0,0,0,500,-68,-14409,-7661,20026,2317,0,1,1,2,0,0,0,1,10,565,-8045,-13,24,103
'2017-08-03 10:49:56.294,0,0,0,0,0,0,0,0,-899,-301,-15259,-7123,19404,2440,0,1,1,2,0,0,0,1,-1,524,-8055,-3,44,104
'2017-08-03 10:49:56.304,0,0,0,0,0,0,0,0,-3137,-404,-16237,-6454,18419,2868,0,1,1,2,0,0,0,1,-11,585,-8036,-7,71,119
'2017-08-03 10:49:56.314,0,0,0,0,0,0,0,0,-6472,-327,-17488,-6133,16803,3452,0,1,1,2,0,0,0,1,34,533,-8029,-8,64,107
'2017-08-03 10:49:56.324,0,0,0,0,0,0,0,0,-10371,-240,-18577,-6401,14747,3893,0,1,1,2,0,0,0,1,18,547,-8021,-13,68,107
'2017-08-03 10:49:56.334,0,0,0,0,0,0,0,0,-14475,-204,-19435,-7158,12583,4089,0,1,1,2,0,0,0,1,24,539,-8036,-11,63,112
