시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 10:46:32.712,1,2,2,0,0,1,1,0,3560,8818,-18874,896,17766,1963,0,0,1,2,0,0,0,2,-97,442,-8032,290,322,118
'2017-08-03 10:46:32.722,1,2,2,0,0,2,1,0,267,1824,-11988,3380,17401,-750,0,0,1,2,0,0,0,2,-108,452,-8079,290,322,118
'2017-08-03 10:46:32.732,1,2,2,1,0,2,1,0,2928,-2190,-11436,4657,10072,-511,0,0,1,2,0,0,0,2,-120,474,-8017,290,322,118
'2017-08-03 10:46:32.742,1,2,2,1,0,2,2,1,257,-255,-14109,1614,7014,-120,0,0,1,2,0,0,0,2,-109,449,-8001,290,322,118
'2017-08-03 10:46:32.752,1,2,2,2,0,2,2,2,756,-254,-11162,303,3065,-50,0,0,1,2,0,0,0,2,-111,467,-8019,290,322,118
'2017-08-03 10:46:32.762,1,2,2,2,0,2,2,2,68,-118,-9352,-921,1646,-15,0,0,1,2,0,0,0,2,-121,487,-7987,-2,-59,97
'2017-08-03 10:46:32.772,1,2,2,2,0,2,2,2,60,367,-8807,-1477,1456,-38,0,0,1,2,0,0,0,2,-76,445,-7967,-8,-109,88
'2017-08-03 10:46:32.782,1,2,2,2,0,2,2,2,261,141,-8964,-1835,1346,-75,0,0,1,2,0,0,0,2,-71,426,-7978,-65,-225,77
'2017-08-03 10:46:32.792,1,2,2,2,0,2,2,2,150,676,-8624,-1997,1306,-40,0,0,0,2,0,0,0,2,-109,439,-7984,-81,-301,71
'2017-08-03 10:46:32.802,1,2,2,2,0,2,2,2,353,859,-8454,-1405,1429,-89,0,0,0,2,0,0,0,2,-152,449,-8005,-70,-338,60
'2017-08-03 10:46:32.812,1,1,2,2,0,2,2,2,335,633,-8658,-824,1494,-130,0,0,0,2,0,0,0,2,-147,477,-8010,-59,-333,48
'2017-08-03 10:46:32.822,1,1,2,2,0,2,2,2,371,511,-8784,-543,1505,-101,0,0,0,2,0,0,0,2,-166,489,-8068,-31,-291,62
'2017-08-03 10:46:32.832,1,1,2,2,0,2,2,2,390,450,-8864,-493,1441,-81,0,0,0,2,0,0,0,2,-172,495,-8041,-2,-247,62
'2017-08-03 10:46:32.842,1,1,1,2,0,2,2,2,477,488,-8825,-468,1211,-18,0,0,0,2,0,0,0,2,-189,500,-8052,4,-195,72
'2017-08-03 10:46:32.852,1,0,1,2,0,1,2,2,522,502,-8817,-431,939,-7,0,0,0,2,0,0,0,2,-166,473,-8022,34,-144,74
'2017-08-03 10:46:32.862,1,0,1,2,0,1,2,2,556,532,-8780,-420,616,7,0,0,0,2,0,0,0,2,-180,485,-8024,54,-123,75
'2017-08-03 10:46:32.872,1,0,1,2,0,1,2,2,597,568,-8727,-367,213,-8,0,0,0,2,0,0,0,2,-175,458,-7975,58,-136,72
'2017-08-03 10:46:32.882,0,0,1,2,0,1,2,2,540,528,-8624,-308,-160,-31,0,0,0,2,0,0,0,2,-136,452,-7943,55,-194,59
'2017-08-03 10:46:32.892,0,0,1,2,0,1,2,2,647,628,-8668,-270,-735,-58,0,0,0,2,0,0,0,2,-141,419,-7912,41,-341,55
'2017-08-03 10:46:32.902,0,0,1,2,0,1,2,2,622,693,-8649,-2,-1208,-91,0,0,0,2,0,0,0,2,-209,414,-7921,-31,-497,13
'2017-08-03 10:46:32.912,0,0,1,2,0,1,2,2,495,515,-8607,242,-1454,-138,0,0,0,2,0,0,0,2,-227,442,-8026,-63,-592,8
'2017-08-03 10:46:32.922,0,0,1,2,0,1,2,2,383,461,-8527,283,-1476,-128,0,0,0,2,0,0,0,2,-219,480,-8037,-116,-589,6
'2017-08-03 10:46:32.932,0,0,1,2,0,1,2,2,380,536,-8446,360,-1395,-126,0,0,0,2,0,0,0,2,-265,507,-8101,-120,-518,15
'2017-08-03 10:46:32.942,1,0,1,2,0,2,2,2,364,422,-8432,429,-1318,-137,0,0,0,2,0,0,0,2,-307,554,-8069,-110,-431,17
'2017-08-03 10:46:32.952,1,0,1,2,0,2,2,2,414,558,-8547,482,-1433,-154,0,0,0,2,0,0,0,2,-310,531,-8069,-38,-196,57
'2017-08-03 10:46:32.962,1,0,1,2,0,2,2,2,387,531,-8670,618,-1574,-192,0,0,1,2,0,0,0,2,-402,576,-8081,128,153,69
'2017-08-03 10:46:32.972,1,0,1,2,0,2,2,2,256,483,-8614,708,-1628,-204,0,0,1,2,0,0,0,2,-342,682,-8190,467,593,110
'2017-08-03 10:46:32.982,1,1,1,1,0,2,2,1,215,451,-8529,728,-1505,-239,0,0,1,2,0,0,0,2,-206,571,-8107,742,779,167
'2017-08-03 10:46:32.992,1,1,2,1,0,2,2,1,147,394,-8507,737,-1321,-223,0,0,1,2,0,0,0,2,-182,558,-8058,878,819,188
'2017-08-03 10:46:33.002,1,1,2,1,0,2,2,1,191,429,-8519,705,-1176,-237,0,0,1,2,0,0,0,2,-247,471,-8047,983,830,205
'2017-08-03 10:46:33.012,1,1,2,1,0,2,2,1,168,364,-8623,633,-1123,-270,0,1,1,2,0,0,0,2,-109,308,-8036,1002,798,203
'2017-08-03 10:46:33.022,1,1,2,1,0,2,2,1,219,405,-8800,508,-1191,-269,0,1,1,2,0,0,0,2,-147,220,-7940,844,681,170
'2017-08-03 10:46:33.032,1,2,2,1,1,2,2,1,165,425,-8814,442,-1336,-308,0,1,2,2,0,0,0,2,-94,244,-7999,630,544,130
'2017-08-03 10:46:33.042,2,2,2,1,1,2,2,0,42,417,-8784,361,-1466,-349,0,2,2,2,0,0,0,2,-138,299,-8028,467,460,102
'2017-08-03 10:46:33.052,2,2,2,1,1,2,2,0,40,432,-8682,298,-1445,-363,0,2,2,2,0,0,0,2,-126,349,-8092,398,486,121
