시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 17:59:10.032,0,1,0,2,1,0,1,2,324,552,-8761,-1058,1190,209,0,1,0,2,1,0,0,0,10,907,-8068,-176,41,156
'2017-07-31 17:59:10.042,0,1,0,2,1,0,1,2,278,455,-8692,-1002,1143,230,0,1,0,2,1,0,0,0,12,901,-8042,-176,41,156
'2017-07-31 17:59:10.052,0,1,0,2,1,0,1,2,368,531,-8800,-979,1081,262,0,1,0,2,1,0,0,1,-27,890,-7944,-176,41,156
'2017-07-31 17:59:10.062,0,1,0,2,1,0,1,2,456,522,-8835,-1010,965,274,0,1,0,2,1,0,0,1,-83,965,-8002,-176,41,156
'2017-07-31 17:59:10.072,0,0,0,2,1,0,1,2,427,579,-8867,-1026,822,244,0,1,0,2,1,0,0,1,-153,1031,-8112,-257,-536,-19
'2017-07-31 17:59:10.082,0,0,0,2,1,0,1,2,290,583,-8852,-1044,779,168,0,0,0,2,0,0,0,1,-161,1021,-8148,-178,-501,-11
'2017-07-31 17:59:10.092,0,0,0,2,1,0,1,2,498,676,-8749,-1003,759,5,0,0,0,2,0,0,0,1,-159,997,-8162,-149,-432,-5
'2017-07-31 17:59:10.102,0,0,0,2,0,0,1,2,611,827,-8644,-916,689,-57,0,0,0,2,0,0,0,1,-146,1005,-8119,-119,-369,5
'2017-07-31 17:59:10.112,0,0,0,2,0,0,1,2,572,822,-8694,-742,578,-74,0,0,0,2,0,0,0,1,-110,996,-8098,-128,-336,14
'2017-07-31 17:59:10.122,0,0,0,2,0,0,1,2,530,849,-8683,-609,454,-15,0,0,0,2,0,0,0,1,-173,1001,-8085,-146,-307,12
'2017-07-31 17:59:10.132,0,0,0,2,0,0,1,2,492,758,-8764,-504,395,3,0,0,0,2,0,0,0,1,-181,1022,-8058,-128,-269,12
'2017-07-31 17:59:10.142,0,0,0,2,0,0,1,2,483,728,-8776,-453,371,-7,0,0,0,2,0,0,0,1,-183,1018,-8067,-104,-236,20
'2017-07-31 17:59:10.152,0,0,0,2,0,0,1,2,528,789,-8783,-402,312,-20,0,0,0,2,0,0,0,1,-215,1034,-8115,-68,-206,17
'2017-07-31 17:59:10.162,0,0,0,2,0,0,1,2,485,774,-8739,-366,281,-37,0,0,0,2,0,0,0,1,-198,1045,-8136,-28,-158,37
'2017-07-31 17:59:10.172,0,0,0,2,0,0,1,2,470,837,-8678,-293,243,-23,0,0,0,2,0,0,0,1,-181,1004,-8098,6,-130,49
'2017-07-31 17:59:10.182,0,0,0,2,0,0,1,2,507,802,-8640,-191,216,4,0,0,0,2,0,0,0,1,-186,1070,-8109,37,-98,49
'2017-07-31 17:59:10.192,0,0,0,2,0,0,1,2,498,806,-8656,-93,189,42,0,0,0,2,0,0,0,1,-226,1044,-8081,88,-53,73
'2017-07-31 17:59:10.202,0,0,0,2,0,0,1,2,571,821,-8648,-31,141,82,0,0,0,2,0,0,0,1,-207,1026,-8069,104,-16,83
'2017-07-31 17:59:10.212,0,0,0,2,0,0,1,2,545,823,-8699,30,74,120,0,0,0,2,0,0,0,1,-190,1010,-8086,151,15,112
'2017-07-31 17:59:10.222,0,0,0,2,0,0,1,2,586,893,-8689,126,25,148,0,0,0,2,0,0,0,1,-210,1003,-8073,159,38,108
'2017-07-31 17:59:10.232,0,0,0,2,0,0,1,2,583,881,-8705,257,-59,185,0,0,0,2,0,0,0,1,-187,986,-8029,184,67,123
'2017-07-31 17:59:10.242,0,0,0,2,0,0,1,2,587,898,-8609,407,-131,199,0,0,0,2,0,0,0,1,-171,984,-7976,215,87,127
'2017-07-31 17:59:10.252,0,0,0,2,0,0,1,2,589,816,-8611,580,-206,200,0,0,0,2,0,0,0,1,-225,1001,-8009,256,129,115
'2017-07-31 17:59:10.262,0,0,0,2,0,0,0,2,575,701,-8662,662,-260,201,0,0,0,2,0,0,0,1,-221,1034,-8072,305,185,130
'2017-07-31 17:59:10.272,0,0,0,2,0,0,0,2,537,713,-8721,650,-327,177,0,0,0,2,0,0,0,1,-174,974,-8062,350,223,128
'2017-07-31 17:59:10.282,0,0,0,2,0,0,0,2,560,728,-8772,678,-369,156,0,0,0,2,0,0,0,1,-201,931,-8154,348,290,138
'2017-07-31 17:59:10.292,0,0,0,2,0,0,0,2,639,790,-8865,700,-432,73,0,0,0,2,0,0,0,1,-230,996,-8199,324,396,152
'2017-07-31 17:59:10.302,0,0,0,2,0,0,0,2,649,917,-8956,798,-557,-73,0,0,0,2,0,0,0,1,-184,913,-8140,319,479,169
'2017-07-31 17:59:10.312,0,0,0,2,0,0,0,2,764,1151,-9101,1002,-767,-328,0,0,0,2,0,0,0,1,-209,981,-8112,326,664,194
'2017-07-31 17:59:10.322,0,0,0,2,0,0,0,2,926,1659,-9075,1407,-1157,-631,0,0,0,2,0,0,0,1,-397,1125,-8114,438,1081,227
'2017-07-31 17:59:10.332,0,0,0,2,0,0,0,1,914,2378,-9175,2418,-1750,-1050,0,1,0,1,0,0,0,0,-405,1227,-8131,679,1598,309
'2017-07-31 17:59:10.342,0,1,0,1,0,0,0,1,886,2733,-9599,4746,-2604,-1610,0,1,0,1,0,0,0,0,-475,1203,-8418,1086,1983,351
'2017-07-31 17:59:10.352,0,1,0,1,0,0,0,0,-335,4690,-14016,8658,-4772,-2124,0,1,0,1,1,0,0,0,14,1000,-8426,1370,1960,552
'2017-07-31 17:59:10.362,0,1,0,0,0,0,0,0,915,2457,-19139,14439,-7135,-2380,0,1,0,1,1,0,0,0,268,460,-8244,1434,1794,559
'2017-07-31 17:59:10.372,0,1,0,0,0,0,0,0,599,6118,-22389,10591,-8802,-3064,0,1,0,1,1,0,0,0,53,449,-8085,1536,1620,565
'2017-07-31 17:59:10.382,0,1,0,0,0,0,0,0,557,4677,-15520,9352,-11795,-4669,0,1,0,1,1,0,0,0,9,737,-8019,1448,1409,493
