시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 17:46:14.276,0,0,0,0,0,0,0,0,-1539,1498,-9201,-1213,330,1841,0,0,0,2,0,0,1,2,-98,17,-8135,-322,-629,36
'2017-07-31 17:46:14.286,0,0,0,0,0,0,0,0,-2175,1515,-9339,-1700,116,1965,0,0,0,2,0,0,1,2,-98,17,-8135,-322,-629,36
'2017-07-31 17:46:14.296,0,0,0,0,0,0,0,0,-2695,1754,-9615,-2165,-423,2021,0,0,0,2,0,0,1,2,-94,29,-8186,-322,-629,36
'2017-07-31 17:46:14.306,0,0,0,0,0,0,0,0,-2738,1396,-9337,-2615,-1047,2124,0,0,0,2,0,0,1,2,-84,26,-8166,-322,-629,36
'2017-07-31 17:46:14.316,0,0,0,0,0,0,0,0,-2654,480,-9203,-3804,-1703,2441,0,0,0,2,0,0,1,2,-78,2,-8165,-322,-629,36
'2017-07-31 17:46:14.326,0,0,0,0,0,0,0,0,-2836,-394,-9227,-5840,-2252,2823,0,0,0,2,0,0,1,2,-100,-24,-8165,-35,-21,79
'2017-07-31 17:46:14.336,0,0,0,0,0,0,0,0,-3002,-822,-9102,-6975,-2224,3208,0,0,0,2,0,0,1,2,-79,26,-8145,-52,2,79
'2017-07-31 17:46:14.346,0,0,0,0,0,0,0,0,-3738,-1600,-8747,-6890,-1936,3442,0,0,0,2,0,0,1,2,-74,18,-8152,-61,-12,70
'2017-07-31 17:46:14.356,0,0,0,0,0,0,0,0,-2200,-4899,-8670,-3527,-550,3678,0,0,0,2,0,0,1,2,-77,46,-8131,-62,10,71
'2017-07-31 17:46:14.366,0,0,0,0,0,0,0,0,-3154,-2648,-8408,-3494,343,4619,0,0,0,2,0,0,1,2,-36,0,-8142,-75,-12,70
'2017-07-31 17:46:14.376,0,0,0,0,0,0,0,0,-3590,-2564,-8874,-1682,1085,5120,0,0,0,2,0,0,1,2,-86,53,-8145,-109,-49,78
'2017-07-31 17:46:14.386,0,0,0,0,0,0,0,0,-4310,-2273,-8659,-76,1342,5259,0,0,0,2,0,0,1,2,-98,28,-8137,-103,-49,69
'2017-07-31 17:46:14.396,0,0,0,0,0,0,0,0,-4951,-1221,-8256,1506,780,5087,0,0,0,2,0,0,1,2,-126,59,-8164,-80,-39,58
'2017-07-31 17:46:14.406,0,0,0,0,0,0,0,0,-5230,-26,-8098,2270,-233,4593,0,0,0,2,0,0,1,2,-119,41,-8155,-75,-15,74
'2017-07-31 17:46:14.416,0,0,0,0,0,0,0,0,-5364,934,-7532,2048,-1304,3899,0,0,0,2,0,0,1,2,-118,56,-8149,-53,0,66
'2017-07-31 17:46:14.426,0,0,0,0,0,0,0,0,-5175,1523,-6937,1026,-2047,3113,0,0,0,2,0,0,1,2,-112,54,-8136,-40,15,77
'2017-07-31 17:46:14.436,0,0,0,0,0,0,0,0,-4803,1735,-6935,-280,-2436,2326,0,0,0,2,0,0,1,2,-82,87,-8143,-17,24,69
'2017-07-31 17:46:14.446,0,0,0,0,0,0,0,0,-4173,1541,-7358,-1330,-2620,1578,0,0,0,2,0,0,1,2,-93,51,-8148,-10,31,64
'2017-07-31 17:46:14.456,0,0,0,0,0,0,0,0,-3161,1274,-7632,-2026,-2668,989,0,0,0,2,0,0,1,2,-109,81,-8137,26,40,56
'2017-07-31 17:46:14.466,0,0,0,0,0,0,0,0,-1728,959,-7623,-2572,-2520,673,0,0,0,2,0,0,1,2,-101,51,-8129,35,45,61
'2017-07-31 17:46:14.476,0,0,0,0,0,0,0,0,-1153,1204,-7245,-2932,-2102,693,0,0,0,2,0,0,1,2,-108,72,-8162,52,71,69
'2017-07-31 17:46:14.486,0,0,0,0,0,0,0,0,-42,-2951,-8956,2525,-86,60,0,0,0,2,0,0,1,2,-120,52,-8172,73,87,62
