½Ã°£,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 17:39:29.098,2,2,0,0,1,0,0,0,-327,340,-8867,-460,47,52,0,0,0,1,0,0,1,2,-430,1092,-8165,388,552,195
'2017-07-31 17:39:29.108,2,2,1,0,2,0,0,0,-315,478,-8979,-230,-40,-9,0,0,0,1,0,0,1,2,-308,1031,-8146,448,719,238
'2017-07-31 17:39:29.118,2,2,1,0,2,0,0,0,-384,459,-8889,110,-79,-92,0,1,0,1,0,0,1,2,-307,997,-8072,479,783,254
'2017-07-31 17:39:29.128,2,2,1,0,2,0,0,0,-404,236,-8723,314,-49,-143,0,1,0,1,0,0,1,2,-188,1027,-8032,563,755,272
'2017-07-31 17:39:29.138,2,2,1,0,2,0,0,0,-400,169,-8669,334,8,-142,0,1,0,1,0,0,1,2,-159,940,-8001,654,632,281
'2017-07-31 17:39:29.148,2,2,1,0,2,0,0,0,-400,115,-8614,281,99,-122,0,1,0,1,0,0,1,2,-125,927,-7971,736,536,275
'2017-07-31 17:39:29.158,2,2,1,0,2,0,0,0,-398,145,-8660,181,209,-96,0,1,0,1,0,0,1,2,-158,905,-8004,803,457,270
'2017-07-31 17:39:29.168,2,2,1,0,1,0,0,0,-372,214,-8614,164,304,-102,0,1,0,1,0,0,1,2,-149,792,-8021,784,387,257
'2017-07-31 17:39:29.178,2,2,1,0,1,0,0,0,-311,218,-8663,186,391,-107,0,1,0,1,0,0,1,2,-132,719,-8088,671,351,238
'2017-07-31 17:39:29.188,2,2,1,0,1,0,0,0,-384,239,-8684,208,464,-117,0,1,0,1,0,0,1,2,-265,827,-8082,604,477,234
'2017-07-31 17:39:29.198,2,2,1,1,1,0,0,0,-346,238,-8802,271,526,-119,0,1,0,1,0,0,1,2,-246,818,-8192,657,631,258
'2017-07-31 17:39:29.208,2,2,1,1,1,0,0,0,-318,218,-8783,330,585,-141,1,1,0,1,0,0,1,2,-280,877,-8209,758,763,253
'2017-07-31 17:39:29.218,2,2,0,1,1,0,0,0,-405,147,-8501,347,705,-155,1,1,0,1,0,0,1,2,-263,1024,-8145,1012,895,279
'2017-07-31 17:39:29.228,2,2,0,1,1,0,0,1,-412,-116,-8422,137,972,-103,1,1,1,1,1,0,1,2,-122,895,-8222,1331,915,331
'2017-07-31 17:39:29.238,2,2,0,1,1,0,0,1,-339,-120,-8438,-308,1269,4,1,1,1,1,1,0,0,2,0,687,-8221,1409,815,409
'2017-07-31 17:39:29.248,2,2,0,1,1,0,0,1,-208,-168,-8525,-801,1502,131,1,1,1,1,1,0,0,2,41,567,-8116,1312,667,427
'2017-07-31 17:39:29.258,2,2,0,1,1,0,0,1,-79,-6,-8808,-1247,1589,236,1,1,1,1,1,0,0,1,-20,536,-8093,1159,555,413
'2017-07-31 17:39:29.268,1,1,0,1,1,0,0,1,-24,262,-8911,-1426,1490,291,1,1,1,1,1,0,0,1,-6,471,-8134,1016,485,388
'2017-07-31 17:39:29.278,1,1,0,2,1,0,0,1,21,398,-8942,-1216,1258,255,1,1,1,1,1,0,0,1,28,380,-8134,763,437,366
'2017-07-31 17:39:29.288,1,1,0,2,1,0,0,2,39,430,-9066,-917,874,177,1,1,1,1,1,0,0,1,3,555,-8179,530,382,321
'2017-07-31 17:39:29.298,1,1,0,2,1,0,0,2,-49,363,-9021,-701,618,120,1,1,1,2,1,0,0,1,-32,620,-8138,488,376,318
'2017-07-31 17:39:29.308,1,1,0,2,1,0,0,2,-80,337,-8862,-597,514,91,1,1,1,1,1,0,0,1,-22,628,-8166,525,349,357
'2017-07-31 17:39:29.318,1,1,0,2,0,0,0,2,-69,375,-8726,-506,475,91,1,1,1,1,1,0,0,1,-7,601,-8169,513,310,382
'2017-07-31 17:39:29.328,1,1,0,2,0,0,0,2,-76,391,-8709,-412,471,88,1,1,1,1,1,0,0,0,5,602,-8091,486,320,411
'2017-07-31 17:39:29.338,1,1,0,2,0,0,0,2,-11,426,-8741,-314,439,78,1,1,1,1,1,0,0,0,47,547,-8081,503,302,434
'2017-07-31 17:39:29.348,0,1,0,2,0,0,0,2,84,586,-8728,-57,204,46,1,1,1,1,1,0,0,0,48,466,-8034,486,297,434
'2017-07-31 17:39:29.358,0,1,0,2,0,0,0,2,-18,502,-8849,317,3,-39,1,1,1,0,1,0,0,0,56,522,-8010,500,280,439
'2017-07-31 17:39:29.368,0,1,0,2,0,0,0,2,-20,366,-8849,507,-168,-82,1,1,1,0,1,0,0,0,38,410,-8016,551,271,401
