__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 20:25:43.284,1,0,1,2,0,1,1,1,385,495,-8461,-114,162,45,1,1,1,2,0,1,1,2,-439,613,-8474,-27,-109,-3
'2017-08-03 20:25:43.294,1,0,1,2,0,1,1,1,384,511,-8444,-105,179,50,1,1,1,2,0,1,1,2,-400,663,-8474,-27,-109,-3
'2017-08-03 20:25:43.304,1,0,1,2,0,1,1,1,380,523,-8462,-90,181,53,1,1,1,2,0,1,1,2,-420,624,-8466,-27,-109,-3
'2017-08-03 20:25:43.314,1,0,1,2,0,1,1,1,413,500,-8456,-74,179,52,1,1,1,2,0,1,1,2,-367,666,-8475,-27,-109,-3
'2017-08-03 20:25:43.324,1,0,1,2,0,1,1,1,407,471,-8460,-80,170,45,1,1,1,2,0,1,1,2,-408,642,-8483,-73,167,29
'2017-08-03 20:25:43.334,1,0,1,2,0,1,1,1,384,483,-8453,-96,203,50,1,1,1,2,0,1,1,2,-368,602,-8457,-55,165,16
'2017-08-03 20:25:43.344,1,0,1,2,0,1,1,1,397,478,-8459,-116,233,54,1,1,1,2,0,1,1,2,-388,631,-8477,-56,164,30
'2017-08-03 20:25:43.354,1,0,1,2,0,1,1,1,448,509,-8457,-118,205,54,1,1,1,2,0,1,1,2,-398,643,-8428,-57,165,28
'2017-08-03 20:25:43.364,1,0,1,2,0,1,1,1,405,503,-8469,-99,178,44,1,1,1,2,0,1,1,1,-397,621,-8469,-49,171,18
'2017-08-03 20:25:43.374,1,0,1,2,0,1,1,2,428,482,-8460,-94,170,46,1,1,1,2,0,2,1,1,-377,641,-8447,-26,172,30
'2017-08-03 20:25:43.384,1,0,1,2,0,1,1,2,437,482,-8456,-99,159,45,1,1,1,2,0,2,1,1,-389,657,-8488,-25,196,28
'2017-08-03 20:25:43.394,1,0,1,2,0,1,1,2,445,498,-8409,-101,168,37,1,1,1,2,0,2,1,1,-372,630,-8490,2,216,26
'2017-08-03 20:25:43.404,1,0,1,2,0,1,1,2,461,497,-8409,-85,141,34,1,1,1,2,0,2,1,1,-340,653,-8450,7,217,30
'2017-08-03 20:25:43.414,1,0,1,2,0,1,1,2,454,537,-8447,-71,107,32,1,1,1,2,0,2,1,1,-350,651,-8440,28,214,20
'2017-08-03 20:25:43.424,1,0,1,2,0,1,1,2,452,506,-8453,-64,93,19,1,1,1,2,0,2,1,1,-353,649,-8451,29,206,30
'2017-08-03 20:25:43.434,1,0,1,2,0,1,1,2,458,504,-8438,-61,89,22,1,1,1,2,0,2,1,1,-340,631,-8494,38,197,32
'2017-08-03 20:25:43.444,1,0,1,2,0,1,1,2,457,512,-8449,-80,96,19,1,1,1,2,0,2,1,1,-323,626,-8466,39,196,32
'2017-08-03 20:25:43.454,1,0,1,2,0,1,1,2,441,485,-8473,-87,92,8,1,1,1,2,0,2,1,1,-340,619,-8495,33,211,29
'2017-08-03 20:25:43.464,1,0,1,2,0,1,1,2,454,476,-8424,-98,101,8,1,1,1,2,0,2,1,1,-315,609,-8466,13,205,26
'2017-08-03 20:25:43.474,1,0,1,2,0,1,1,2,452,502,-8453,-98,108,8,1,1,1,2,0,2,1,1,-320,614,-8462,-6,190,22
'2017-08-03 20:25:43.484,1,0,1,2,0,1,1,2,447,520,-8510,-115,111,6,1,1,1,2,0,2,1,1,-310,612,-8429,-8,171,20
'2017-08-03 20:25:43.494,1,0,1,2,0,1,1,2,454,532,-8459,-118,106,6,1,1,1,2,0,2,1,1,-295,611,-8451,2,161,19
'2017-08-03 20:25:43.504,1,0,1,2,0,1,1,2,458,500,-8449,-131,98,9,1,1,1,2,0,2,1,1,-315,609,-8430,-3,125,20
'2017-08-03 20:25:43.514,1,0,1,2,0,1,1,2,496,511,-8464,-133,84,1,1,1,1,2,0,2,1,1,-316,658,-8428,9,99,18
