__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 19:58:24.050,1,1,1,1,0,2,1,1,-548,740,-8453,-71,127,21,1,1,0,2,0,1,1,2,85,196,-8542,11,49,12
'2017-08-03 19:58:24.060,1,1,1,1,0,2,1,1,-528,719,-8455,-72,168,24,1,1,0,2,0,1,1,2,66,184,-8539,11,49,12
'2017-08-03 19:58:24.070,1,1,1,2,0,2,1,1,-515,737,-8437,-79,205,29,1,1,0,2,0,1,1,2,109,152,-8495,11,49,12
'2017-08-03 19:58:24.080,1,1,1,2,0,2,1,1,-512,706,-8441,-88,238,28,1,1,0,2,0,1,1,2,62,172,-8545,11,49,12
'2017-08-03 19:58:24.090,1,1,1,2,0,2,1,1,-488,727,-8479,-98,248,27,1,1,0,2,0,1,1,2,79,168,-8487,11,49,12
'2017-08-03 19:58:24.100,1,1,1,2,0,2,1,1,-493,747,-8495,-101,215,23,1,1,0,2,0,1,1,2,88,162,-8547,4,-100,8
'2017-08-03 19:58:24.110,1,1,1,2,0,2,1,1,-515,721,-8505,-104,213,28,1,1,0,2,0,1,1,2,67,191,-8536,-7,-72,-5
'2017-08-03 19:58:24.120,1,1,1,2,0,2,1,1,-493,751,-8459,-114,210,25,0,1,0,2,0,1,1,2,80,172,-8507,-5,-69,6
'2017-08-03 19:58:24.130,1,1,1,2,0,2,1,1,-472,776,-8498,-113,202,23,0,1,0,2,0,1,1,2,77,154,-8533,-19,-70,-6
'2017-08-03 19:58:24.140,1,1,1,2,0,2,1,1,-484,745,-8448,-102,212,28,0,1,0,2,0,1,1,2,54,198,-8528,-9,-50,5
'2017-08-03 19:58:24.150,1,1,1,2,0,2,1,2,-483,783,-8438,-79,233,25,0,1,0,2,0,1,1,2,60,180,-8545,2,-60,0
'2017-08-03 19:58:24.160,1,1,1,2,0,2,1,2,-497,749,-8412,-55,256,19,0,1,0,2,0,1,1,2,78,160,-8544,16,-50,1
'2017-08-03 19:58:24.170,1,1,1,2,0,2,1,2,-462,709,-8456,-64,312,9,0,1,0,2,0,1,1,2,64,195,-8551,19,-36,4
'2017-08-03 19:58:24.180,1,1,1,2,0,2,1,2,-472,723,-8456,-95,370,7,0,1,0,2,0,1,1,2,57,159,-8538,32,-25,4
'2017-08-03 19:58:24.190,1,1,1,2,0,2,1,2,-498,692,-8463,-149,435,-3,0,1,0,2,0,1,1,2,59,161,-8554,27,-20,2
'2017-08-03 19:58:24.200,1,1,1,2,0,2,1,2,-475,700,-8491,-204,518,4,0,1,0,2,0,1,1,2,65,168,-8543,22,-21,-1
'2017-08-03 19:58:24.210,1,1,1,2,0,2,1,2,-474,743,-8468,-255,597,19,0,1,0,2,0,1,1,2,67,155,-8572,21,-17,-9
'2017-08-03 19:58:24.220,1,1,1,2,0,2,1,2,-444,740,-8485,-256,690,13,0,1,0,2,0,1,1,2,68,185,-8553,24,-1,-3
'2017-08-03 19:58:24.230,1,1,1,2,0,2,1,2,-426,744,-8491,-246,787,22,0,1,0,2,0,1,1,2,60,167,-8547,20,13,-8
'2017-08-03 19:58:24.240,1,1,1,2,0,2,1,2,-390,719,-8516,-222,869,35,0,1,0,2,0,1,1,2,76,175,-8549,10,13,-5
