__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 20:04:32.934,1,0,1,2,0,0,1,2,1657,709,-8329,-137,86,37,0,0,0,1,0,1,1,1,-925,1607,-8269,2,-13,-13
'2017-08-03 20:04:32.944,1,0,1,2,0,0,1,2,1632,671,-8280,-104,88,45,0,0,0,1,0,1,1,1,-897,1644,-8285,2,-13,-13
'2017-08-03 20:04:32.954,1,0,1,2,0,0,1,2,1640,669,-8316,-87,123,48,0,0,0,1,0,1,1,1,-936,1598,-8306,2,-13,-13
'2017-08-03 20:04:32.964,1,0,1,2,0,0,1,2,1620,691,-8310,-94,184,58,0,0,0,1,0,1,1,1,-921,1607,-8285,2,-13,-13
'2017-08-03 20:04:32.974,1,0,1,2,0,0,1,2,1674,699,-8307,-80,228,63,0,0,0,1,0,1,1,1,-911,1651,-8273,148,5,10
'2017-08-03 20:04:32.984,1,0,1,2,0,0,1,2,1686,684,-8289,-65,241,72,0,0,0,1,0,1,1,1,-923,1568,-8289,120,17,-17
'2017-08-03 20:04:32.994,1,0,1,2,0,0,1,2,1673,671,-8319,-57,264,82,0,0,0,1,0,1,1,1,-908,1612,-8251,113,23,-32
'2017-08-03 20:04:33.004,1,0,1,2,0,0,1,2,1677,682,-8293,-75,278,68,0,0,0,1,0,1,1,1,-895,1618,-8238,114,-1,-32
'2017-08-03 20:04:33.014,1,0,1,2,0,0,1,2,1697,701,-8324,-79,294,75,0,0,0,1,0,1,1,1,-901,1611,-8253,154,-49,-35
'2017-08-03 20:04:33.024,1,0,1,2,0,0,1,2,1688,690,-8278,-93,301,68,0,0,0,1,0,1,1,1,-879,1621,-8230,160,-98,-32
'2017-08-03 20:04:33.034,1,0,1,2,0,0,1,2,1696,703,-8339,-59,292,75,0,0,0,1,0,1,1,1,-908,1611,-8223,180,-150,-30
'2017-08-03 20:04:33.044,1,0,1,2,0,0,1,2,1689,700,-8309,-27,282,73,0,0,0,1,0,1,1,1,-955,1600,-8276,172,-129,-9
'2017-08-03 20:04:33.054,1,0,1,2,0,0,1,2,1715,680,-8295,4,261,73,0,0,0,1,0,1,1,1,-961,1582,-8310,165,-74,9
'2017-08-03 20:04:33.064,1,0,1,2,0,0,1,2,1743,690,-8316,27,238,69,0,0,0,1,0,1,1,1,-919,1548,-8322,123,-38,14
'2017-08-03 20:04:33.074,1,0,1,2,0,0,1,2,1732,681,-8346,41,189,69,0,0,0,1,0,1,1,1,-901,1598,-8335,87,-24,14
'2017-08-03 20:04:33.084,1,0,1,2,0,0,1,2,1769,687,-8335,58,128,58,0,0,0,1,0,1,1,1,-896,1552,-8348,75,-8,1
'2017-08-03 20:04:33.094,1,0,1,2,0,0,1,2,1765,699,-8352,62,50,44,0,0,0,1,0,1,1,1,-900,1577,-8294,73,8,-4
'2017-08-03 20:04:33.104,1,0,1,2,0,0,1,2,1730,678,-8378,77,-4,41,0,0,0,1,0,1,1,1,-910,1573,-8316,62,3,-9
