__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 19:35:28.060,1,0,1,2,0,1,1,2,384,850,-8508,-40,-6,16,1,1,1,2,0,1,1,2,-482,720,-8521,-45,-85,-6
'2017-08-03 19:35:28.070,1,0,1,2,0,1,1,2,368,851,-8450,-38,-1,22,1,1,1,2,0,1,1,2,-477,676,-8454,-45,-85,-6
'2017-08-03 19:35:28.080,1,0,1,2,0,1,1,2,356,885,-8489,-45,2,17,1,1,1,2,0,1,1,2,-471,694,-8497,-45,-85,-6
'2017-08-03 19:35:28.090,1,0,1,2,0,1,1,2,356,835,-8459,-50,9,15,1,1,1,2,0,1,1,2,-495,700,-8484,-45,-85,-6
'2017-08-03 19:35:28.100,1,0,1,2,0,1,1,2,374,844,-8485,-55,1,9,1,1,1,2,0,1,1,2,-491,708,-8487,-12,-76,20
'2017-08-03 19:35:28.110,1,0,1,2,0,1,1,2,354,881,-8505,-63,9,15,1,1,1,2,0,1,1,2,-471,699,-8490,-19,-93,0
'2017-08-03 19:35:28.120,1,0,1,2,0,1,1,2,373,874,-8471,-58,9,8,1,1,1,2,0,1,1,2,-502,679,-8477,-21,-102,-11
'2017-08-03 19:35:28.130,1,0,1,2,0,1,1,2,374,864,-8469,-63,15,17,1,1,1,2,0,1,1,2,-473,710,-8458,-10,-96,-2
'2017-08-03 19:35:28.140,1,0,1,2,0,1,1,2,364,851,-8466,-62,15,12,1,1,1,2,0,1,1,2,-491,691,-8500,-9,-91,2
'2017-08-03 19:35:28.150,1,0,1,2,0,1,1,2,371,883,-8491,-62,13,15,1,1,1,2,0,1,1,2,-503,707,-8494,-11,-88,0
'2017-08-03 19:35:28.160,1,0,1,2,0,1,1,2,370,857,-8476,-79,22,13,1,1,1,2,0,1,1,2,-477,657,-8504,3,-79,-4
'2017-08-03 19:35:28.170,1,0,1,2,0,1,1,2,393,871,-8466,-77,15,18,1,1,1,2,0,1,1,2,-476,706,-8488,4,-63,0
'2017-08-03 19:35:28.180,1,0,1,2,0,1,1,2,377,855,-8461,-65,4,9,1,1,1,2,0,1,1,2,-483,699,-8508,-8,-76,-2
'2017-08-03 19:35:28.190,1,0,1,2,0,1,1,2,384,868,-8477,-70,-1,12,1,1,1,2,0,1,1,2,-468,698,-8466,-9,-80,-14
'2017-08-03 19:35:28.200,1,0,1,2,0,1,1,2,354,867,-8465,-53,-9,21,1,1,1,2,0,1,1,2,-479,700,-8502,-9,-76,-2
'2017-08-03 19:35:28.210,1,0,1,2,0,1,1,2,371,887,-8466,-42,-14,9,1,1,1,2,0,1,1,2,-471,692,-8492,-12,-68,-12
'2017-08-03 19:35:28.220,1,0,1,2,0,1,1,2,378,843,-8470,-34,-5,18,1,1,1,2,0,1,1,2,-496,710,-8504,-11,-62,-1
'2017-08-03 19:35:28.230,1,0,1,2,0,1,1,2,364,879,-8483,-34,-16,21,1,1,1,2,0,1,1,2,-505,707,-8488,-5,-57,8
'2017-08-03 19:35:28.240,1,0,1,2,0,1,1,2,378,877,-8487,-27,-24,18,1,1,1,2,0,1,1,2,-489,674,-8500,-9,-41,10
'2017-08-03 19:35:28.250,1,0,1,2,0,1,1,2,365,857,-8462,-41,-28,11,1,1,1,2,0,1,1,2,-493,667,-8461,-17,-34,6
'2017-08-03 19:35:28.260,1,0,1,2,0,1,1,2,388,841,-8464,-39,-32,11,1,1,1,2,0,1,1,2,-487,703,-8469,-13,-49,-2
'2017-08-03 19:35:28.270,1,0,1,2,0,1,1,2,355,855,-8465,-37,-25,15,1,1,1,2,0,1,1,2,-476,710,-8468,-16,-47,5
'2017-08-03 19:35:28.280,1,0,1,2,0,1,1,2,368,875,-8488,-46,-23,17,1,1,1,2,0,1,1,2,-473,709,-8500,-18,-77,2
'2017-08-03 19:35:28.290,1,0,1,2,0,1,1,2,378,904,-8455,-35,-24,20,1,1,1,2,0,1,1,2,-490,698,-8468,-19,-68,5
'2017-08-03 19:35:28.300,1,0,1,2,0,1,1,2,386,864,-8453,-36,-26,21,1,1,1,2,0,1,1,2,-487,700,-8495,-24,-75,-4
'2017-08-03 19:35:28.310,1,0,1,2,0,1,1,2,377,897,-8473,-36,-18,14,1,1,1,2,0,1,1,2,-494,717,-8490,-12,-76,6
'2017-08-03 19:35:28.320,1,0,1,2,0,1,1,2,368,834,-8500,-33,-30,22,1,1,1,2,0,1,1,2,-503,694,-8470,-19,-65,1
'2017-08-03 19:35:28.330,1,0,1,2,0,1,1,2,390,870,-8473,-28,-25,13,1,1,1,2,0,1,1,2,-469,713,-8514,-24,-60,6
'2017-08-03 19:35:28.340,1,0,1,2,0,1,1,2,370,850,-8474,-34,-21,14,0,1,1,2,0,1,1,2,-512,689,-8496,-22,-55,8
'2017-08-03 19:35:28.350,1,0,1,2,0,1,1,2,357,863,-8465,-31,-22,14,0,1,1,2,0,1,1,2,-510,729,-8471,-6,-42,0
'2017-08-03 19:35:28.360,1,0,1,2,0,1,1,2,378,860,-8480,-22,-18,24,0,1,1,2,0,1,1,2,-486,700,-8489,-11,-35,6
'2017-08-03 19:35:28.370,1,0,1,2,0,1,1,2,367,859,-8484,-30,-11,14,0,1,1,2,0,1,1,2,-502,697,-8476,-3,-32,-2
'2017-08-03 19:35:28.380,1,0,1,2,0,1,1,2,348,880,-8465,-33,-9,17,0,1,1,2,0,1,1,2,-495,717,-8470,-3,-34,8
'2017-08-03 19:35:28.390,1,0,1,2,0,1,1,2,379,869,-8479,-36,-20,13,0,1,1,2,0,1,1,2,-480,692,-8460,-7,-31,2
'2017-08-03 19:35:28.400,1,0,1,2,0,1,1,2,385,870,-8477,-40,-27,14,0,1,1,2,0,1,1,2,-489,701,-8491,-12,-26,8
'2017-08-03 19:35:28.410,1,0,1,2,0,1,1,2,370,811,-8478,-38,-26,20,0,1,1,2,0,1,1,2,-496,703,-8480,-3,-22,1
'2017-08-03 19:35:28.420,1,0,1,2,0,1,1,2,345,866,-8483,-31,-37,17,0,1,1,2,0,1,1,2,-505,674,-8464,-8,-16,2
'2017-08-03 19:35:28.430,1,0,1,2,0,1,1,2,355,852,-8469,-39,-29,16,0,1,1,2,0,1,1,2,-497,717,-8479,-5,-28,3
'2017-08-03 19:35:28.440,1,0,1,2,0,1,1,2,374,871,-8458,-32,-33,19,0,1,1,2,0,1,1,2,-491,708,-8473,1,-9,9
'2017-08-03 19:35:28.450,1,0,1,2,0,1,1,2,374,854,-8488,-40,-28,11,0,1,1,2,0,1,1,2,-483,709,-8470,-1,-21,3
'2017-08-03 19:35:28.460,1,0,1,2,0,1,1,2,368,894,-8462,-39,-39,12,0,1,1,2,0,1,1,2,-501,708,-8466,0,-28,1
'2017-08-03 19:35:28.470,1,0,1,2,0,1,1,2,353,873,-8475,-36,-41,18,0,1,1,2,0,1,1,2,-489,700,-8468,-8,-30,4
'2017-08-03 19:35:28.480,1,0,1,2,0,1,1,2,387,848,-8491,-34,-38,15,0,1,1,2,0,1,1,2,-472,697,-8487,-1,-52,-2
'2017-08-03 19:35:28.490,1,0,1,2,0,1,1,2,364,845,-8495,-40,-44,10,0,1,1,2,0,1,1,2,-506,712,-8463,-3,-45,-5
'2017-08-03 19:35:28.500,1,0,1,2,0,1,1,2,368,880,-8488,-33,-28,11,0,1,1,2,0,1,1,2,-480,707,-8463,1,-46,0
'2017-08-03 19:35:28.510,1,0,1,2,0,1,1,2,366,858,-8457,-32,-27,9,0,1,1,2,0,1,1,2,-490,704,-8449,4,-53,-4
'2017-08-03 19:35:28.520,1,0,1,2,0,1,1,2,389,865,-8485,-41,-32,12,0,1,1,2,0,1,1,2,-476,709,-8481,3,-50,-3
'2017-08-03 19:35:28.530,1,0,1,2,0,1,1,2,374,869,-8490,-38,-35,11,0,1,1,2,0,1,1,2,-507,724,-8485,10,-50,-6
'2017-08-03 19:35:28.540,1,0,1,2,0,1,1,2,360,867,-8495,-29,-29,18,0,1,1,2,0,1,1,2,-479,721,-8483,13,-47,-5
'2017-08-03 19:35:28.550,1,0,1,2,0,1,1,2,342,862,-8467,-40,-25,16,0,1,1,2,0,1,1,2,-500,706,-8469,10,-38,-2
'2017-08-03 19:35:28.560,1,0,1,2,0,1,1,2,366,866,-8468,-31,-20,17,0,1,1,2,0,1,1,2,-489,685,-8486,31,-31,-10
'2017-08-03 19:35:28.570,1,0,1,2,0,1,1,2,372,874,-8484,-34,-13,12,0,1,1,2,0,1,1,2,-514,709,-8493,20,-32,2
'2017-08-03 19:35:28.580,1,0,1,2,0,1,1,2,370,873,-8468,-28,-24,16,0,1,1,2,0,1,1,2,-495,695,-8509,22,-35,-8
'2017-08-03 19:35:28.590,1,0,1,2,0,1,1,2,372,875,-8489,-27,-17,13,0,1,1,2,0,1,1,2,-495,726,-8496,14,-53,1
'2017-08-03 19:35:28.600,1,0,1,2,0,1,1,2,367,854,-8470,-27,-24,14,0,1,1,2,0,1,1,2,-505,682,-8476,13,-45,-6
'2017-08-03 19:35:28.610,1,0,1,2,0,1,1,2,367,871,-8485,-27,-26,7,0,1,1,2,0,1,1,2,-498,710,-8483,8,-48,-11
'2017-08-03 19:35:28.620,1,0,1,2,0,1,1,2,370,855,-8467,-28,-28,10,0,1,1,2,0,1,1,2,-471,689,-8453,7,-51,4
'2017-08-03 19:35:28.630,1,0,1,2,0,1,1,2,371,865,-8479,-35,-44,13,0,1,1,2,0,1,1,2,-494,717,-8471,0,-60,-1
'2017-08-03 19:35:28.640,1,0,1,2,0,1,1,2,345,856,-8452,-37,-43,19,0,1,1,2,0,1,1,2,-484,709,-8450,-6,-67,0
'2017-08-03 19:35:28.650,1,0,1,2,0,1,1,2,354,853,-8478,-38,-46,6,0,1,1,2,0,1,1,2,-475,715,-8476,-1,-79,-3
'2017-08-03 19:35:28.660,1,0,1,2,0,1,1,2,389,878,-8505,-45,-50,12,0,1,1,2,0,1,1,2,-491,677,-8449,-12,-83,-2
'2017-08-03 19:35:28.670,1,0,1,2,0,1,1,2,371,869,-8476,-44,-47,9,0,1,1,2,0,1,1,2,-499,699,-8494,-16,-86,0
'2017-08-03 19:35:28.680,1,0,1,2,0,1,1,2,370,859,-8458,-47,-41,14,0,1,1,2,0,1,1,2,-504,713,-8473,-14,-93,-8
'2017-08-03 19:35:28.690,1,0,1,2,0,1,1,2,352,852,-8485,-40,-38,8,0,1,1,2,0,1,1,2,-493,694,-8497,-13,-88,-6
'2017-08-03 19:35:28.700,1,0,1,2,0,1,1,2,364,867,-8440,-34,-36,10,0,1,1,2,0,1,1,2,-489,720,-8469,-19,-80,-4
'2017-08-03 19:35:28.710,1,0,1,2,0,1,1,2,349,870,-8487,-33,-53,10,0,1,1,2,0,1,1,2,-477,722,-8493,-9,-89,-5
'2017-08-03 19:35:28.720,1,0,1,2,0,1,1,2,360,870,-8494,-41,-54,8,0,1,1,2,0,1,1,2,-525,684,-8495,3,-76,0
'2017-08-03 19:35:28.730,1,0,1,2,0,1,1,2,366,858,-8479,-38,-55,11,0,1,1,2,0,1,1,2,-504,709,-8482,3,-65,8
'2017-08-03 19:35:28.740,1,0,1,2,0,1,1,2,376,852,-8457,-32,-52,10,0,1,1,2,0,1,1,2,-503,692,-8495,1,-43,3
'2017-08-03 19:35:28.750,1,0,1,2,0,1,1,2,356,863,-8457,-32,-59,21,0,1,1,2,0,1,1,2,-479,690,-8475,-7,-46,-1
'2017-08-03 19:35:28.760,1,0,1,2,0,1,1,2,361,859,-8455,-30,-59,8,0,1,1,2,0,1,1,2,-496,688,-8492,-4,-33,3
'2017-08-03 19:35:28.770,1,0,1,2,0,1,1,2,347,859,-8453,-35,-51,17,0,1,1,2,0,1,1,2,-481,678,-8479,-15,-46,-2
'2017-08-03 19:35:28.780,1,0,1,2,0,1,1,2,344,852,-8457,-22,-60,8,0,1,1,2,0,1,1,2,-483,697,-8470,-16,-42,9
'2017-08-03 19:35:28.790,1,0,1,2,0,1,1,2,348,890,-8456,-22,-56,17,0,1,1,2,0,1,1,2,-508,693,-8500,-18,-44,-5
'2017-08-03 19:35:28.800,1,0,1,2,0,1,1,2,352,856,-8491,-19,-56,15,0,1,1,2,0,1,1,2,-514,685,-8467,-22,-55,2
'2017-08-03 19:35:28.810,1,0,1,2,0,1,1,2,358,853,-8486,-18,-61,18,0,1,1,2,0,1,1,2,-478,672,-8463,-19,-58,0
'2017-08-03 19:35:28.820,1,0,1,2,0,1,1,2,341,860,-8505,-16,-51,18,0,1,1,2,0,1,1,2,-490,688,-8512,-12,-69,4
'2017-08-03 19:35:28.830,1,0,1,2,0,1,1,2,351,875,-8483,-21,-53,15,0,1,1,2,0,1,1,2,-505,735,-8493,-8,-78,-4
'2017-08-03 19:35:28.840,1,0,1,2,0,1,1,2,345,871,-8500,-21,-51,15,0,1,1,2,0,1,1,2,-500,708,-8481,-10,-93,-5
'2017-08-03 19:35:28.850,1,0,1,2,0,1,1,2,349,890,-8478,-23,-47,14,0,1,1,2,0,1,1,2,-497,701,-8496,-2,-82,-3
'2017-08-03 19:35:28.860,1,0,1,2,0,1,1,2,326,879,-8466,-31,-35,15,0,1,1,2,0,1,1,2,-504,696,-8531,-11,-72,-5
'2017-08-03 19:35:28.870,1,0,1,2,0,1,1,2,354,864,-8475,-27,-39,11,0,1,1,2,0,1,1,2,-509,721,-8512,-11,-69,-2
'2017-08-03 19:35:28.880,1,0,1,2,0,1,1,2,333,886,-8470,-36,-26,9,0,0,0,2,0,1,1,2,-501,709,-8471,-12,-66,-8
'2017-08-03 19:35:28.890,1,0,1,2,0,1,1,2,333,862,-8495,-31,-24,16,0,0,0,2,0,1,1,2,-513,684,-8497,-17,-77,0
'2017-08-03 19:35:28.900,1,0,1,2,0,1,1,2,349,857,-8470,-34,-26,17,0,0,0,2,0,1,1,2,-510,718,-8471,-16,-84,-9
'2017-08-03 19:35:28.910,1,0,1,2,0,1,1,2,360,841,-8481,-29,-26,13,0,0,0,2,0,1,1,2,-511,699,-8494,-16,-101,-8
'2017-08-03 19:35:28.920,1,0,1,2,0,1,1,2,339,874,-8497,-32,-34,11,0,0,0,2,0,0,1,2,-516,711,-8495,-7,-93,-6
'2017-08-03 19:35:28.930,1,0,1,2,0,1,1,2,347,882,-8471,-34,-36,14,0,0,0,2,0,0,1,2,-518,713,-8469,-4,-97,-8
'2017-08-03 19:35:28.940,1,0,1,2,0,1,1,2,351,859,-8501,-36,-52,12,0,0,0,2,0,0,1,2,-546,693,-8479,9,-74,0
'2017-08-03 19:35:28.950,1,0,1,2,0,1,1,2,304,841,-8482,-29,-46,11,0,0,0,2,0,0,1,2,-523,704,-8486,8,-49,7
'2017-08-03 19:35:28.960,1,0,1,2,0,1,1,2,324,856,-8481,-30,-38,8,0,0,0,2,0,0,1,2,-520,672,-8516,1,-45,2
'2017-08-03 19:35:28.970,1,0,1,2,0,1,1,2,352,858,-8479,-32,-6,16,0,0,0,2,0,0,1,2,-498,707,-8484,-17,-47,10
'2017-08-03 19:35:28.980,1,0,1,2,0,1,1,2,332,838,-8460,-31,-7,14,0,0,0,2,0,0,1,2,-491,708,-8471,-20,-55,-3
'2017-08-03 19:35:28.990,1,0,1,2,0,1,1,2,318,831,-8472,-41,-5,18,0,0,0,2,0,0,1,2,-532,706,-8510,-18,-53,-1
'2017-08-03 19:35:29.000,1,0,1,2,0,1,1,2,354,840,-8468,-38,-16,10,0,0,0,2,0,0,1,2,-528,708,-8470,-21,-56,-4
'2017-08-03 19:35:29.010,1,0,1,2,0,1,2,2,335,864,-8482,-42,-17,23,0,0,0,2,0,0,1,2,-513,704,-8491,-10,-62,-5
'2017-08-03 19:35:29.020,1,0,1,2,0,1,2,2,345,869,-8478,-50,-23,11,0,0,0,2,0,0,1,2,-514,696,-8518,-5,-49,-4
'2017-08-03 19:35:29.030,1,0,1,2,0,1,2,2,332,849,-8486,-50,-16,14,0,0,0,2,0,0,1,2,-532,712,-8467,-4,-41,4
'2017-08-03 19:35:29.040,1,0,1,2,0,1,2,2,345,882,-8492,-57,-24,17,0,0,0,2,0,0,1,2,-511,700,-8448,10,-32,1
'2017-08-03 19:35:29.050,1,0,1,2,0,1,2,2,321,879,-8480,-50,-13,14,0,0,0,2,0,0,1,2,-531,688,-8500,3,-35,8
'2017-08-03 19:35:29.060,1,0,1,2,0,1,2,2,327,863,-8450,-42,-10,13,0,0,0,2,0,0,1,2,-523,708,-8465,11,-38,1
'2017-08-03 19:35:29.070,1,0,1,2,0,1,2,2,332,874,-8473,-48,4,14,0,0,0,2,0,0,1,2,-526,721,-8457,6,-39,-10
'2017-08-03 19:35:29.080,1,0,1,2,0,1,2,2,352,863,-8470,-40,-7,12,0,0,0,2,0,0,1,2,-524,711,-8465,16,-50,-1
'2017-08-03 19:35:29.090,1,0,1,2,0,1,2,2,327,850,-8487,-34,8,17,0,0,0,2,0,0,1,2,-523,667,-8491,13,-51,-6
'2017-08-03 19:35:29.100,1,0,1,2,0,1,2,2,329,842,-8472,-38,11,14,0,0,0,2,0,0,1,2,-518,692,-8466,11,-56,-2
'2017-08-03 19:35:29.110,1,0,1,2,0,1,2,2,338,869,-8475,-43,4,13,0,0,0,2,0,0,1,2,-490,729,-8478,9,-55,-7
'2017-08-03 19:35:29.120,1,0,1,2,0,1,2,2,342,839,-8493,-40,5,16,0,0,0,2,0,0,1,2,-510,717,-8463,9,-64,-8
'2017-08-03 19:35:29.130,1,0,1,2,0,1,2,2,327,847,-8472,-43,4,26,0,0,0,2,0,0,1,2,-520,696,-8489,15,-72,-5
'2017-08-03 19:35:29.140,1,0,1,2,0,1,2,2,318,844,-8497,-49,-1,18,0,0,0,2,0,0,1,2,-509,716,-8494,15,-78,-1
'2017-08-03 19:35:29.150,1,0,1,2,0,1,2,2,339,871,-8484,-44,3,24,0,0,0,2,0,0,1,2,-526,696,-8473,10,-85,-8
'2017-08-03 19:35:29.160,1,0,1,2,0,1,2,2,337,867,-8474,-39,7,18,0,0,0,2,0,0,1,2,-529,713,-8485,9,-82,-10
'2017-08-03 19:35:29.170,1,0,1,2,0,1,2,2,352,868,-8441,-44,6,20,0,0,0,2,0,0,1,2,-513,678,-8465,15,-91,-7
'2017-08-03 19:35:29.180,1,0,1,2,0,1,1,2,328,844,-8473,-32,10,17,0,0,0,2,0,0,1,2,-502,721,-8490,16,-86,-15
'2017-08-03 19:35:29.190,1,0,1,2,0,1,1,2,317,869,-8481,-38,0,16,0,0,0,2,0,0,1,2,-518,692,-8494,24,-79,-3
'2017-08-03 19:35:29.200,1,0,1,2,0,1,1,2,326,849,-8483,-34,13,25,0,0,0,2,0,0,1,2,-531,686,-8468,17,-69,-6
'2017-08-03 19:35:29.210,1,0,1,2,0,1,1,2,351,849,-8466,-41,22,20,0,0,0,2,0,0,1,2,-530,689,-8459,12,-60,-2
'2017-08-03 19:35:29.220,1,0,1,2,0,1,1,2,330,856,-8481,-30,27,19,0,0,0,2,0,0,1,2,-502,678,-8487,4,-44,8
'2017-08-03 19:35:29.230,1,0,1,2,0,1,1,2,344,885,-8486,-41,40,21,0,0,0,2,0,0,1,2,-488,690,-8490,-5,-27,-5
'2017-08-03 19:35:29.240,1,0,1,2,0,1,1,2,373,877,-8449,-46,58,20,0,0,0,2,0,0,1,2,-514,699,-8475,-13,-19,-1
'2017-08-03 19:35:29.250,1,0,1,2,0,1,1,2,359,851,-8508,-51,44,32,0,0,0,2,0,0,1,2,-515,712,-8474,-12,-26,1
'2017-08-03 19:35:29.260,1,0,1,2,0,1,1,2,328,838,-8444,-52,53,21,0,0,0,2,0,0,1,2,-537,709,-8471,-18,-38,10
'2017-08-03 19:35:29.270,1,0,1,2,0,1,1,2,359,877,-8453,-53,56,21,0,0,0,2,0,0,1,2,-530,691,-8489,-16,-36,8
'2017-08-03 19:35:29.280,1,0,1,2,0,1,1,2,350,870,-8506,-62,53,26,0,0,0,2,0,0,1,2,-506,660,-8497,-9,-49,3
'2017-08-03 19:35:29.290,1,0,1,2,0,1,1,2,340,867,-8473,-54,69,26,0,0,0,2,0,0,1,2,-533,691,-8470,-19,-43,10
'2017-08-03 19:35:29.300,1,0,1,2,0,1,1,2,337,846,-8466,-53,64,30,0,0,0,2,0,0,1,2,-539,703,-8487,-9,-46,11
'2017-08-03 19:35:29.310,1,0,1,2,0,1,1,2,367,862,-8470,-48,77,30,0,0,0,2,0,0,1,2,-488,697,-8471,-13,-31,9
