시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 14:50:56.894,0,0,0,0,0,0,0,0,2236,5533,-6485,-3758,11344,2679,1,2,1,1,1,1,0,0,-868,1174,-8459,-31,3159,-152
'2017-08-01 14:50:56.904,0,0,0,0,0,0,0,0,2857,3941,-7414,-6128,10831,2527,1,2,1,1,1,1,0,0,-876,1165,-8457,-31,3159,-152
'2017-08-01 14:50:56.914,0,0,0,0,0,0,0,0,3848,2580,-8519,-6957,11349,2863,1,2,1,1,1,1,0,0,-827,1210,-8435,-31,3159,-152
'2017-08-01 14:50:56.924,0,0,0,0,0,0,0,0,4543,1696,-9042,-6566,12913,3646,1,2,1,1,1,1,0,0,-841,1180,-8405,-31,3159,-152
'2017-08-01 14:50:56.934,0,0,0,0,0,0,0,0,4291,1554,-9601,-5467,14743,4494,1,2,1,1,1,1,0,0,-834,1248,-8393,-195,137,7
'2017-08-01 14:50:56.944,0,0,0,0,0,0,0,0,3535,1987,-10166,-4508,16047,5061,1,2,1,1,1,1,0,0,-819,1250,-8386,-163,134,5
'2017-08-01 14:50:56.954,0,0,0,0,0,0,0,0,2979,2739,-10346,-4360,16769,5240,1,2,1,0,1,1,0,0,-845,1262,-8353,-113,136,26
'2017-08-01 14:50:56.964,0,0,0,0,0,0,0,0,2414,2998,-10385,-5132,17100,4960,1,2,1,0,1,1,0,0,-810,1264,-8380,-59,129,23
'2017-08-01 14:50:56.974,0,0,0,0,0,0,0,0,2065,2540,-10413,-6191,17161,4384,1,2,1,0,1,1,0,0,-834,1241,-8410,-14,140,42
'2017-08-01 14:50:56.984,0,0,0,0,0,0,0,0,2032,1859,-10355,-6928,17319,3822,1,2,1,0,1,1,0,0,-801,1246,-8420,35,133,33
'2017-08-01 14:50:56.994,0,0,0,0,0,0,0,0,1822,1152,-10480,-6993,17621,3388,1,2,1,0,1,1,0,0,-787,1217,-8416,58,147,31
'2017-08-01 14:50:57.004,0,0,0,0,0,0,0,0,1399,822,-10689,-6600,17730,3083,1,2,1,0,1,1,0,0,-807,1222,-8418,72,147,21
'2017-08-01 14:50:57.014,0,0,0,0,0,0,0,0,1071,1039,-11310,-6130,17704,2900,1,2,1,0,1,1,0,0,-790,1231,-8428,68,162,23
'2017-08-01 14:50:57.024,0,0,0,0,0,0,0,0,960,1494,-12175,-5908,17702,2824,1,2,1,0,1,1,0,0,-793,1249,-8461,68,181,29
