시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 15:51:32.172,1,2,1,2,0,1,0,2,414,-382,-8107,995,1076,258,0,1,0,0,0,0,0,0,667,198,-8437,169,3311,585
'2017-08-01 15:51:32.182,1,2,1,2,0,1,1,2,333,30,-8653,307,1381,471,0,1,0,0,0,0,0,0,641,298,-8420,169,3311,585
'2017-08-01 15:51:32.192,1,2,1,2,0,1,1,2,394,651,-8719,138,1240,409,0,1,0,0,0,0,0,0,545,68,-8429,169,3311,585
'2017-08-01 15:51:32.202,1,2,1,2,0,1,1,2,423,539,-8493,534,1073,243,0,1,0,0,0,0,0,0,570,-14,-8438,169,3311,585
'2017-08-01 15:51:32.212,1,2,1,2,0,1,1,2,498,153,-8743,657,952,160,0,1,0,0,0,0,0,0,713,176,-8411,-140,1389,182
'2017-08-01 15:51:32.222,1,2,1,2,1,1,1,2,507,-23,-8840,334,730,165,0,1,0,0,0,0,0,0,742,296,-8357,-132,1320,116
'2017-08-01 15:51:32.232,1,2,1,2,1,1,1,2,584,171,-8736,-19,525,180,0,1,0,0,0,0,0,0,716,474,-8315,-90,1237,36
'2017-08-01 15:51:32.242,1,2,1,2,1,1,1,2,530,250,-8783,-169,335,150,0,1,0,0,0,0,0,0,762,568,-8284,-70,1156,6
'2017-08-01 15:51:32.252,1,2,1,2,1,1,1,2,547,310,-8603,-213,182,93,0,1,0,0,0,0,0,0,778,677,-8166,-47,1040,22
'2017-08-01 15:51:32.262,1,2,1,2,1,1,1,2,484,251,-8599,-173,123,36,0,1,0,0,0,0,0,0,836,665,-8089,-14,886,66
'2017-08-01 15:51:32.272,1,2,1,2,1,1,1,2,508,268,-8593,-133,88,1,0,1,0,0,0,0,0,0,854,582,-8006,35,691,92
'2017-08-01 15:51:32.282,1,2,1,2,1,1,1,2,522,228,-8536,-212,51,-28,0,1,0,0,0,0,0,0,906,558,-7892,72,497,85
'2017-08-01 15:51:32.292,1,2,1,2,1,1,1,2,462,189,-8532,-281,77,-34,0,1,0,0,0,0,0,0,870,533,-7948,47,304,72
'2017-08-01 15:51:32.302,1,2,1,2,1,1,1,2,548,239,-8656,-377,23,-45,0,1,0,0,0,0,0,0,872,527,-7949,-51,138,82
'2017-08-01 15:51:32.312,1,2,1,2,1,1,1,2,569,266,-8629,-414,-122,-61,0,1,0,0,0,0,0,0,928,533,-8167,-182,0,123
'2017-08-01 15:51:32.322,1,2,1,2,1,1,1,2,516,322,-8569,-403,-223,-78,0,1,0,0,0,0,0,0,851,509,-8171,-234,-128,96
'2017-08-01 15:51:32.332,1,2,1,2,1,1,1,2,478,252,-8535,-376,-223,-68,0,1,0,0,0,0,0,0,745,611,-8338,-291,-164,113
'2017-08-01 15:51:32.342,1,2,1,2,1,1,1,2,514,258,-8595,-403,-249,-61,0,1,0,0,0,0,0,0,759,643,-8478,-263,-209,126
'2017-08-01 15:51:32.352,1,2,1,2,1,1,1,2,503,287,-8478,-427,-259,-75,0,1,0,0,0,0,0,0,822,664,-8541,-224,-205,144
'2017-08-01 15:51:32.362,1,2,1,2,1,1,1,2,494,295,-8552,-435,-268,-61,0,1,0,0,0,0,0,0,812,561,-8554,-219,-187,158
