시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 16:06:28.914,0,0,0,0,0,0,0,0,2198,3041,-4941,1495,21400,3361,0,1,0,0,0,0,0,0,776,-194,-8579,-18,-17,7
'2017-08-01 16:06:28.924,0,0,0,0,0,0,0,0,1715,3950,-5061,155,20111,3087,0,1,0,0,0,0,0,0,859,-216,-8589,-18,-17,7
'2017-08-01 16:06:28.934,0,0,0,0,0,0,0,0,1567,4170,-5590,-2090,18987,2604,0,1,0,0,0,0,0,0,833,-335,-8774,-18,-17,7
'2017-08-01 16:06:28.944,0,0,0,0,0,0,0,0,1898,3341,-6743,-4120,18581,2284,0,1,0,0,0,0,0,0,788,-183,-8750,-18,-17,7
'2017-08-01 16:06:28.954,0,0,0,0,0,0,0,0,2180,2268,-7838,-5318,18976,2391,0,1,0,0,0,0,0,0,868,-177,-8937,-199,1166,96
'2017-08-01 16:06:28.964,0,0,0,0,0,0,0,0,2115,1358,-8978,-5400,19850,3064,0,1,0,0,0,0,0,0,811,-340,-9276,-215,1309,55
'2017-08-01 16:06:28.974,0,0,0,0,0,0,0,0,1647,1084,-9865,-4663,20743,4109,0,1,0,0,0,0,0,0,741,57,-9415,-222,1645,-8
'2017-08-01 16:06:28.984,0,0,0,0,0,0,0,0,1002,1590,-10573,-3856,21388,5170,0,1,0,0,0,0,0,0,763,167,-9529,-289,2005,75
'2017-08-01 16:06:28.994,0,0,0,0,0,0,0,0,449,2411,-11409,-3667,21708,5789,0,1,0,0,0,0,0,0,815,101,-9732,-179,2386,162
'2017-08-01 16:06:29.004,0,0,0,0,0,0,0,0,-305,2843,-12218,-4384,21866,5845,0,1,0,0,0,0,0,0,879,288,-9899,22,2768,250
'2017-08-01 16:06:29.014,0,0,0,0,0,0,0,0,-896,2776,-13398,-5512,21800,5631,0,1,0,0,0,0,0,0,865,647,-9915,-17,3214,433
'2017-08-01 16:06:29.024,0,0,0,0,0,0,0,0,-1020,2212,-14224,-6421,21527,5397,0,1,0,0,0,0,0,0,837,493,-9957,-83,3719,692
'2017-08-01 16:06:29.034,0,0,0,0,0,0,0,0,-949,1672,-15023,-6776,21218,5251,0,1,0,0,0,0,0,0,980,334,-9829,6,4220,855
'2017-08-01 16:06:29.044,0,0,0,0,0,0,0,0,-1470,1534,-16375,-6796,20814,5153,0,1,0,0,0,0,0,0,1090,120,-9785,105,4675,977
'2017-08-01 16:06:29.054,0,0,0,0,0,0,0,0,-2243,1553,-18156,-6711,20241,5084,0,1,0,0,0,0,0,0,1159,318,-9848,406,5104,1020
'2017-08-01 16:06:29.064,0,0,0,0,0,0,0,0,-3120,1491,-19321,-6644,19740,5043,0,1,0,0,0,0,0,0,1114,664,-9729,627,5522,1097
'2017-08-01 16:06:29.074,0,0,0,0,0,0,0,0,-4160,1941,-20289,-6679,19402,5002,0,0,0,0,0,0,0,0,1066,1598,-9539,581,5895,1325
'2017-08-01 16:06:29.084,0,0,0,0,0,0,0,0,-5500,2500,-21446,-6980,19008,4975,0,0,0,0,0,0,0,0,1529,1451,-9922,7,6050,1951
'2017-08-01 16:06:29.094,0,0,0,0,0,0,0,0,-7397,2999,-22413,-7762,18555,4926,0,0,0,0,0,0,0,0,1534,902,-9677,66,5947,2509
'2017-08-01 16:06:29.104,0,0,0,0,0,0,0,0,-9525,3190,-23047,-8516,18084,4887,0,0,0,0,0,0,0,0,1260,1826,-9515,568,6277,2776
'2017-08-01 16:06:29.114,0,0,0,0,0,0,0,0,-11729,3401,-22938,-8933,17832,4911,0,0,0,0,0,0,0,0,78,1781,-9141,682,6396,3303
'2017-08-01 16:06:29.124,0,0,0,0,0,0,0,0,-13311,3450,-22100,-8417,18113,4921,0,0,0,0,0,0,0,0,-6399,2415,-7288,1432,6214,3531
'2017-08-01 16:06:29.134,0,0,0,0,0,0,0,0,-14815,2990,-20100,-7059,19278,4964,0,0,0,0,0,0,0,0,-5175,2431,-10343,1615,4433,3672
'2017-08-01 16:06:29.144,0,0,0,0,0,0,0,0,-16773,2460,-18286,-5339,20452,5000,0,0,0,0,0,0,0,0,-7357,3183,-8569,346,1694,3159
'2017-08-01 16:06:29.154,0,0,0,0,0,0,0,0,-19259,2056,-15114,-4354,20391,4806,0,0,0,0,0,0,0,0,-6406,2253,-8149,-67,-789,2962
'2017-08-01 16:06:29.164,0,0,0,0,0,0,0,0,-19881,2596,-7634,-4533,18651,3875,0,0,0,0,0,0,0,0,-5523,2180,-7531,148,-1925,2714
'2017-08-01 16:06:29.174,0,0,0,0,0,0,0,0,-28500,6550,-6000,-7813,16613,709,0,0,0,0,0,0,0,0,-5211,2576,-7046,-2,-2353,2616
'2017-08-01 16:06:29.184,0,0,0,0,0,0,0,0,-32767,1253,-11421,-15594,13356,-4725,0,0,0,0,0,0,0,0,-5156,2558,-6921,-743,-2742,2646
'2017-08-01 16:06:29.194,0,0,0,0,0,0,0,0,-32521,-8654,-8096,-18727,7983,-8477,0,0,0,0,0,0,0,0,-5041,1936,-6958,-1522,-3271,2653
