시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 11:04:11.304,1,1,1,2,0,0,0,2,-301,457,-8446,-124,-17,24,1,0,0,2,0,0,0,1,564,694,-8457,-54,-30,15
'2017-08-01 11:04:11.314,1,1,1,2,0,0,0,2,-296,470,-8442,-124,-17,24,1,0,0,2,0,0,0,1,564,694,-8457,-54,-30,15
'2017-08-01 11:04:11.324,1,1,1,2,0,0,0,2,-311,460,-8468,-124,-17,24,1,0,0,2,0,0,0,1,556,651,-8473,-54,-30,15
'2017-08-01 11:04:11.334,1,1,1,2,0,0,0,2,-301,454,-8433,-124,-17,24,1,0,0,2,0,0,0,1,547,704,-8467,-54,-30,15
'2017-08-01 11:04:11.344,1,1,1,2,0,0,0,2,-289,460,-8460,-25,-29,2,1,0,0,2,0,0,0,1,525,699,-8444,-41,-62,-17
'2017-08-01 11:04:11.354,1,1,1,2,0,0,0,2,-292,457,-8467,-37,-16,22,1,0,0,2,0,0,0,1,532,662,-8444,-18,-58,2
'2017-08-01 11:04:11.364,1,1,1,2,0,0,0,2,-299,461,-8480,-19,-9,14,1,0,0,2,0,0,0,1,549,711,-8500,-30,-64,2
'2017-08-01 11:04:11.374,1,1,1,2,0,0,0,2,-305,450,-8432,-13,-3,17,1,0,0,2,0,0,0,1,542,703,-8461,-24,-57,2
'2017-08-01 11:04:11.384,1,1,1,2,0,0,0,2,-315,425,-8444,-25,11,7,1,0,0,2,0,0,0,1,550,660,-8474,-21,-57,0
'2017-08-01 11:04:11.394,1,1,1,2,0,0,0,2,-298,414,-8447,-35,8,17,1,0,0,2,0,0,0,1,561,694,-8484,-14,-51,8
'2017-08-01 11:04:11.404,1,1,1,2,0,0,0,2,-287,444,-8447,-63,23,18,1,0,0,2,0,0,0,1,554,668,-8485,-18,-50,5
'2017-08-01 11:04:11.414,1,1,1,2,0,0,0,2,-298,449,-8506,-71,21,23,1,0,0,2,0,0,0,1,569,710,-8462,-21,-51,6
'2017-08-01 11:04:11.424,1,1,1,2,0,0,0,2,-299,470,-8422,-59,16,21,1,0,0,2,0,0,0,1,556,666,-8470,-29,-63,3
'2017-08-01 11:04:11.434,1,1,1,2,0,0,0,2,-273,436,-8458,-39,9,27,1,0,0,2,0,0,0,1,563,710,-8493,-32,-61,7
'2017-08-01 11:04:11.444,1,1,1,2,0,0,0,2,-290,439,-8495,-41,-8,26,1,0,0,2,0,0,0,1,516,703,-8509,-23,-52,-5
'2017-08-01 11:04:11.454,1,1,1,2,0,0,0,2,-300,493,-8472,-37,-10,19,1,0,0,2,0,0,0,1,544,695,-8501,-28,-42,-3
'2017-08-01 11:04:11.464,1,1,1,2,0,0,0,2,-300,448,-8461,-32,-15,13,1,0,0,2,0,0,0,1,528,707,-8490,-34,-44,0
'2017-08-01 11:04:11.474,1,1,1,2,0,0,0,2,-313,485,-8487,-44,-11,26,1,0,0,2,0,0,0,1,554,696,-8455,-24,-38,-3
'2017-08-01 11:04:11.484,1,1,1,2,0,0,0,2,-304,466,-8484,-32,4,25,1,0,0,2,0,0,0,1,542,692,-8452,-18,-33,14
'2017-08-01 11:04:11.494,1,1,1,2,0,0,0,2,-281,469,-8469,-33,5,19,1,0,0,2,0,0,0,1,559,706,-8467,-29,-35,4
'2017-08-01 11:04:11.504,1,1,1,2,0,0,0,2,-295,462,-8460,-26,-2,24,1,0,0,2,0,0,0,1,574,683,-8506,-23,-18,10
'2017-08-01 11:04:11.514,1,1,1,2,0,0,0,2,-305,445,-8452,-21,-1,24,1,0,0,2,0,0,0,1,527,702,-8470,-22,-18,4
'2017-08-01 11:04:11.524,1,1,1,2,0,0,0,2,-295,433,-8466,-6,-4,16,1,0,0,2,0,0,0,1,571,689,-8459,-32,-29,5
'2017-08-01 11:04:11.534,1,1,1,2,0,0,0,2,-291,432,-8486,8,-6,24,1,0,0,2,0,0,0,1,558,693,-8474,-29,-36,3
