시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 13:39:52.258,0,0,0,0,0,0,0,0,-32322,-6029,-15536,-405,19339,9176,2,1,2,2,0,1,1,1,9,1001,-8495,-157,-532,-177
'2017-08-02 13:39:52.268,0,0,0,0,0,0,0,0,-32765,1205,-11352,7160,14546,9008,2,1,2,2,0,1,1,1,-2,978,-8500,-157,-532,-177
'2017-08-02 13:39:52.278,0,0,0,0,0,0,0,0,-32767,10861,-9945,9617,11233,5290,2,1,2,2,0,1,1,1,-9,1038,-8522,-157,-532,-177
'2017-08-02 13:39:52.288,0,0,0,0,0,0,0,0,-32767,13641,-9165,4980,7693,-397,2,1,2,2,0,1,1,1,-19,1090,-8502,-157,-532,-177
'2017-08-02 13:39:52.298,0,0,0,0,0,0,0,0,-32767,6711,-7041,-2246,1005,-3614,2,1,2,2,0,1,1,1,12,1037,-8487,132,330,26
'2017-08-02 13:39:52.308,0,0,0,0,0,0,0,0,-32767,-599,-8849,-4713,-7222,-2580,2,1,2,2,0,1,1,1,-40,1038,-8556,144,356,22
'2017-08-02 13:39:52.318,0,0,0,0,0,0,0,0,405,-6039,-25365,2494,-18283,2897,2,1,2,2,0,2,1,1,-14,1050,-8571,167,466,51
'2017-08-02 13:39:52.328,0,0,0,1,0,0,0,1,10048,9428,2683,1114,-15512,3439,2,2,2,2,0,2,1,1,-12,1045,-8618,205,587,87
'2017-08-02 13:39:52.338,0,0,0,2,0,0,0,2,288,-2735,-9903,5091,-16699,3956,2,2,2,2,0,2,1,1,50,963,-8678,187,658,126
'2017-08-02 13:39:52.348,0,0,0,2,0,0,0,2,-1370,-3641,-13739,2217,-17875,4026,2,2,2,1,0,2,1,1,32,1083,-8634,171,722,149
'2017-08-02 13:39:52.358,0,0,0,2,0,0,0,2,272,-3199,-14215,-992,-18333,3228,2,2,2,1,0,2,1,1,43,849,-8602,123,724,153
'2017-08-02 13:39:52.368,0,0,0,2,0,0,0,2,-873,-3953,-16525,-3578,-16930,2113,2,2,2,1,0,2,1,1,137,970,-8502,28,714,121
'2017-08-02 13:39:52.378,0,0,0,2,0,0,0,2,-830,-3265,-15155,-5229,-15147,157,2,2,2,1,0,2,1,1,137,954,-8495,-17,678,103
'2017-08-02 13:39:52.388,0,0,0,2,0,0,0,2,-126,-373,-13559,-3938,-14507,-2073,2,2,2,1,0,2,1,1,141,925,-8474,-43,646,88
'2017-08-02 13:39:52.398,0,0,0,2,0,0,0,2,-146,3727,-14118,-3639,-13555,-2269,2,2,2,1,0,2,1,1,134,1005,-8488,-21,599,90
'2017-08-02 13:39:52.408,0,0,0,2,0,0,0,2,-1220,3937,-15325,-2461,-12164,-716,2,2,2,1,0,2,1,0,202,1019,-8474,23,579,111
'2017-08-02 13:39:52.418,0,0,0,2,0,0,0,2,-1591,1740,-13269,-1773,-8855,401,2,2,2,1,0,2,1,0,124,995,-8511,67,605,125
'2017-08-02 13:39:52.428,0,0,0,2,0,0,0,2,-487,-80,-11597,-1220,-5771,58,2,2,2,0,0,2,1,0,207,953,-8497,100,595,156
'2017-08-02 13:39:52.438,0,0,0,2,0,0,0,2,118,663,-9900,-1204,-4147,-536,2,2,2,0,0,2,1,0,253,859,-8442,76,531,114
'2017-08-02 13:39:52.448,0,0,0,2,0,0,0,2,-165,1444,-9821,-914,-3117,-512,2,2,2,0,0,2,1,0,245,867,-8448,27,450,64
'2017-08-02 13:39:52.458,0,0,0,2,0,0,0,2,-310,1014,-9665,-639,-2011,-141,2,2,2,0,0,2,1,0,267,894,-8405,3,366,17
'2017-08-02 13:39:52.468,0,0,0,2,0,0,0,2,375,610,-8796,-514,-1164,-116,2,2,2,0,0,2,1,0,293,902,-8375,1,243,-10
'2017-08-02 13:39:52.478,0,0,0,2,0,0,0,2,622,767,-8483,-359,-1131,-275,2,2,2,0,0,2,1,0,314,927,-8312,-12,102,-40
'2017-08-02 13:39:52.488,0,0,0,2,0,0,0,2,316,992,-8728,-203,-1182,-194,2,2,2,0,0,2,1,0,279,949,-8372,7,-43,-56
'2017-08-02 13:39:52.498,0,0,0,2,0,0,0,2,346,750,-8660,-71,-1093,-30,2,2,2,0,0,2,1,0,265,1023,-8384,31,-148,-39
