시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 10:50:07.418,0,0,0,0,0,0,0,0,-1774,176,-18977,-999,27076,-3523,0,0,0,2,0,0,0,2,555,147,-8519,-176,505,-14
'2017-08-01 10:50:07.428,0,0,0,0,0,0,0,0,-2801,455,-20188,206,27372,-3520,0,0,0,2,0,0,0,2,547,182,-8524,-176,505,-14
'2017-08-01 10:50:07.438,0,0,0,0,0,0,0,0,-3462,1003,-21772,974,27585,-2645,0,0,0,2,0,0,0,2,572,164,-8503,-176,505,-14
'2017-08-01 10:50:07.448,0,0,0,0,0,0,0,0,-4279,1565,-22787,1331,27921,-753,0,0,0,2,0,0,0,2,535,170,-8505,-176,505,-14
'2017-08-01 10:50:07.458,0,0,0,0,0,0,0,0,-5648,2752,-23580,1676,28147,1810,0,0,0,2,0,0,0,2,552,160,-8529,-1,-118,5
'2017-08-01 10:50:07.468,0,0,0,0,0,0,0,0,-7602,4747,-23790,2023,27859,4328,0,0,0,2,0,0,0,2,523,158,-8542,13,-97,8
'2017-08-01 10:50:07.478,0,0,0,0,0,0,0,0,-9693,7485,-23377,2189,27081,6016,0,0,0,2,0,0,0,2,562,177,-8540,30,-56,2
'2017-08-01 10:50:07.488,0,0,0,0,0,0,0,0,-12784,10285,-21697,1550,25962,6446,0,0,0,2,0,0,0,2,574,153,-8559,49,-35,13
'2017-08-01 10:50:07.498,0,0,0,0,0,0,0,0,-15673,10830,-20025,-1920,24223,5468,0,0,0,2,0,0,0,2,565,157,-8574,32,-36,0
'2017-08-01 10:50:07.508,0,0,0,0,0,0,0,0,-20584,7899,-18204,-8847,21392,3708,0,0,0,2,0,0,0,2,551,156,-8548,33,-46,-1
'2017-08-01 10:50:07.518,0,0,0,0,0,0,0,0,-24152,1010,-15539,-11862,17396,3425,0,0,0,2,0,0,0,2,564,149,-8542,27,-35,3
'2017-08-01 10:50:07.528,0,0,0,0,0,0,0,0,-26550,-4559,-12343,-10459,12910,5550,0,0,0,2,0,0,0,2,570,156,-8534,22,-42,5
'2017-08-01 10:50:07.538,0,0,0,0,0,0,0,0,-31803,-4455,-10273,-5804,9420,8688,0,0,0,2,0,0,0,2,521,164,-8512,24,-37,0
'2017-08-01 10:50:07.548,0,0,0,0,0,0,0,0,-32767,129,-8944,457,6711,9884,0,0,0,2,0,0,0,2,552,138,-8526,21,-37,3
'2017-08-01 10:50:07.558,0,0,0,0,0,0,0,0,-32767,6308,-7109,3442,2432,8020,0,0,0,2,0,0,0,2,567,162,-8545,21,-43,0
'2017-08-01 10:50:07.568,0,0,0,0,0,0,0,0,-27728,7853,-6945,264,-3062,5005,0,0,0,2,0,0,0,2,555,160,-8573,17,-37,-2
'2017-08-01 10:50:07.578,0,0,0,0,0,0,0,0,-18457,4442,-8787,-4853,-6836,3315,0,0,0,2,0,0,0,2,554,165,-8589,23,-19,-4
'2017-08-01 10:50:07.588,0,0,0,0,0,0,0,0,-12852,-1401,-9893,-6171,-7935,4095,0,0,0,2,0,0,0,2,551,158,-8572,22,-14,-7
'2017-08-01 10:50:07.598,0,0,0,1,0,0,0,0,7820,-2576,7302,-6295,-17294,8420,0,0,0,2,0,0,0,2,570,148,-8554,13,12,1
'2017-08-01 10:50:07.608,0,0,0,2,0,0,0,1,-2664,-1321,-4185,-3902,-15723,6846,0,0,0,2,0,0,0,2,524,139,-8504,4,75,-11
'2017-08-01 10:50:07.618,0,0,0,2,0,0,0,2,-902,-6690,-9093,-3635,-20086,4607,0,0,0,2,0,0,0,2,506,182,-8517,7,239,-3
'2017-08-01 10:50:07.628,0,0,0,2,0,0,0,2,-1304,-4225,-14765,-3077,-24397,927,0,0,0,2,0,0,1,2,589,150,-8554,13,302,-2
'2017-08-01 10:50:07.638,0,0,0,2,0,0,0,2,-2392,-2800,-22208,-4388,-23510,-1162,0,0,0,2,0,0,1,2,624,120,-8566,-3,281,-9
