시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 14:59:07.634,0,0,0,0,0,0,0,0,-10450,-4405,-13858,-10945,1086,6968,0,0,1,1,0,0,2,1,205,1219,-7960,158,171,117
'2017-08-03 14:59:07.644,0,0,0,0,0,0,0,0,-10811,-4424,-13372,-9214,1073,7353,0,0,1,1,0,0,2,1,197,1243,-7967,158,171,117
'2017-08-03 14:59:07.654,0,0,0,0,0,0,0,0,-11327,-4490,-12549,-8053,1173,7110,0,0,1,1,0,0,2,1,229,1242,-7948,158,171,117
'2017-08-03 14:59:07.664,0,0,0,0,0,0,0,0,-11796,-4817,-11708,-7009,1364,6402,0,0,1,1,0,0,2,1,231,1260,-7927,158,171,117
'2017-08-03 14:59:07.674,0,0,0,0,0,0,0,0,-12484,-5303,-11107,-5422,1694,5613,0,0,1,1,0,0,2,1,188,1303,-7909,-358,-498,35
'2017-08-03 14:59:07.684,0,0,0,0,0,0,0,0,-12819,-4925,-10647,-3041,2162,5023,0,0,1,2,0,0,2,1,151,1292,-7867,-326,-479,66
'2017-08-03 14:59:07.694,0,0,0,0,0,0,0,0,-12676,-3408,-9286,-483,3023,4566,0,0,1,2,0,0,2,1,179,1302,-7913,-285,-435,68
'2017-08-03 14:59:07.704,0,0,0,0,0,0,0,0,-12395,-2256,-8433,1708,4421,3994,0,0,1,2,0,1,2,1,154,1312,-7954,-257,-395,87
'2017-08-03 14:59:07.714,0,0,0,0,0,0,0,0,-11965,483,-7014,2492,5188,3654,0,0,1,2,0,1,2,1,142,1309,-7967,-240,-331,96
'2017-08-03 14:59:07.724,0,0,0,0,0,0,0,0,-12486,3255,-5931,3124,6424,2683,0,0,1,2,0,1,2,1,146,1373,-8010,-222,-315,98
'2017-08-03 14:59:07.734,0,0,0,0,0,0,0,0,-13728,5184,-5229,1796,6615,1238,0,0,1,2,0,1,2,1,143,1338,-7973,-191,-279,100
'2017-08-03 14:59:07.744,0,0,0,0,0,0,0,0,-15049,5031,-4654,-1454,5326,-537,0,0,1,2,0,1,2,2,160,1389,-7922,-129,-279,89
'2017-08-03 14:59:07.754,0,0,0,0,0,0,0,0,-15905,1731,-4353,-4872,2850,-1967,0,0,1,2,0,1,2,2,168,1344,-7902,-110,-332,82
'2017-08-03 14:59:07.764,0,0,0,0,0,0,0,0,-15761,-2950,-4561,-6349,-89,-2329,0,0,1,2,0,1,2,2,164,1340,-7893,-87,-406,65
'2017-08-03 14:59:07.774,0,0,0,0,0,0,0,0,-14780,-6362,-4824,-5423,-2711,-1709,0,0,2,2,0,1,2,2,148,1314,-7891,-88,-501,47
'2017-08-03 14:59:07.784,0,0,0,0,0,0,0,0,-13236,-7205,-4891,-2782,-4366,-678,0,0,2,2,0,1,2,2,70,1398,-7950,-23,-558,28
'2017-08-03 14:59:07.794,0,0,0,0,0,0,0,0,-11393,-5214,-4775,504,-4735,-161,0,0,2,2,0,1,2,2,82,1464,-7984,107,-535,53
'2017-08-03 14:59:07.804,0,0,0,0,0,0,0,0,-10402,-1279,-5155,2793,-4060,-841,0,0,2,2,0,1,2,2,64,1389,-8065,217,-475,70
'2017-08-03 14:59:07.814,0,0,0,0,0,0,0,0,-10172,2689,-5599,2920,-3524,-2801,0,0,2,2,0,1,2,2,5,1410,-8094,309,-353,93
'2017-08-03 14:59:07.824,0,0,0,0,0,0,0,0,-10437,5657,-5905,1078,-3844,-5274,0,0,2,2,0,1,2,2,33,1406,-8097,432,-215,115
'2017-08-03 14:59:07.834,0,0,0,0,0,0,0,0,-8462,-9421,-8197,11781,-248,103,0,1,2,2,0,1,2,2,60,1332,-8098,463,-97,131
'2017-08-03 14:59:07.844,0,0,0,0,0,1,0,0,-2657,-2498,-19677,16794,17441,8539,0,1,2,2,0,1,2,2,53,1360,-8085,463,-12,127
