시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 13:05:11.738,0,0,0,1,0,1,1,1,319,502,-8850,4,-1390,-123,0,0,1,1,0,1,1,1,217,784,-8016,-27,31,101
'2017-08-03 13:05:11.748,0,0,0,1,0,1,1,1,227,407,-8985,-160,-1670,-219,0,0,1,1,0,1,1,1,203,805,-7991,-27,31,101
'2017-08-03 13:05:11.758,0,0,0,1,0,1,1,1,217,401,-9059,-355,-2011,-344,0,0,1,1,0,1,1,1,196,795,-7975,-27,31,101
'2017-08-03 13:05:11.768,1,0,0,0,1,1,1,0,277,666,-9321,-537,-2275,-419,0,0,1,1,0,1,1,1,200,795,-7988,-27,31,101
'2017-08-03 13:05:11.778,1,0,0,0,1,1,1,0,200,1064,-11581,-1699,-2859,-727,0,0,1,1,0,1,1,1,193,803,-8006,-24,40,88
'2017-08-03 13:05:11.788,1,1,0,0,1,1,1,0,811,866,-11627,-2615,-4417,-1315,0,0,1,1,0,1,1,1,196,791,-7949,-9,23,106
'2017-08-03 13:05:11.798,1,1,0,0,1,1,1,0,274,1447,-11335,-1616,-5905,-998,0,0,1,1,0,1,1,1,196,813,-7988,-13,19,104
'2017-08-03 13:05:11.808,1,1,0,0,1,1,1,0,357,1847,-12532,-2544,-7179,-1898,0,0,1,1,0,1,1,1,175,779,-8000,-18,14,101
'2017-08-03 13:05:11.818,1,1,0,0,1,1,0,0,404,468,-11958,-1633,-8558,-1976,0,0,1,1,0,1,1,1,195,792,-8002,-11,11,111
'2017-08-03 13:05:11.828,1,1,0,0,1,1,0,0,102,3719,-12467,-1455,-9782,-2053,0,0,1,1,0,1,1,1,215,819,-7999,-12,3,101
'2017-08-03 13:05:11.838,1,1,0,0,1,1,0,0,354,1034,-12692,-1766,-10203,-2768,0,0,1,1,0,1,1,1,221,793,-7990,-8,-3,108
'2017-08-03 13:05:11.848,1,0,0,0,0,1,0,0,-198,2181,-11450,38,-10711,-2480,0,0,1,1,0,1,1,1,177,825,-8007,0,-1,101
'2017-08-03 13:05:11.858,1,0,0,0,0,1,0,0,96,4388,-10918,-134,-11434,-3087,0,0,1,1,0,1,1,1,211,807,-8010,-7,1,103
'2017-08-03 13:05:11.868,1,0,0,0,0,1,0,0,-1243,3973,-12480,-1285,-11132,-3986,0,0,1,1,0,1,1,1,185,809,-7986,-13,2,106
'2017-08-03 13:05:11.878,0,0,0,0,0,1,0,0,842,2229,-10814,-1305,-10355,-4990,0,0,1,1,0,1,1,1,204,815,-7996,-11,9,106
'2017-08-03 13:05:11.888,0,0,0,0,0,0,0,0,1383,2549,-7309,-1366,-9568,-5740,0,0,1,1,0,1,1,1,195,810,-7993,-22,15,100
'2017-08-03 13:05:11.898,0,0,0,0,0,0,0,0,7424,1092,-7061,-731,-8194,-6312,0,0,1,1,0,1,1,1,203,795,-7987,-19,4,104
'2017-08-03 13:05:11.908,0,0,0,0,0,0,0,0,12207,-1299,-5899,2065,-4104,-7443,0,0,1,1,0,1,1,1,186,826,-8025,-11,0,99
'2017-08-03 13:05:11.918,0,0,0,0,0,0,0,0,6830,972,-6952,5114,-1533,-9563,0,0,1,1,0,1,1,1,200,826,-8008,-19,-8,104
'2017-08-03 13:05:11.928,0,0,0,0,0,0,0,0,10491,2415,-8130,5229,-89,-9872,0,0,1,1,0,1,1,1,174,822,-7993,-19,-21,99
'2017-08-03 13:05:11.938,0,0,0,0,0,0,0,0,10429,3187,-4480,3699,3027,-10716,0,0,1,1,0,1,1,1,212,799,-8014,-17,-21,102
'2017-08-03 13:05:11.948,0,0,0,0,0,0,0,0,8606,3113,-5153,2525,4367,-10367,0,0,1,1,0,1,1,1,182,803,-7989,-21,-27,95
'2017-08-03 13:05:11.958,0,0,0,0,0,0,0,0,7966,3258,-4428,1175,4689,-8981,0,0,1,1,0,1,1,1,180,815,-7980,-7,-31,98
'2017-08-03 13:05:11.968,0,0,0,0,0,0,0,0,7386,3140,-5266,-146,5220,-7093,0,0,0,1,0,1,1,1,181,816,-8010,-19,-33,99
'2017-08-03 13:05:11.978,0,0,0,0,0,0,0,0,6649,2428,-5736,-1381,5879,-4885,0,0,0,2,0,1,1,1,179,766,-7981,-4,-46,108
'2017-08-03 13:05:11.988,0,0,0,0,0,0,0,0,5545,1594,-6121,-2080,6478,-2719,0,0,0,2,0,1,1,1,188,798,-8011,-4,-18,99
'2017-08-03 13:05:11.998,0,0,0,0,0,0,0,0,4346,1088,-6565,-2299,6722,-880,0,0,0,2,0,1,1,1,200,808,-8012,-10,-9,98
'2017-08-03 13:05:12.008,0,0,0,0,0,0,0,0,3345,723,-7165,-2526,6699,317,0,0,0,2,0,1,1,1,170,820,-8007,-7,-3,101
'2017-08-03 13:05:12.018,0,0,0,0,0,0,0,0,2173,-38,-7782,-2783,6534,789,0,0,0,2,0,1,1,1,169,802,-8024,-23,-9,98
'2017-08-03 13:05:12.028,0,0,0,0,0,0,0,0,867,-687,-8217,-2918,6184,602,0,0,0,2,0,1,1,1,188,802,-8016,-20,-14,99
'2017-08-03 13:05:12.038,0,0,0,0,0,0,0,0,-527,-1135,-8789,-3155,5671,32,0,0,0,2,0,1,1,1,178,828,-7997,-14,-10,96
'2017-08-03 13:05:12.048,0,0,0,0,0,0,0,0,-1815,-1707,-9215,-3487,5032,-470,0,0,0,2,0,1,1,1,170,792,-7974,-25,-15,97
'2017-08-03 13:05:12.058,0,0,0,0,0,0,0,0,-2900,-2306,-9478,-3643,4386,-639,0,0,0,2,0,1,1,1,159,804,-7971,-29,-27,100
'2017-08-03 13:05:12.068,0,0,0,0,0,0,0,0,-3727,-2588,-9555,-3482,3818,-432,0,0,0,2,0,1,1,1,187,810,-8003,-18,-29,106
'2017-08-03 13:05:12.078,0,0,0,0,0,0,0,0,-4235,-2468,-9512,-3146,3334,-10,0,0,0,2,0,1,1,1,153,829,-7991,-23,-25,100
'2017-08-03 13:05:12.088,0,0,0,0,0,0,0,0,-4625,-2265,-9191,-2895,2920,459,0,0,0,2,0,1,1,1,144,785,-8003,-22,-17,100
'2017-08-03 13:05:12.098,0,0,0,0,0,0,0,0,-5051,-2045,-8902,-2764,2482,864,0,0,0,2,0,1,1,1,180,826,-8041,-31,-8,102
'2017-08-03 13:05:12.108,0,0,0,0,0,0,0,0,-5257,-1814,-8556,-2524,1798,1202,0,0,0,2,0,1,1,1,178,823,-8005,-20,-2,103
'2017-08-03 13:05:12.118,0,0,0,0,0,0,0,0,-5267,-1725,-8143,-2371,1079,1413,0,0,0,2,0,1,1,1,147,794,-7995,-11,9,106
'2017-08-03 13:05:12.128,0,0,0,0,0,0,0,0,-5008,-1680,-7937,-2194,487,1562,0,0,0,2,0,1,1,1,170,820,-8006,-16,-4,103
'2017-08-03 13:05:12.138,0,0,0,0,0,0,0,0,-4855,-1495,-7888,-1958,122,1695,0,0,0,2,0,1,1,1,168,794,-7977,-20,5,109
'2017-08-03 13:05:12.148,0,0,0,0,0,0,0,0,-4758,-1256,-8064,-1688,-13,1876,0,0,0,2,0,1,1,1,187,826,-7986,-17,2,103
'2017-08-03 13:05:12.158,0,0,0,0,0,0,0,0,-4969,-1144,-7903,-1367,15,2194,0,0,0,2,0,1,1,1,147,796,-8006,-24,8,96
'2017-08-03 13:05:12.168,0,0,0,0,0,0,0,0,-5357,-1032,-7872,-1026,-37,2981,0,0,0,2,0,1,1,1,153,813,-7999,-19,-3,96
'2017-08-03 13:05:12.178,0,0,0,0,0,0,0,0,-5855,-875,-7874,-747,-307,4249,0,0,0,2,0,1,1,1,164,825,-7976,-14,2,109
'2017-08-03 13:05:12.188,0,0,0,0,0,0,0,0,-6111,-773,-7531,-385,-697,5744,0,0,0,2,0,1,1,1,163,815,-8009,-13,11,115
'2017-08-03 13:05:12.198,0,0,0,0,0,0,0,0,-6334,-375,-7302,220,-1075,7032,0,0,0,2,0,1,1,1,157,831,-7993,-5,12,108
'2017-08-03 13:05:12.208,0,0,0,0,0,0,0,0,-6464,244,-7159,844,-1272,7797,0,0,0,2,0,1,1,1,158,813,-7977,-7,26,113
'2017-08-03 13:05:12.218,0,0,0,0,0,0,0,0,-6344,595,-6721,1128,-1327,7922,0,0,0,2,0,1,1,1,154,797,-7991,-17,27,109
'2017-08-03 13:05:12.228,0,0,0,0,0,0,0,0,-6891,525,-6282,904,-1477,7449,0,0,0,2,0,1,1,1,159,818,-8014,-11,21,101
