시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 13:12:48.498,0,0,0,0,0,0,0,0,-32727,7016,-16556,-391,19384,1098,0,0,0,1,0,0,0,1,185,675,-7949,-331,81,175
'2017-08-03 13:12:48.508,0,0,0,0,0,0,0,0,-32767,5991,-13053,-3913,14637,-1173,0,0,0,1,0,0,0,1,184,688,-7942,-331,81,175
'2017-08-03 13:12:48.518,0,0,0,0,0,0,0,0,-32767,402,-11677,-8000,10309,-1998,0,0,0,1,0,0,0,1,184,705,-8003,-331,81,175
'2017-08-03 13:12:48.528,0,0,0,0,0,0,0,0,-32767,-5882,-10410,-8940,5881,-507,0,0,0,1,0,0,0,1,261,695,-7962,-331,81,175
'2017-08-03 13:12:48.538,0,0,0,0,0,0,0,0,-32767,-7309,-11476,-5946,1509,2109,0,0,0,1,0,0,0,1,260,664,-7954,-114,106,119
'2017-08-03 13:12:48.548,0,0,0,0,0,0,0,0,-32767,-348,-11372,-2450,-3002,3177,0,0,0,1,0,0,0,1,275,701,-7907,-121,62,124
'2017-08-03 13:12:48.558,0,0,0,1,0,0,0,1,11299,-4931,21620,206,-21969,2063,0,0,0,1,0,0,0,1,270,692,-7926,-127,-10,123
'2017-08-03 13:12:48.568,0,0,0,2,0,0,0,2,-5246,-2017,-28007,7336,-20151,1215,0,0,0,1,0,0,0,1,233,673,-7991,-122,-59,111
'2017-08-03 13:12:48.578,0,0,0,2,0,0,0,2,6309,-3473,-13924,2859,-17405,670,0,0,0,1,0,0,0,1,229,710,-7925,-130,-105,95
'2017-08-03 13:12:48.588,0,0,0,2,0,0,0,2,793,-2733,-25582,5867,-19083,-666,0,0,0,1,0,0,0,1,217,722,-7953,-121,-157,96
'2017-08-03 13:12:48.598,0,0,0,2,0,0,0,2,-671,1125,-26411,3892,-20600,-1447,0,0,0,1,0,0,0,1,227,700,-7961,-143,-213,73
'2017-08-03 13:12:48.608,0,0,0,2,0,0,0,2,-1462,2525,-24394,5338,-20914,-904,0,0,0,1,0,0,1,1,225,701,-7950,-153,-237,68
'2017-08-03 13:12:48.618,0,0,0,2,0,0,0,2,-17,1506,-22315,4809,-14427,772,0,0,0,1,0,0,1,1,212,714,-8000,-173,-271,58
'2017-08-03 13:12:48.628,0,0,0,2,0,0,0,2,-308,-412,-15429,3081,-8688,1504,0,0,0,1,0,0,1,1,212,724,-7938,-184,-293,76
'2017-08-03 13:12:48.638,0,0,0,2,0,0,1,2,1461,-1007,-10025,881,-6122,747,0,0,0,1,0,0,1,1,231,727,-7988,-208,-335,69
'2017-08-03 13:12:48.648,0,0,0,2,0,0,1,2,337,-31,-10483,-136,-4372,-234,0,0,0,1,0,0,1,1,224,773,-7975,-239,-378,62
'2017-08-03 13:12:48.658,0,0,0,2,0,0,1,2,112,715,-9782,-729,-2374,-14,0,0,0,2,0,0,1,1,171,727,-7911,-240,-414,65
'2017-08-03 13:12:48.668,0,0,0,2,0,0,1,2,1172,198,-8854,-514,-1883,195,0,0,0,2,0,0,1,1,165,756,-7926,-240,-457,47
'2017-08-03 13:12:48.678,0,0,0,2,0,0,1,2,1127,143,-8928,-657,-1986,-52,0,0,0,2,0,0,1,1,167,755,-7937,-250,-533,28
'2017-08-03 13:12:48.688,0,0,0,2,0,0,2,2,1098,406,-8918,-719,-1967,-143,0,0,0,2,0,0,1,1,150,758,-7925,-264,-593,15
'2017-08-03 13:12:48.698,0,0,0,2,0,0,2,2,1194,575,-8682,-527,-2158,-159,0,0,0,2,0,0,1,2,80,819,-8033,-225,-574,16
'2017-08-03 13:12:48.708,0,0,0,2,0,0,2,2,1190,489,-8759,-181,-2420,-181,0,0,0,2,0,0,1,2,95,819,-8038,-172,-504,34
'2017-08-03 13:12:48.718,0,0,0,2,0,0,2,2,925,257,-8993,-174,-2381,-216,0,0,0,2,0,0,1,2,76,866,-8041,-104,-367,56
'2017-08-03 13:12:48.728,0,0,0,2,0,0,2,2,948,248,-8824,-459,-2253,-239,0,0,0,2,0,0,1,2,48,877,-8055,-53,-220,88
'2017-08-03 13:12:48.738,0,0,0,2,0,0,2,2,875,409,-8776,-583,-2173,-190,0,0,0,2,0,0,1,2,53,815,-8058,6,-117,107
'2017-08-03 13:12:48.748,0,0,0,2,0,1,2,2,955,416,-8694,-581,-2184,-166,0,0,0,2,0,0,1,2,68,794,-7963,6,-28,118
'2017-08-03 13:12:48.758,0,0,0,2,0,1,2,2,917,503,-8657,-509,-2334,-182,0,0,0,2,0,0,1,2,43,778,-8012,-5,93,126
'2017-08-03 13:12:48.768,0,0,0,2,0,1,2,2,946,573,-8640,-332,-2681,-225,0,0,0,2,0,0,1,2,108,750,-8010,-54,158,125
'2017-08-03 13:12:48.778,0,0,0,2,0,1,2,2,879,582,-8645,-185,-2931,-284,0,0,0,2,0,0,1,2,75,793,-8044,-124,205,116
'2017-08-03 13:12:48.788,0,0,0,2,0,1,2,2,802,509,-8603,-126,-3124,-344,0,0,0,2,0,0,1,2,63,809,-8032,-144,277,115
'2017-08-03 13:12:48.798,0,0,0,2,0,1,2,2,729,571,-8671,-133,-3284,-372,0,0,0,2,0,0,1,2,100,822,-8049,-133,339,135
'2017-08-03 13:12:48.808,0,0,0,2,0,2,2,2,513,542,-8638,-159,-3246,-358,0,0,0,2,0,0,1,2,73,852,-8021,-106,397,140
'2017-08-03 13:12:48.818,0,0,0,2,0,2,2,2,537,554,-8628,-113,-3213,-326,0,0,0,2,0,0,1,2,105,874,-8003,-45,444,160
'2017-08-03 13:12:48.828,0,0,0,1,0,2,2,1,446,622,-8659,-66,-3291,-322,0,0,0,2,0,0,1,2,149,808,-7856,1,442,170
'2017-08-03 13:12:48.838,0,0,0,1,0,2,2,1,373,730,-8675,-73,-3372,-346,1,0,0,2,0,1,1,2,168,769,-7868,-14,345,156
'2017-08-03 13:12:48.848,0,0,0,1,0,2,2,0,291,720,-8611,-20,-3344,-450,1,0,0,2,0,1,1,2,150,785,-7885,-49,239,130
'2017-08-03 13:12:48.858,0,0,0,0,0,2,2,0,299,737,-8714,80,-3490,-564,1,0,1,2,0,1,1,2,179,772,-7930,-98,117,102
'2017-08-03 13:12:48.868,0,0,0,0,1,2,2,0,172,837,-9117,-85,-3708,-671,1,0,1,2,0,1,1,2,170,759,-7959,-160,13,73
'2017-08-03 13:12:48.878,0,1,0,0,1,2,2,0,64,916,-9558,-1533,-4235,-930,1,0,1,2,0,1,1,2,167,838,-7974,-215,-80,66
'2017-08-03 13:12:48.888,0,1,0,0,1,2,2,0,58,1312,-9120,-2297,-4915,-1182,1,0,1,2,0,1,1,2,164,782,-7925,-217,-166,61
'2017-08-03 13:12:48.898,0,1,0,0,1,2,2,0,-115,897,-9333,-2727,-5158,-1615,1,0,1,2,0,1,1,2,154,829,-7935,-270,-275,68
'2017-08-03 13:12:48.908,1,1,1,0,1,2,2,0,-130,173,-10041,-2226,-4937,-1615,1,0,1,2,0,1,2,2,158,810,-7914,-301,-357,45
'2017-08-03 13:12:48.918,1,2,1,0,1,2,2,0,-245,949,-9249,-1390,-5362,-1390,1,0,1,2,0,1,2,2,133,792,-7919,-342,-399,45
'2017-08-03 13:12:48.928,2,2,1,0,1,2,2,0,-472,318,-8755,-924,-5028,-1498,1,0,1,2,0,1,2,2,81,807,-7930,-357,-406,46
'2017-08-03 13:12:48.938,2,2,1,0,1,2,2,0,-575,46,-9945,-378,-5026,-1076,1,0,1,2,0,1,2,2,82,826,-7931,-413,-435,49
'2017-08-03 13:12:48.948,2,2,1,0,2,2,2,0,-617,759,-10823,-606,-5435,-938,1,0,1,2,0,1,2,2,114,848,-7964,-442,-468,46
'2017-08-03 13:12:48.958,2,2,1,0,2,2,1,0,-570,1385,-11466,-1103,-6431,-924,1,0,1,2,0,1,2,2,89,855,-7995,-475,-531,46
'2017-08-03 13:12:48.968,2,2,1,0,2,2,1,0,-397,1141,-12038,-1671,-8101,-1076,1,0,1,2,0,1,2,2,72,953,-8010,-457,-531,48
'2017-08-03 13:12:48.978,2,2,1,0,2,2,1,0,-156,1466,-12842,-1845,-9877,-1172,1,0,1,2,0,1,2,2,19,919,-8031,-421,-523,52
'2017-08-03 13:12:48.988,2,2,1,0,2,2,1,0,-77,1005,-13161,-1864,-12022,-1504,1,0,1,2,0,1,2,2,9,946,-8050,-363,-423,63
'2017-08-03 13:12:48.998,2,2,1,0,2,2,1,0,-349,1034,-13098,-1028,-13543,-1138,1,0,1,2,0,1,2,2,-39,995,-8044,-212,-212,88
'2017-08-03 13:12:49.008,2,2,1,0,2,2,1,0,-681,1027,-13263,-2102,-15576,-1251,1,0,1,2,0,1,2,2,-100,1048,-8153,22,145,120
