시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 19:15:20.888,1,1,1,0,1,1,1,0,-438,481,-8574,-129,160,20,0,0,0,2,0,1,1,2,-110,556,-8493,11,-31,364
'2017-07-31 19:15:20.898,1,1,1,0,1,1,1,0,-424,479,-8560,-156,181,25,0,0,0,2,0,1,1,2,-110,554,-8499,11,-31,364
'2017-07-31 19:15:20.908,1,1,1,0,1,1,1,0,-416,483,-8555,-184,195,25,0,0,0,2,0,1,1,2,-104,537,-8507,11,-31,364
'2017-07-31 19:15:20.918,1,1,1,0,1,1,1,0,-406,510,-8576,-204,176,32,0,0,0,2,0,1,1,2,-86,546,-8505,11,-31,364
'2017-07-31 19:15:20.928,1,1,1,0,1,1,1,0,-436,481,-8594,-200,167,21,0,0,0,2,0,1,1,2,-77,560,-8479,-59,-117,-9
'2017-07-31 19:15:20.938,1,1,1,0,1,1,1,0,-413,473,-8546,-225,196,38,0,0,0,2,0,1,1,2,-52,538,-8491,-97,-149,4
'2017-07-31 19:15:20.948,1,1,1,0,1,1,1,0,-415,495,-8540,-256,213,45,0,0,0,2,0,1,1,2,-54,526,-8415,-116,-202,8
'2017-07-31 19:15:20.958,1,1,1,0,1,1,1,0,-427,492,-8525,-263,251,41,0,0,0,2,0,1,1,2,-120,590,-8467,-145,-249,-3
'2017-07-31 19:15:20.968,1,1,1,0,1,1,1,0,-409,513,-8523,-269,292,44,0,0,0,2,0,1,1,2,-96,576,-8502,-119,-261,-11
'2017-07-31 19:15:20.978,1,1,1,0,1,1,1,0,-385,499,-8519,-291,341,66,0,0,0,2,0,0,1,2,-86,544,-8503,-119,-305,-11
'2017-07-31 19:15:20.988,1,1,1,0,1,1,1,0,-350,503,-8594,-329,382,69,0,0,0,2,0,0,1,2,-111,583,-8447,-128,-361,-22
'2017-07-31 19:15:20.998,1,1,1,0,1,1,1,0,-350,517,-8660,-329,384,67,0,0,0,2,0,0,1,2,-124,573,-8511,-129,-409,-25
'2017-07-31 19:15:21.008,1,1,1,1,1,1,1,0,-347,559,-8686,-322,342,62,0,0,0,2,0,0,1,2,-111,573,-8466,-137,-454,-34
'2017-07-31 19:15:21.018,1,1,1,1,1,1,1,0,-332,579,-8680,-312,298,74,0,0,0,2,0,0,1,2,-147,569,-8489,-141,-462,-29
'2017-07-31 19:15:21.028,1,1,1,1,1,1,1,0,-321,600,-8666,-262,232,55,0,0,0,2,0,0,1,2,-170,590,-8492,-137,-473,-34
'2017-07-31 19:15:21.038,1,1,1,1,1,1,1,0,-321,600,-8680,-198,184,48,0,0,0,2,0,0,1,2,-233,597,-8414,-103,-438,-36
'2017-07-31 19:15:21.048,1,1,1,1,1,1,1,0,-304,592,-8690,-139,96,33,0,0,0,2,0,0,1,2,-325,659,-8574,-50,-257,-16
'2017-07-31 19:15:21.058,1,1,1,1,1,1,1,0,-344,600,-8623,-82,34,12,0,0,0,2,0,0,1,2,-185,578,-8603,46,-95,-6
'2017-07-31 19:15:21.068,1,1,1,1,1,1,1,0,-337,543,-8585,-41,11,7,0,0,0,2,0,0,1,2,-234,584,-8601,69,20,-11
'2017-07-31 19:15:21.078,1,1,1,1,1,1,1,0,-341,486,-8607,-67,21,18,0,0,0,2,0,0,1,2,-159,569,-8556,89,103,-4
'2017-07-31 19:15:21.088,1,1,1,1,1,1,1,0,-331,522,-8597,-102,31,39,0,0,0,2,0,0,1,2,-151,564,-8525,85,111,-5
'2017-07-31 19:15:21.098,1,1,1,1,1,1,1,0,-345,500,-8559,-121,66,60,0,0,0,2,0,0,1,2,-174,570,-8504,63,131,-11
'2017-07-31 19:15:21.108,1,1,1,1,1,1,1,0,-349,499,-8578,-167,120,68,0,0,0,2,0,0,1,2,-162,604,-8504,61,120,-12
'2017-07-31 19:15:21.118,1,1,1,1,1,1,1,0,-352,550,-8558,-200,185,98,0,0,0,2,0,0,1,2,-179,572,-8488,58,103,-2
'2017-07-31 19:15:21.128,1,1,1,1,1,1,1,0,-345,549,-8574,-195,244,111,0,0,0,2,0,0,1,2,-188,580,-8460,50,103,-11
'2017-07-31 19:15:21.138,1,1,1,1,1,1,1,0,-324,568,-8569,-197,286,116,0,0,0,2,0,0,1,2,-140,573,-8490,48,94,-15
'2017-07-31 19:15:21.148,1,1,1,1,1,1,1,0,-348,617,-8604,-159,287,114,0,0,0,2,0,0,1,2,-140,567,-8491,31,80,-7
'2017-07-31 19:15:21.158,1,1,1,1,1,1,1,0,-292,583,-8622,-121,307,94,0,0,0,2,0,0,1,2,-169,576,-8474,6,85,-4
'2017-07-31 19:15:21.168,1,1,1,1,1,1,1,0,-291,599,-8642,-106,301,93,0,0,0,2,0,0,1,2,-168,589,-8481,23,113,-6
'2017-07-31 19:15:21.178,1,1,1,1,1,1,1,0,-263,573,-8650,-85,267,84,0,0,0,2,0,0,1,2,-162,574,-8498,46,131,-2
'2017-07-31 19:15:21.188,1,1,1,1,1,1,1,0,-241,590,-8697,-68,203,74,0,0,0,2,0,0,1,2,-140,570,-8498,56,145,8
'2017-07-31 19:15:21.198,1,1,1,1,1,1,1,0,-230,602,-8755,-53,89,58,0,0,0,2,0,0,1,2,-144,584,-8475,50,134,-7
'2017-07-31 19:15:21.208,1,1,1,1,1,1,1,0,-224,610,-8771,-20,-39,39,0,0,0,2,0,0,1,2,-118,556,-8458,27,103,6
'2017-07-31 19:15:21.218,1,1,1,1,0,1,1,0,-202,631,-8873,20,-224,3,0,0,0,2,0,0,1,2,-98,562,-8460,-17,49,2
'2017-07-31 19:15:21.228,1,1,1,1,0,1,1,0,-209,727,-8951,128,-472,-8,0,0,0,2,0,0,1,2,-135,574,-8442,-33,8,4
'2017-07-31 19:15:21.238,0,1,1,1,0,1,1,0,-190,690,-9030,428,-801,-43,0,0,0,2,0,0,1,2,-137,554,-8440,-21,-24,10
'2017-07-31 19:15:21.248,0,1,1,0,0,1,1,0,-134,772,-9289,713,-1240,-69,0,0,0,2,0,0,1,2,-124,572,-8469,-22,-51,0
'2017-07-31 19:15:21.258,0,1,1,0,0,0,0,0,-2,1026,-9857,1403,-1905,-122,0,0,0,2,0,0,1,2,-164,599,-8454,-6,-61,6
'2017-07-31 19:15:21.268,0,1,1,0,0,0,0,0,156,984,-9824,1961,-2600,-305,0,0,0,2,0,0,1,2,-166,600,-8517,40,-32,19
'2017-07-31 19:15:21.278,0,1,0,0,0,0,0,0,-164,3315,-10455,890,-3042,-1444,0,0,0,2,0,0,1,2,-176,598,-8501,71,40,25
'2017-07-31 19:15:21.288,0,1,0,0,0,0,0,0,-678,-178,-13315,-63,-4446,-1707,0,0,0,2,0,0,1,2,-151,588,-8487,94,146,39
'2017-07-31 19:15:21.298,0,1,0,0,0,0,0,0,-829,5350,-11371,391,-6641,-1617,0,0,0,2,0,0,1,2,-256,605,-8607,120,357,70
'2017-07-31 19:15:21.308,0,1,0,0,0,0,0,0,-498,1291,-13285,-1873,-6615,-3544,0,0,0,2,0,0,1,2,-158,549,-8626,153,524,78
'2017-07-31 19:15:21.318,0,0,0,0,0,0,0,0,45,3296,-11958,1015,-8311,-3211,0,0,0,2,0,0,1,2,-79,542,-8551,143,609,61
'2017-07-31 19:15:21.328,0,0,0,0,0,0,0,0,-438,3361,-11787,440,-8831,-4317,0,0,0,2,0,1,1,2,-114,587,-8523,98,666,82
'2017-07-31 19:15:21.338,0,0,0,0,0,0,0,0,960,945,-11718,2883,-8947,-4500,0,0,1,2,0,1,1,2,-120,535,-8553,76,721,128
'2017-07-31 19:15:21.348,0,0,0,0,0,0,0,0,996,1260,-12104,6474,-9328,-3503,1,0,1,2,1,1,1,1,-125,556,-8616,38,818,161
'2017-07-31 19:15:21.358,0,0,0,0,0,0,0,0,3471,1222,-12019,9100,-8520,-3158,1,0,1,2,1,1,1,1,-20,525,-8592,19,881,168
'2017-07-31 19:15:21.368,0,0,0,0,0,0,0,0,12255,7434,-8516,10144,-6995,-2202,1,0,1,2,1,1,1,1,0,526,-8581,-33,892,160
'2017-07-31 19:15:21.378,0,0,0,0,0,0,0,0,9434,9740,-11795,3861,-3156,-2191,1,0,1,2,1,1,1,1,63,572,-8505,-83,833,167
'2017-07-31 19:15:21.388,0,0,0,0,0,0,0,0,11064,5361,-4762,-624,-1025,-1936,1,0,1,1,1,1,1,1,89,535,-8433,-121,744,155
'2017-07-31 19:15:21.398,0,0,0,0,0,0,0,0,10492,3806,-5710,-561,-443,-1131,1,0,1,1,1,1,1,1,134,550,-8389,-185,595,126
'2017-07-31 19:15:21.408,0,0,0,0,0,0,0,0,12117,4732,-4481,-342,-63,-226,1,0,1,1,1,1,1,1,100,582,-8383,-191,474,103
'2017-07-31 19:15:21.418,0,0,0,0,0,0,0,0,12866,4936,-5288,-1996,1563,-170,1,0,1,1,1,1,1,1,115,601,-8354,-166,350,93
'2017-07-31 19:15:21.428,0,0,0,0,0,0,0,0,12658,2496,-5617,-3764,3371,-446,1,0,1,1,1,1,1,1,126,600,-8401,-120,265,77
'2017-07-31 19:15:21.438,0,0,0,0,0,0,0,0,11707,419,-6288,-3668,4775,-612,1,0,1,1,1,1,1,1,140,605,-8415,-103,176,71
'2017-07-31 19:15:21.448,0,0,0,0,0,0,0,0,11068,274,-6699,-2825,5868,-831,1,0,1,1,1,1,1,1,134,581,-8406,-89,93,61
'2017-07-31 19:15:21.458,0,0,0,0,0,0,0,0,10489,727,-7272,-2660,6915,-1124,2,0,1,1,1,1,1,1,156,577,-8392,-84,-10,44
'2017-07-31 19:15:21.468,0,0,0,0,0,0,0,0,9650,273,-7936,-2951,7867,-1210,2,0,1,1,1,1,1,1,73,623,-8501,-87,-11,52
'2017-07-31 19:15:21.478,0,0,0,0,0,0,0,0,8628,-63,-8466,-2791,8618,-937,2,0,1,1,1,1,1,1,46,594,-8565,-33,34,51
'2017-07-31 19:15:21.488,0,0,0,0,0,0,0,0,7478,122,-9099,-2552,9067,-434,2,0,1,1,1,1,1,1,99,633,-8584,3,97,53
'2017-07-31 19:15:21.498,0,0,0,0,0,0,0,0,6552,334,-9653,-2522,9310,122,2,0,1,1,1,1,1,1,119,590,-8565,26,123,46
'2017-07-31 19:15:21.508,0,0,0,0,0,0,0,0,5698,480,-10306,-2628,9372,680,2,0,1,1,1,1,1,1,117,616,-8537,19,129,50
'2017-07-31 19:15:21.518,0,0,0,0,0,0,0,0,5176,380,-10852,-2745,9250,1351,2,1,1,1,1,1,1,1,139,586,-8507,2,102,37
'2017-07-31 19:15:21.528,0,0,0,0,0,0,0,0,4907,477,-11536,-2863,9220,2015,2,1,1,1,1,1,1,1,128,559,-8487,-5,69,26
'2017-07-31 19:15:21.538,0,0,0,0,0,0,0,0,4824,553,-12110,-3401,9569,2642,2,1,1,1,1,1,1,1,126,619,-8495,-5,24,9
'2017-07-31 19:15:21.548,0,0,0,0,0,0,0,0,4357,-127,-12472,-3822,10185,3160,2,1,1,1,1,1,1,1,133,621,-8463,-5,-32,3
'2017-07-31 19:15:21.558,0,0,0,0,0,0,0,0,3606,-707,-12518,-3618,10675,3612,2,1,1,1,1,1,1,1,145,622,-8487,2,-72,3
'2017-07-31 19:15:21.568,0,0,0,0,0,0,0,0,2863,-849,-12328,-3161,10798,3851,2,1,1,1,1,1,1,1,128,617,-8432,4,-110,-9
'2017-07-31 19:15:21.578,0,0,0,0,0,0,0,0,2356,-796,-12231,-2800,10609,3780,2,1,1,1,1,1,1,1,111,626,-8473,6,-115,-5
'2017-07-31 19:15:21.588,0,0,0,0,0,0,0,0,2056,-929,-12321,-2499,10277,3530,2,1,1,1,1,1,1,1,128,590,-8494,22,-99,-5
'2017-07-31 19:15:21.598,0,0,0,0,0,0,0,0,1763,-914,-12096,-1949,9939,3346,2,1,1,1,1,1,1,1,59,605,-8522,10,-69,19
'2017-07-31 19:15:21.608,0,0,0,0,0,0,0,0,1220,-592,-11831,-1232,9448,3260,2,1,1,1,1,1,1,1,68,607,-8594,23,42,33
'2017-07-31 19:15:21.618,0,0,0,0,0,0,0,0,730,-263,-11510,-599,8708,3286,2,1,1,1,1,1,2,1,89,619,-8556,38,176,73
'2017-07-31 19:15:21.628,0,0,0,0,0,0,0,0,386,70,-11360,-52,7791,3383,2,1,1,1,1,1,2,1,116,564,-8587,4,220,68
'2017-07-31 19:15:21.638,0,0,0,0,0,0,0,0,294,532,-11593,343,7064,3475,2,1,1,1,1,1,2,1,123,588,-8587,-43,261,65
'2017-07-31 19:15:21.648,0,0,0,0,0,0,0,0,676,1308,-12123,299,6904,3489,2,1,1,1,1,1,2,1,122,594,-8496,-59,278,58
'2017-07-31 19:15:21.658,0,0,0,0,0,0,0,0,1392,2110,-12299,-718,8101,3300,2,1,1,1,1,1,2,1,158,598,-8519,-74,298,63
'2017-07-31 19:15:21.668,0,0,0,0,0,0,0,0,911,1416,-11695,-1840,9970,3065,2,1,1,1,1,1,2,1,151,605,-8513,-68,330,67
'2017-07-31 19:15:21.678,0,0,0,0,0,0,0,0,-308,337,-10748,-2027,10835,3066,2,1,1,1,1,2,2,1,166,632,-8510,-54,322,61
'2017-07-31 19:15:21.688,0,0,0,0,0,0,0,0,-1717,-216,-10129,-1728,10452,3240,2,1,1,1,1,2,2,1,212,628,-8456,-72,288,56
