__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 17:48:28.080,0,0,0,0,0,0,0,0,6419,5172,-629,16429,-7105,4619,0,1,0,2,0,0,0,1,-421,314,-8450,-231,-266,13
'2017-08-03 17:48:28.090,0,0,0,0,0,0,0,0,5440,8019,-8937,8561,-3914,2994,0,1,0,2,0,0,0,1,-414,307,-8428,-231,-266,13
'2017-08-03 17:48:28.100,0,0,0,0,0,0,0,0,1482,9023,-11584,2222,-4370,-569,0,1,0,2,0,0,0,1,-420,330,-8454,-231,-266,13
'2017-08-03 17:48:28.110,0,0,0,0,0,0,0,0,738,5817,-12185,-4443,-5695,-4698,0,1,1,2,0,0,0,1,-426,311,-8402,-231,-266,13
'2017-08-03 17:48:28.120,0,0,0,0,0,0,0,0,1214,4267,-11488,-7527,-7103,-8222,0,1,1,2,0,0,0,1,-427,336,-8450,-9,-30,-39
'2017-08-03 17:48:28.130,0,0,0,0,0,0,0,0,432,2429,-12684,-6663,-8185,-10846,0,1,1,2,0,0,0,1,-449,296,-8420,19,-40,12
'2017-08-03 17:48:28.140,0,0,0,0,0,0,0,0,-472,1529,-15133,-4028,-8356,-12559,0,1,1,2,0,0,0,1,-432,311,-8435,3,-39,4
'2017-08-03 17:48:28.150,0,0,0,0,0,0,0,0,-674,1955,-16207,-1109,-6995,-13364,0,1,1,2,0,0,0,1,-441,321,-8436,-1,-23,3
'2017-08-03 17:48:28.160,0,0,0,0,0,0,0,0,-1866,2555,-17172,1916,-4665,-13157,0,1,1,2,0,0,0,1,-405,303,-8459,-6,-32,-3
'2017-08-03 17:48:28.170,0,0,0,0,0,0,0,0,-3936,1689,-20830,3480,-2576,-11923,0,1,1,2,0,0,0,1,-425,328,-8451,-2,-28,0
'2017-08-03 17:48:28.180,0,0,0,0,0,0,0,0,-4356,612,-23319,3069,-1530,-9408,0,1,1,2,0,0,0,1,-423,360,-8444,-5,-44,-4
'2017-08-03 17:48:28.190,0,0,0,0,0,0,0,0,-2410,711,-22641,4448,-1383,-5815,0,1,1,2,0,0,0,1,-447,299,-8427,0,-31,3
'2017-08-03 17:48:28.200,0,0,0,0,0,0,0,0,-563,948,-19628,8207,-687,-1591,0,1,1,2,0,0,0,1,-424,310,-8436,-6,-49,-3
