__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 17:18:17.808,1,2,2,0,0,2,2,0,228,587,-10167,-634,-4378,-500,1,1,1,2,0,0,0,2,-525,372,-8471,-194,253,37
'2017-08-03 17:18:17.818,2,2,2,0,0,2,2,0,282,1262,-12751,-2114,-5300,-527,1,1,1,2,0,0,0,2,-532,356,-8457,-194,253,37
'2017-08-03 17:18:17.828,2,2,2,0,0,2,1,0,646,138,-13773,-1542,-7358,-374,1,1,1,2,0,0,0,2,-547,365,-8504,-194,253,37
'2017-08-03 17:18:17.838,2,2,2,0,0,2,1,0,-1189,-38,-13492,-3088,-10329,109,1,1,1,2,0,0,0,2,-537,395,-8453,-194,253,37
'2017-08-03 17:18:17.848,2,2,2,0,0,2,0,0,351,2120,-13851,-3735,-12918,-171,1,1,1,2,0,0,0,2,-520,403,-8489,-194,253,37
'2017-08-03 17:18:17.858,2,2,2,0,0,2,0,0,493,42,-14288,-4841,-14436,-908,1,1,1,2,0,0,0,2,-536,368,-8494,2,-65,0
'2017-08-03 17:18:17.868,2,2,2,0,0,2,0,0,-198,1942,-13517,-4504,-17073,-756,1,1,1,2,0,0,0,2,-529,369,-8492,2,-50,-2
'2017-08-03 17:18:17.878,2,2,2,0,2,2,0,0,-261,1856,-14620,-3919,-19107,-1490,1,1,1,2,0,0,0,2,-528,403,-8464,15,-58,0
'2017-08-03 17:18:17.888,2,2,2,0,2,2,0,0,884,5825,-16399,-1508,-21703,-2501,1,1,1,2,0,0,0,2,-522,370,-8467,8,-35,2
'2017-08-03 17:18:17.898,2,2,2,0,2,1,0,0,206,6012,-18494,-792,-24097,-4156,1,1,1,2,0,0,0,2,-557,394,-8512,3,-30,-2
'2017-08-03 17:18:17.908,2,2,2,0,2,1,0,0,926,5239,-16635,1233,-26626,-5518,1,1,1,2,0,0,0,2,-527,395,-8480,2,-29,6
'2017-08-03 17:18:17.918,2,2,2,0,2,1,0,0,-925,6475,-19653,3624,-30060,-7043,1,1,1,2,0,0,0,2,-540,397,-8465,-3,-22,4
'2017-08-03 17:18:17.928,2,2,2,0,1,0,0,0,-1480,6593,-28543,4163,-32768,-8231,1,1,1,2,0,0,0,2,-526,351,-8477,-8,-35,-2
'2017-08-03 17:18:17.938,2,1,1,0,1,0,0,0,-3670,4454,-32352,1504,-32748,-9062,1,1,1,2,0,0,0,2,-523,389,-8449,0,-40,4
'2017-08-03 17:18:17.948,2,1,1,0,0,0,0,0,-674,6678,-32768,2505,-32768,-8486,1,1,1,2,0,0,0,2,-523,376,-8471,-4,-30,9
