__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 17:30:23.458,0,0,0,0,0,0,0,0,-16754,725,-8521,-830,1830,-415,0,1,1,2,0,0,0,2,111,-59,-8477,-30,-110,17
'2017-08-03 17:30:23.468,0,0,0,0,0,0,0,0,-18520,-402,-7700,-1282,722,-1554,0,1,1,2,0,0,0,2,105,-60,-8477,-30,-110,17
'2017-08-03 17:30:23.478,0,0,0,0,0,0,0,0,-19707,-1212,-7103,-923,-1629,-2388,0,1,1,2,0,0,0,2,96,-62,-8495,-30,-110,17
'2017-08-03 17:30:23.488,0,0,0,0,0,0,0,0,-29734,-4328,-22366,5839,-9414,-2455,0,1,1,2,0,0,0,2,89,-60,-8458,-30,-110,17
'2017-08-03 17:30:23.498,0,0,0,0,0,0,0,0,14418,4951,7591,10301,-14093,-2663,0,1,1,2,0,0,0,2,121,-72,-8461,-8,-11,13
'2017-08-03 17:30:23.508,0,0,0,1,0,0,0,1,-11952,5961,-15294,6798,-18138,-1804,0,1,1,2,0,0,0,2,112,-48,-8475,-2,-31,3
'2017-08-03 17:30:23.518,0,0,0,1,0,0,0,1,5446,3481,-11741,4984,-17574,725,0,1,1,2,0,0,0,2,96,-57,-8482,1,-31,-6
'2017-08-03 17:30:23.528,0,0,0,2,0,0,0,2,462,-96,-11698,2144,-18020,1429,0,1,1,2,0,0,0,2,119,-49,-8535,9,-19,3
'2017-08-03 17:30:23.538,0,0,0,2,0,0,0,2,-2238,-1102,-25580,3785,-20114,112,0,1,1,2,0,0,0,2,122,-67,-8499,3,-9,-2
'2017-08-03 17:30:23.548,0,0,0,2,0,0,0,2,-1992,1148,-24114,2637,-14092,269,0,1,1,2,0,0,0,2,105,-65,-8493,9,-1,7
'2017-08-03 17:30:23.558,0,0,0,2,0,0,0,2,-391,1402,-6928,636,1148,-717,0,1,1,2,0,0,0,2,110,-74,-8526,1,7,-2
'2017-08-03 17:30:23.568,0,0,0,2,0,0,0,2,-3292,1215,-11250,2794,1809,-497,0,1,1,2,0,0,0,2,118,-74,-8495,3,9,10
'2017-08-03 17:30:23.578,0,0,0,2,0,0,0,2,92,377,-10525,1951,1050,287,0,1,1,2,0,0,0,2,117,-63,-8491,-8,8,3
'2017-08-03 17:30:23.588,0,0,0,2,0,0,0,2,245,2,-9325,691,-1028,161,0,1,1,2,0,0,0,2,121,-71,-8500,-11,4,1
'2017-08-03 17:30:23.598,0,0,0,2,0,0,0,2,-257,-8,-7782,-452,-1138,26,0,1,1,2,0,0,0,2,109,-69,-8470,-4,-3,10
'2017-08-03 17:30:23.608,0,0,0,2,0,0,0,2,-420,706,-7947,-430,-201,260,0,1,1,2,0,0,0,2,126,-55,-8521,3,1,6
'2017-08-03 17:30:23.618,0,0,0,2,0,0,0,2,-428,648,-8149,147,349,167,0,1,1,2,0,0,0,1,112,-53,-8507,1,7,6
'2017-08-03 17:30:23.628,0,0,0,2,0,0,0,2,-400,552,-8428,519,753,221,0,1,1,2,0,0,0,1,109,-47,-8502,8,29,8
'2017-08-03 17:30:23.638,0,0,0,2,0,0,0,2,-185,480,-8628,678,813,212,0,1,1,2,0,0,0,1,113,-81,-8501,5,49,5
'2017-08-03 17:30:23.648,0,0,0,2,0,0,0,2,-203,375,-8947,510,658,190,0,1,1,2,0,0,0,1,101,-78,-8505,-5,61,6
'2017-08-03 17:30:23.658,0,0,0,2,0,0,1,2,-153,392,-9022,169,454,152,0,1,1,2,0,0,0,1,139,-69,-8475,-2,57,3
'2017-08-03 17:30:23.668,0,0,0,2,0,0,1,2,-90,472,-9024,-71,189,101,0,1,1,2,0,0,0,1,135,-81,-8487,-5,40,8
'2017-08-03 17:30:23.678,0,0,0,2,0,0,1,2,-82,466,-8860,-233,-64,43,0,1,1,2,0,0,0,1,116,-55,-8481,-5,14,7
'2017-08-03 17:30:23.688,0,0,0,2,0,0,1,2,-152,474,-8687,-305,-265,17,0,1,1,2,0,0,0,1,153,-69,-8491,-6,6,2
'2017-08-03 17:30:23.698,0,0,0,2,0,0,1,2,-149,500,-8634,-299,-418,21,0,1,1,2,0,0,0,1,133,-87,-8520,-2,-9,3
'2017-08-03 17:30:23.708,0,0,0,2,0,0,1,2,-107,515,-8710,-290,-674,0,0,1,1,2,0,0,0,1,125,-57,-8486,9,-19,8
'2017-08-03 17:30:23.718,0,0,0,2,0,0,1,2,-150,453,-8722,-289,-939,-5,0,1,1,2,0,0,0,1,127,-56,-8466,4,-21,1
'2017-08-03 17:30:23.728,0,1,0,2,0,0,1,2,-194,446,-8693,-358,-1111,16,0,1,1,2,0,0,0,1,128,-51,-8488,2,-30,5
'2017-08-03 17:30:23.738,0,1,0,2,0,0,1,2,-217,441,-8626,-493,-1210,25,0,1,1,2,0,0,0,1,111,-55,-8483,4,-31,-2
'2017-08-03 17:30:23.748,0,1,0,2,0,0,1,2,-209,459,-8677,-577,-1394,55,0,1,1,2,0,0,0,1,143,-72,-8503,-4,-29,8
'2017-08-03 17:30:23.758,0,1,0,2,0,0,1,2,-211,595,-8570,-564,-1583,34,0,1,1,2,0,0,0,1,134,-44,-8525,7,-14,1
'2017-08-03 17:30:23.768,0,1,0,2,0,1,1,2,-306,696,-8545,-388,-1779,20,0,1,1,2,0,0,0,1,143,-52,-8503,3,-16,5
'2017-08-03 17:30:23.778,0,1,0,2,0,1,1,2,-360,666,-8535,-76,-1870,-33,0,1,1,2,0,0,0,1,112,-67,-8486,-4,-9,4
'2017-08-03 17:30:23.788,0,1,1,2,0,1,1,1,-368,619,-8494,159,-1875,-71,0,1,1,2,0,0,0,1,119,-55,-8498,-8,-17,15
'2017-08-03 17:30:23.798,0,1,1,2,0,1,1,1,-467,533,-8540,254,-1896,-88,0,1,1,2,0,0,0,1,121,-52,-8512,-7,-27,2
'2017-08-03 17:30:23.808,0,1,1,1,0,1,1,1,-444,479,-8548,228,-1923,-80,0,1,1,2,0,0,0,1,137,-70,-8492,1,-38,5
'2017-08-03 17:30:23.818,0,1,1,1,0,1,1,1,-494,442,-8565,130,-1978,-88,0,1,1,2,0,0,0,1,133,-67,-8489,-3,-38,5
'2017-08-03 17:30:23.828,0,1,1,1,0,1,1,0,-513,451,-8603,-13,-2042,-114,0,1,1,2,0,0,0,1,130,-82,-8533,5,-24,0
'2017-08-03 17:30:23.838,0,1,1,1,0,1,1,0,-598,500,-8594,-82,-2094,-118,0,1,1,2,0,0,0,1,130,-66,-8516,-5,-13,5
'2017-08-03 17:30:23.848,0,1,1,1,0,1,1,0,-637,665,-8569,-135,-2116,-124,0,1,1,2,0,0,0,1,129,-43,-8501,-6,-10,-2
'2017-08-03 17:30:23.858,0,1,1,0,0,1,1,0,-708,644,-8601,-115,-2170,-267,0,1,1,2,0,0,0,1,122,-50,-8472,-4,-15,2
'2017-08-03 17:30:23.868,1,2,1,0,0,1,1,0,-766,558,-8511,-58,-2219,-349,0,1,1,2,0,0,0,1,150,-70,-8524,-8,-3,11
'2017-08-03 17:30:23.878,1,2,1,0,0,1,1,0,-810,631,-8559,-114,-2238,-428,0,1,1,2,0,0,0,1,147,-64,-8462,-9,-2,0
'2017-08-03 17:30:23.888,1,2,1,0,0,1,1,0,-813,547,-8598,-217,-2207,-571,0,1,1,2,0,0,0,1,128,-65,-8486,-14,-5,4
'2017-08-03 17:30:23.898,1,2,1,0,0,1,1,0,-768,790,-8853,-299,-2397,-634,0,1,1,2,0,0,0,1,147,-49,-8500,0,0,5
'2017-08-03 17:30:23.908,1,2,2,0,0,1,1,0,-855,805,-8956,-347,-2657,-797,0,1,1,2,0,0,0,1,144,-78,-8492,-13,-11,1
'2017-08-03 17:30:23.918,2,2,2,0,0,1,1,0,-839,399,-8862,-247,-2858,-889,0,1,1,2,0,0,0,1,133,-61,-8462,-11,-22,4
'2017-08-03 17:30:23.928,2,2,2,0,1,1,1,0,-908,483,-8796,278,-2638,-748,0,1,1,2,0,0,0,1,124,-84,-8487,3,-35,4
'2017-08-03 17:30:23.938,2,2,2,0,1,2,1,0,-977,777,-8804,247,-2237,-873,0,1,1,2,0,0,0,1,127,-69,-8459,9,-37,8
'2017-08-03 17:30:23.948,2,2,2,0,1,2,1,0,-1088,-251,-9569,292,-2315,-902,0,1,1,2,0,0,0,1,125,-66,-8500,-2,-12,2
'2017-08-03 17:30:23.958,2,2,2,0,1,2,1,0,-1048,193,-9383,48,-3098,-550,0,1,1,2,0,0,0,1,140,-78,-8504,0,7,9
'2017-08-03 17:30:23.968,2,2,2,0,1,2,0,0,-1201,-24,-9098,-167,-3496,-342,0,1,1,2,0,0,0,1,121,-82,-8495,-7,10,13
'2017-08-03 17:30:23.978,2,2,2,0,1,2,0,0,-1226,396,-9586,-378,-3738,-145,0,1,1,2,0,0,0,1,160,-50,-8504,-16,4,8
