__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 17:05:28.448,0,0,0,0,0,0,0,0,-3823,-588,-8178,-2009,2231,-430,1,1,1,2,0,0,0,2,-340,361,-8536,-103,735,-82
'2017-08-03 17:05:28.458,0,0,0,0,0,0,0,0,-3950,-567,-8146,-2382,1514,-388,1,1,1,2,0,0,0,2,-340,361,-8536,-103,735,-82
'2017-08-03 17:05:28.468,0,0,0,0,0,0,0,0,-4057,-637,-8007,-2611,773,-225,1,1,1,2,0,0,0,2,-344,367,-8506,-103,735,-82
'2017-08-03 17:05:28.478,0,0,0,0,0,0,0,0,-3960,-962,-8081,-2287,330,63,2,1,1,2,0,0,0,1,-325,377,-8549,-103,735,-82
'2017-08-03 17:05:28.488,0,0,0,0,0,0,0,0,-3682,-1343,-7831,-1414,521,511,2,1,1,2,0,0,0,1,-316,357,-8492,-103,735,-82
'2017-08-03 17:05:28.498,0,0,0,0,0,0,0,0,-3522,-1206,-7715,-181,1191,1109,2,1,1,2,0,0,0,1,-326,309,-8494,43,187,30
'2017-08-03 17:05:28.508,0,0,0,0,0,0,0,0,-3791,-565,-7915,998,1882,1711,2,1,1,2,0,0,0,1,-325,343,-8522,13,194,22
'2017-08-03 17:05:28.518,0,0,0,0,0,0,0,0,-4249,216,-8190,1652,2218,2140,2,1,1,2,0,0,0,1,-313,350,-8461,4,157,17
'2017-08-03 17:05:28.528,0,0,0,0,0,0,0,0,-4278,1158,-8054,1729,2084,2366,2,1,1,2,0,0,0,1,-331,365,-8474,47,177,24
'2017-08-03 17:05:28.538,0,0,0,0,0,0,0,0,-4501,1404,-7974,1420,1519,2235,2,1,1,2,0,0,0,1,-325,404,-8517,95,223,48
'2017-08-03 17:05:28.548,0,0,0,0,0,0,0,0,-4453,1488,-7404,766,650,2010,2,1,2,2,0,0,0,1,-316,396,-8507,164,280,64
'2017-08-03 17:05:28.558,0,0,0,0,0,0,0,0,-4252,1426,-7026,61,-314,1696,2,1,2,2,0,0,0,1,-308,393,-8511,240,316,90
'2017-08-03 17:05:28.568,0,0,0,0,0,0,0,0,-4232,1213,-6890,-630,-1214,1374,2,1,2,2,0,0,0,1,-302,347,-8451,285,314,95
'2017-08-03 17:05:28.578,0,0,0,0,0,0,0,0,-4226,1109,-7124,-1122,-2115,1130,2,1,2,2,0,0,0,1,-256,339,-8464,308,279,91
'2017-08-03 17:05:28.588,0,0,0,0,0,0,0,0,-4056,1024,-7243,-1402,-2944,980,2,1,2,2,0,0,0,1,-259,267,-8461,285,231,97
'2017-08-03 17:05:28.598,0,0,0,0,0,0,0,0,-3805,1074,-7154,-1580,-3532,985,2,1,2,2,0,0,0,1,-249,243,-8483,206,172,85
'2017-08-03 17:05:28.608,0,0,0,0,0,0,0,0,-3628,1111,-7138,-1559,-3828,1176,2,1,2,2,0,0,0,1,-290,280,-8504,101,174,54
'2017-08-03 17:05:28.618,0,0,0,0,0,0,0,0,-3632,1082,-7134,-1316,-3872,1483,2,1,2,2,0,1,0,1,-247,261,-8561,-17,182,52
'2017-08-03 17:05:28.628,0,0,0,0,0,0,0,0,-3699,984,-7020,-661,-3804,1828,2,2,2,2,0,1,0,1,-277,275,-8497,-90,173,34
'2017-08-03 17:05:28.638,0,0,0,0,0,0,0,0,-3337,1274,-6909,182,-3722,2154,2,2,2,2,0,1,0,1,-251,341,-8512,-124,188,36
'2017-08-03 17:05:28.648,0,0,0,0,0,0,0,0,-3192,1599,-6899,939,-3726,2385,2,2,2,2,0,1,0,1,-253,359,-8484,-74,198,35
'2017-08-03 17:05:28.658,0,0,0,0,0,0,0,0,-2831,2248,-6652,1288,-3767,2457,2,2,2,2,0,1,0,1,-287,398,-8535,-19,259,51
'2017-08-03 17:05:28.668,0,0,0,0,0,0,0,0,-2502,2615,-6528,921,-3782,2324,2,2,2,1,0,1,0,1,-297,422,-8643,79,459,113
'2017-08-03 17:05:28.678,0,0,0,0,0,0,0,0,-2121,2450,-6649,-128,-3795,2060,2,2,2,1,0,1,0,1,-230,326,-8625,132,640,148
'2017-08-03 17:05:28.688,0,0,0,0,0,0,0,0,-1772,1904,-6744,-1413,-3874,1762,2,2,2,1,0,1,0,1,-219,332,-8589,87,733,157
'2017-08-03 17:05:28.698,0,0,0,0,0,0,0,0,-1725,931,-6685,-2297,-3923,1622,2,2,2,1,0,1,0,1,-175,282,-8596,40,778,167
'2017-08-03 17:05:28.708,0,0,0,0,0,0,0,0,-1515,313,-6782,-2221,-3847,1656,2,2,2,1,0,1,0,1,-157,255,-8525,-34,794,154
'2017-08-03 17:05:28.718,0,0,0,0,0,0,0,0,-1652,136,-6836,-1406,-3658,1856,2,2,2,1,0,1,0,1,-128,283,-8514,-102,780,146
'2017-08-03 17:05:28.728,0,0,0,0,0,0,0,0,-1767,263,-6975,-422,-3499,2103,2,2,2,1,0,1,1,0,-107,280,-8550,-198,793,135
'2017-08-03 17:05:28.738,0,0,0,0,0,0,0,0,-1584,628,-7184,413,-3422,2281,2,2,2,1,0,1,1,0,-114,339,-8556,-249,836,120
'2017-08-03 17:05:28.748,0,0,0,0,0,0,0,0,-1457,1172,-7262,910,-3352,2396,2,2,2,0,0,1,1,0,-97,351,-8553,-260,864,142
'2017-08-03 17:05:28.758,0,0,0,0,0,0,0,0,-1408,1629,-7127,700,-3214,2301,2,2,2,0,0,2,1,0,-40,339,-8552,-277,896,136
'2017-08-03 17:05:28.768,0,0,0,0,0,0,0,0,-1295,1593,-6794,-35,-2950,1975,2,2,2,0,0,2,1,0,-23,348,-8487,-345,874,113
'2017-08-03 17:05:28.778,0,0,0,0,0,0,0,0,-1277,1083,-6291,-861,-2536,1545,2,2,2,0,0,2,1,0,50,360,-8417,-386,798,87
'2017-08-03 17:05:28.788,0,0,0,0,0,0,0,0,-1230,336,-5779,-1430,-2025,1164,2,2,2,0,0,2,1,0,4,340,-8456,-414,719,68
'2017-08-03 17:05:28.798,0,0,0,0,0,0,0,0,-1294,-455,-5134,-1553,-1557,913,2,2,2,0,0,2,1,0,-17,445,-8551,-384,736,47
'2017-08-03 17:05:28.808,0,0,0,0,0,0,0,0,-1810,-1214,-4737,-1370,-1223,806,2,2,2,0,0,2,1,0,22,527,-8577,-296,835,61
'2017-08-03 17:05:28.818,0,0,0,0,0,0,0,0,-2832,-1821,-4816,-724,-1248,711,2,2,2,0,0,2,1,0,101,466,-8605,-242,923,101
'2017-08-03 17:05:28.828,0,0,0,0,0,0,0,0,-4221,-1774,-5141,377,-1684,597,2,2,2,0,0,2,1,0,57,503,-8570,-176,943,120
'2017-08-03 17:05:28.838,0,0,0,0,0,0,0,0,-5630,-941,-5231,1622,-2359,579,2,2,2,0,0,2,1,0,153,465,-8492,-94,934,115
'2017-08-03 17:05:28.848,0,0,0,0,0,0,0,0,-6876,-22,-4663,2437,-3211,577,2,2,2,0,0,2,1,0,166,381,-8483,-96,829,114
'2017-08-03 17:05:28.858,0,0,0,0,0,0,0,0,-7954,921,-3540,2357,-4222,438,2,2,2,0,0,2,1,0,185,447,-8438,-105,689,66
'2017-08-03 17:05:28.868,0,0,0,0,0,0,0,0,-8718,1467,-3048,1648,-5473,-130,2,2,2,0,0,2,1,0,184,323,-8433,-152,567,29
'2017-08-03 17:05:28.878,0,0,0,0,0,0,0,0,-9589,1558,-4323,345,-7289,-1340,2,2,2,0,0,2,1,0,228,348,-8428,-206,455,-34
'2017-08-03 17:05:28.888,0,0,0,0,0,0,0,0,9992,-22601,-25577,11845,-352,4301,2,2,2,0,0,2,1,0,229,388,-8431,-309,363,-62
'2017-08-03 17:05:28.898,1,0,0,0,0,0,0,0,-11262,8025,-3588,3575,27615,8982,2,2,2,0,0,2,1,0,243,419,-8526,-416,315,-61
'2017-08-03 17:05:28.908,1,1,0,0,0,1,0,0,250,12162,-15911,1597,15158,3238,2,2,2,0,0,2,1,0,208,483,-8555,-552,308,-57
'2017-08-03 17:05:28.918,1,1,0,0,0,2,0,0,1230,1791,733,2096,20518,2312,2,2,2,0,0,2,1,0,199,499,-8597,-560,336,-40
'2017-08-03 17:05:28.928,2,2,1,0,0,2,0,0,3293,6049,-17582,7723,23206,139,2,2,2,0,0,2,1,0,159,606,-8627,-461,421,-33
'2017-08-03 17:05:28.938,2,2,1,0,0,2,1,0,212,-1315,-14515,7590,18953,-1217,2,2,2,0,0,2,1,0,256,590,-8482,-303,456,42
'2017-08-03 17:05:28.948,2,2,2,0,0,2,1,0,-1,-708,-19723,12023,15832,-274,2,2,2,0,0,2,1,0,160,589,-8703,-169,508,51
'2017-08-03 17:05:28.958,2,2,2,1,0,2,2,0,1597,1456,-14689,2871,5225,922,2,2,2,0,0,2,1,0,229,677,-8690,-30,662,137
'2017-08-03 17:05:28.968,2,2,2,1,0,2,2,1,495,-390,-15552,2037,2502,-138,2,2,2,0,0,2,1,0,225,639,-8744,160,804,155
'2017-08-03 17:05:28.978,2,2,2,1,2,2,2,1,-5,-538,-11544,-1545,-876,-160,2,2,2,0,1,2,1,0,282,533,-8713,191,920,207
'2017-08-03 17:05:28.988,2,2,2,1,2,2,2,1,-384,78,-8574,-3374,-1984,-15,2,2,2,0,1,2,1,0,331,444,-8578,93,957,227
'2017-08-03 17:05:28.998,2,2,1,1,2,2,2,1,-591,152,-7881,-3813,-1408,159,2,2,2,0,1,2,1,0,344,448,-8543,-22,935,193
'2017-08-03 17:05:29.008,2,2,1,1,2,2,2,1,-719,903,-7483,-3381,-326,272,2,2,2,0,1,2,1,0,395,372,-8485,-155,895,179
'2017-08-03 17:05:29.018,1,2,1,1,2,2,2,1,-730,1527,-6860,-1878,893,177,2,2,2,0,2,2,1,0,439,362,-8376,-351,818,107
'2017-08-03 17:05:29.028,1,1,1,1,2,2,2,1,-769,1048,-7374,-206,2279,20,2,2,2,0,2,2,1,0,466,372,-8357,-586,736,61
'2017-08-03 17:05:29.038,1,1,1,1,2,2,2,1,-272,747,-8086,644,3124,89,2,2,2,0,2,2,1,0,430,515,-8522,-681,647,25
'2017-08-03 17:05:29.048,1,1,1,2,2,2,2,2,169,653,-9227,798,2765,110,2,2,2,0,2,2,1,0,453,587,-8405,-611,611,-6
'2017-08-03 17:05:29.058,1,1,1,2,2,2,2,2,163,460,-9535,470,1736,88,2,2,2,0,2,2,1,0,496,617,-8187,-473,476,9
'2017-08-03 17:05:29.068,1,1,1,2,2,2,2,2,-54,424,-9101,-88,965,107,2,2,2,0,2,2,1,0,528,512,-7947,-373,208,-3
'2017-08-03 17:05:29.078,1,1,0,2,2,2,2,2,-162,461,-8693,-578,731,141,2,2,2,0,2,2,1,0,604,422,-7729,-346,-192,-51
'2017-08-03 17:05:29.088,1,1,0,2,2,2,2,2,-152,645,-8553,-913,843,125,2,2,2,0,2,2,1,0,589,422,-7668,-388,-699,-147
'2017-08-03 17:05:29.098,1,0,0,2,2,2,2,2,-49,729,-8515,-970,913,88,2,2,2,0,2,2,1,0,500,538,-7696,-527,-1184,-206
'2017-08-03 17:05:29.108,1,0,0,2,2,2,2,2,0,752,-8603,-927,860,29,2,2,2,0,2,2,1,0,510,370,-7666,-779,-1742,-225
'2017-08-03 17:05:29.118,1,0,0,2,2,2,2,2,23,710,-8587,-854,756,-18,2,2,2,0,2,2,1,0,368,494,-8244,-580,-2500,-369
'2017-08-03 17:05:29.128,1,0,0,2,2,2,2,2,43,763,-8531,-691,607,-39,2,2,2,0,2,2,2,0,378,854,-8429,109,-3057,-445
'2017-08-03 17:05:29.138,1,0,0,2,2,2,2,2,51,718,-8512,-554,432,-51,2,2,2,0,2,2,2,0,89,770,-8706,1191,-2830,-274
'2017-08-03 17:05:29.148,0,0,0,2,0,2,2,2,55,711,-8470,-488,308,-48,2,2,2,0,2,2,2,0,-23,315,-9844,655,-2791,-104
'2017-08-03 17:05:29.158,0,0,0,2,0,2,2,2,48,712,-8392,-463,269,-13,2,2,2,0,2,2,2,0,-180,798,-8883,-78,-2102,-110
'2017-08-03 17:05:29.168,0,0,0,2,0,2,2,2,53,723,-8337,-428,281,16,2,2,2,0,2,2,2,0,-23,585,-8849,2,-1529,-42
'2017-08-03 17:05:29.178,0,0,0,2,0,2,2,2,50,794,-8308,-371,317,17,2,2,2,0,2,2,2,0,-55,529,-8731,-20,-1168,-33
'2017-08-03 17:05:29.188,0,0,0,2,0,2,2,2,51,792,-8356,-272,353,2,2,2,2,0,2,2,2,0,-75,505,-8743,-19,-912,-57
'2017-08-03 17:05:29.198,0,0,0,2,0,2,2,2,58,771,-8383,-195,361,-5,2,2,2,0,2,2,2,0,-104,513,-8769,-38,-687,-67
'2017-08-03 17:05:29.208,0,0,0,2,0,2,2,2,88,768,-8426,-141,356,-6,2,2,2,0,2,2,2,0,-69,547,-8651,-35,-523,-64
'2017-08-03 17:05:29.218,0,0,0,2,0,2,2,2,86,750,-8390,-125,365,-11,2,2,2,0,2,2,2,0,-91,577,-8628,12,-397,-55
'2017-08-03 17:05:29.228,0,0,0,2,0,2,2,2,99,774,-8441,-68,362,7,2,2,2,0,2,2,2,0,-106,554,-8593,64,-296,-38
'2017-08-03 17:05:29.238,0,0,0,2,0,2,2,2,90,820,-8505,21,358,19,2,2,2,0,2,2,2,0,-157,611,-8569,167,-132,-27
'2017-08-03 17:05:29.248,0,0,0,2,0,2,2,2,138,804,-8483,205,280,24,2,2,2,0,2,2,2,0,-298,762,-8802,385,388,71
'2017-08-03 17:05:29.258,0,0,0,2,0,1,2,2,164,830,-8452,486,151,54,2,2,2,0,2,2,2,0,-59,589,-8794,634,833,153
'2017-08-03 17:05:29.268,0,0,0,2,0,1,2,2,147,879,-8375,855,11,66,2,2,2,0,2,2,2,0,-38,568,-8585,822,1072,178
'2017-08-03 17:05:29.278,0,0,0,2,0,1,2,2,138,795,-8382,1216,-115,82,2,2,2,0,2,2,1,0,-26,538,-8450,1015,1123,161
'2017-08-03 17:05:29.288,1,0,0,2,0,1,2,2,41,676,-8444,1412,-102,79,2,2,2,0,2,2,1,0,66,613,-8406,1248,1111,150
'2017-08-03 17:05:29.298,1,0,0,2,0,1,2,2,29,626,-8547,1340,-31,103,2,2,2,0,2,2,1,0,109,483,-8280,1403,958,185
'2017-08-03 17:05:29.308,1,0,0,2,0,1,1,2,99,530,-8647,1073,-12,98,2,2,2,0,2,2,1,0,200,312,-8233,1337,506,156
'2017-08-03 17:05:29.318,1,0,0,2,0,1,1,2,130,477,-8791,615,-125,82,2,2,2,0,1,2,1,0,186,226,-8287,1157,152,79
'2017-08-03 17:05:29.328,1,0,0,2,0,1,2,2,159,549,-8666,273,-318,45,2,2,2,0,0,2,0,0,167,250,-8352,952,-119,22
'2017-08-03 17:05:29.338,1,0,0,2,0,1,2,2,154,630,-8621,108,-524,26,2,2,2,0,0,2,0,0,159,384,-8455,838,-258,25
'2017-08-03 17:05:29.348,1,0,0,2,0,1,2,2,130,666,-8628,109,-754,-6,2,2,2,0,0,1,0,0,86,372,-8473,823,-322,60
'2017-08-03 17:05:29.358,1,0,0,2,0,1,2,2,65,636,-8723,142,-976,-47,2,2,2,0,0,1,0,0,121,240,-8497,809,-376,104
'2017-08-03 17:05:29.368,1,0,0,2,0,1,2,2,52,699,-8843,151,-1229,-83,2,2,2,0,0,1,0,0,123,151,-8466,687,-456,67
'2017-08-03 17:05:29.378,1,0,0,2,0,1,2,1,108,712,-8987,122,-1619,-161,2,2,2,0,0,1,0,0,75,204,-8421,575,-574,36
'2017-08-03 17:05:29.388,1,0,0,1,0,1,2,1,204,747,-8421,164,-2104,-215,2,2,2,0,0,1,0,0,-6,229,-8518,561,-558,10
'2017-08-03 17:05:29.398,1,1,1,1,0,1,2,1,103,838,-8122,582,-2334,-299,2,2,2,0,0,1,0,0,42,184,-8616,480,-483,5
'2017-08-03 17:05:29.408,1,1,1,1,0,1,1,0,-258,749,-8300,1039,-2263,-361,2,2,2,0,0,1,0,0,18,155,-8587,336,-408,-14
'2017-08-03 17:05:29.418,1,1,1,1,0,1,1,0,-505,414,-8325,1172,-1873,-397,2,2,2,0,0,1,0,0,-3,153,-8531,178,-392,-24
'2017-08-03 17:05:29.428,1,1,1,1,0,1,1,0,-470,177,-8734,793,-1317,-289,2,2,2,0,0,1,0,0,58,100,-8443,43,-461,-50
'2017-08-03 17:05:29.438,1,2,1,1,0,1,1,0,-283,319,-8562,314,-1107,-131,2,2,2,0,0,1,0,0,35,98,-8318,-58,-654,-103
'2017-08-03 17:05:29.448,2,2,1,1,0,1,1,0,-175,570,-8899,-19,-1076,-60,2,2,2,0,0,1,0,0,44,126,-8229,-126,-947,-155
'2017-08-03 17:05:29.458,2,2,1,0,0,1,1,0,-112,682,-9378,-234,-1544,-195,2,2,2,0,0,1,0,0,35,127,-8295,-176,-1245,-202
'2017-08-03 17:05:29.468,2,2,1,0,0,2,1,0,-133,976,-9775,-468,-2314,-390,2,2,2,0,0,1,0,0,-55,191,-8279,-105,-1559,-273
'2017-08-03 17:05:29.478,2,2,2,0,0,2,1,0,-190,1542,-10506,-951,-3606,-893,2,2,2,1,0,1,0,1,-62,274,-8193,67,-1770,-309
'2017-08-03 17:05:29.488,2,2,2,0,0,2,1,0,822,2139,-13059,-420,-5561,-1760,2,2,2,1,0,1,0,1,-429,462,-8616,408,-1467,-294
'2017-08-03 17:05:29.498,2,2,2,0,0,2,0,0,507,1580,-14366,1353,-8964,-1787,2,2,2,1,0,0,0,1,-267,287,-9064,597,-902,-138
'2017-08-03 17:05:29.508,2,2,2,0,0,2,0,0,-305,3329,-13874,1810,-11342,-2356,2,2,2,2,0,0,0,1,-382,190,-8964,550,-269,-63
'2017-08-03 17:05:29.518,2,2,1,0,0,1,0,0,-46,949,-15404,3213,-13895,-2640,2,2,2,2,0,0,0,1,-239,56,-8844,382,132,-51
'2017-08-03 17:05:29.528,2,2,1,0,0,1,0,0,-156,3620,-16561,3081,-16160,-3355,2,2,2,2,0,0,0,1,-210,58,-8731,181,347,-69
'2017-08-03 17:05:29.538,2,2,1,0,0,1,0,0,716,2138,-19356,3434,-18440,-4261,2,2,2,2,0,0,0,1,-189,114,-8664,0,465,-92
'2017-08-03 17:05:29.548,2,2,1,0,0,1,0,0,1630,2856,-17471,4528,-21573,-4635,2,2,2,1,0,0,0,1,-229,129,-8717,-104,593,-87
