시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 19:39:07.624,2,2,2,1,0,1,1,1,99,-262,-11316,994,-6485,-421,0,0,0,0,0,0,0,0,204,1692,-13237,5267,7648,4991
'2017-08-01 19:39:07.634,2,2,2,1,1,1,0,0,-63,-597,-12489,-372,-7651,-505,0,0,0,0,0,0,0,0,-108,1553,-13253,5267,7648,4991
'2017-08-01 19:39:07.644,2,2,2,0,1,1,0,0,-497,-817,-13211,-1721,-8843,69,0,0,0,0,0,0,0,0,-1262,1194,-12406,5267,7648,4991
'2017-08-01 19:39:07.654,2,2,2,0,1,1,0,0,1366,2890,-16082,-1406,-10481,-76,0,0,0,0,0,0,0,0,-1752,689,-11660,5267,7648,4991
'2017-08-01 19:39:07.664,2,2,2,0,1,1,0,0,462,530,-13417,379,-13945,298,0,0,0,0,0,0,0,0,-1668,239,-11004,5437,4124,4938
'2017-08-01 19:39:07.674,2,2,2,0,1,1,0,0,-711,780,-9185,237,-14827,-273,0,0,0,0,0,0,0,0,-1707,8,-10185,5238,4096,4215
'2017-08-01 19:39:07.684,2,2,2,0,1,0,0,0,-680,-175,-10607,1236,-14252,10,0,0,0,0,0,0,0,0,-1975,-58,-9604,4786,3965,2832
'2017-08-01 19:39:07.694,2,2,2,0,1,0,0,0,-629,2885,-12326,962,-14378,-96,0,0,0,0,0,0,0,0,-2176,-52,-9097,4202,3807,1627
'2017-08-01 19:39:07.704,2,2,2,0,1,0,0,0,-639,1274,-16310,1351,-15244,-866,0,0,0,0,0,0,0,0,-2193,-120,-8806,3611,3628,582
'2017-08-01 19:39:07.714,2,2,2,0,1,0,0,0,-1316,605,-18495,2585,-16354,-1302,0,0,0,0,0,0,0,0,-2410,-490,-8304,3100,3452,-374
'2017-08-01 19:39:07.724,2,2,1,0,0,0,0,0,-1872,-1250,-24088,6596,-18084,-720,0,0,0,0,0,0,0,0,-2648,-723,-7951,2734,3050,-1190
'2017-08-01 19:39:07.734,1,1,1,0,0,0,0,0,-4013,-2622,-22382,6569,-17411,-720,0,0,0,0,0,0,0,0,-2584,-757,-7417,2558,2472,-1702
