시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 18:57:05.760,1,2,1,0,0,0,0,0,-13760,-22725,-20423,-46,24504,-147,0,0,0,0,0,0,0,0,-1558,1779,-8180,-3342,-24015,3277
'2017-08-01 18:57:05.770,1,2,1,0,0,1,0,0,-565,18535,-8561,5019,22543,4002,0,0,0,0,0,0,0,0,-1398,1721,-8142,-3342,-24015,3277
'2017-08-01 18:57:05.780,1,2,2,0,0,1,0,0,1629,-8548,-15082,-5844,22249,-3168,0,0,0,0,0,0,0,0,-1237,1433,-8120,-3342,-24015,3277
'2017-08-01 18:57:05.790,1,2,2,0,0,2,0,0,4667,4080,-30202,2790,22155,3585,0,0,0,0,0,0,0,0,-1154,1205,-8157,-3342,-24015,3277
'2017-08-01 18:57:05.800,2,2,2,0,0,2,0,0,1401,3627,-26470,97,10282,-562,0,0,0,0,0,0,0,0,-1476,1303,-8368,-547,-1217,745
'2017-08-01 18:57:05.810,2,2,2,0,0,2,0,0,-3453,754,1493,-1354,4117,-520,0,0,0,0,0,0,0,0,-1770,1375,-8458,-749,-1604,452
'2017-08-01 18:57:05.820,2,2,2,0,0,2,0,0,-2531,841,10790,2717,12413,-171,0,0,0,0,0,0,0,0,-1525,1095,-8439,-1096,-2387,-28
'2017-08-01 18:57:05.830,2,2,2,0,0,2,1,0,2012,2973,-24308,5233,18839,-552,0,0,0,0,0,0,0,0,-970,840,-8286,-1232,-2759,-404
'2017-08-01 18:57:05.840,2,2,2,0,0,2,1,0,583,-2784,-14079,4178,13806,-1861,0,0,0,0,0,0,0,0,-714,828,-8216,-1337,-2825,-661
'2017-08-01 18:57:05.850,2,2,2,1,0,1,1,0,-73,1571,-8401,4099,6960,-329,0,0,0,0,0,0,0,0,-602,749,-8211,-1528,-2812,-732
'2017-08-01 18:57:05.860,2,2,2,2,0,1,1,0,937,-51,-13084,3135,5697,-190,0,0,0,0,0,0,0,0,-577,527,-8200,-1651,-2773,-685
'2017-08-01 18:57:05.870,2,2,2,2,0,1,1,1,655,-704,-11236,1953,2151,-134,0,0,0,0,0,0,0,0,-554,340,-8176,-1715,-2715,-555
'2017-08-01 18:57:05.880,2,2,2,2,0,1,1,1,237,-774,-10297,-75,171,113,0,0,0,0,0,0,0,0,-467,275,-8137,-1737,-2585,-324
'2017-08-01 18:57:05.890,2,2,2,2,0,1,1,1,372,158,-9352,-1572,-1049,320,0,0,0,0,0,0,0,0,-306,194,-8080,-1700,-2394,-1
'2017-08-01 18:57:05.900,2,2,2,1,0,1,1,1,422,725,-9170,-1715,-2040,255,0,0,0,0,0,0,0,0,-148,125,-8144,-1612,-2139,375
'2017-08-01 18:57:05.910,2,2,2,1,0,1,1,0,355,764,-8695,-1149,-2626,130,0,0,0,0,0,0,0,0,-150,157,-8210,-1477,-1940,863
'2017-08-01 18:57:05.920,2,2,2,1,0,1,1,0,21,877,-8294,-454,-2814,-35,0,0,0,0,0,0,0,0,-203,-11,-8268,-1344,-1849,1371
'2017-08-01 18:57:05.930,2,2,2,1,0,1,1,0,-169,781,-8014,272,-2392,-195,0,0,0,0,0,0,0,0,-231,-574,-8190,-1208,-1774,1776
'2017-08-01 18:57:05.940,2,2,2,1,0,1,1,0,-170,517,-8108,807,-1707,-247,0,0,0,0,0,0,0,0,7,-914,-7989,-835,-1628,2010
'2017-08-01 18:57:05.950,2,2,2,1,0,1,1,0,-158,164,-8146,1160,-1165,-217,0,0,0,0,0,0,0,0,335,-934,-8005,-333,-1336,2061
'2017-08-01 18:57:05.960,2,2,2,1,0,1,1,0,-179,-1,-8097,639,-595,-82,0,0,0,0,0,0,0,0,617,-835,-7815,177,-820,2076
'2017-08-01 18:57:05.970,2,2,2,0,1,1,1,0,-132,-65,-8176,-67,-149,27,0,0,0,0,0,0,0,0,938,-666,-7689,683,-167,1998
'2017-08-01 18:57:05.980,2,2,2,0,1,1,1,0,-49,50,-8446,-745,134,154,0,0,0,0,0,0,0,0,1100,-516,-7538,1150,627,1880
'2017-08-01 18:57:05.990,2,2,2,0,1,1,1,0,-15,333,-8545,-1130,265,214,0,0,0,0,0,0,0,0,964,-277,-7634,1529,1381,1715
'2017-08-01 18:57:06.000,2,2,2,0,1,1,1,0,5,549,-8664,-1100,205,213,0,0,0,0,0,0,0,0,436,330,-8189,1432,1581,1619
'2017-08-01 18:57:06.010,2,2,2,0,1,1,1,0,-4,524,-8579,-952,84,155,0,0,0,0,0,0,0,0,37,802,-8190,780,1080,1599
'2017-08-01 18:57:06.020,2,2,2,0,1,1,1,0,-41,477,-8668,-889,-84,107,0,0,0,0,0,0,0,0,317,645,-8190,65,541,1533
'2017-08-01 18:57:06.030,2,2,2,0,1,1,1,0,55,523,-8755,-895,-318,82,0,0,0,0,0,0,0,0,944,454,-8141,-377,500,1284
'2017-08-01 18:57:06.040,2,2,2,0,1,2,1,0,69,499,-8718,-785,-558,45,0,0,0,0,0,0,0,0,1457,430,-7998,-534,1010,913
'2017-08-01 18:57:06.050,2,2,2,0,1,2,1,0,23,523,-8530,-651,-735,5,0,0,0,0,0,0,0,0,1796,630,-7839,-561,1890,496
'2017-08-01 18:57:06.060,2,2,2,0,1,2,1,0,-109,526,-8333,-543,-661,-12,0,0,0,0,0,0,0,0,1940,635,-7839,-555,3372,-99
'2017-08-01 18:57:06.070,2,2,2,0,1,2,1,0,-136,449,-8161,-479,-388,10,0,0,0,0,0,0,0,0,1536,-504,-8145,-36,3961,-505
'2017-08-01 18:57:06.080,2,2,2,0,1,2,1,0,-182,453,-8224,-477,-1,40,0,0,0,0,0,0,0,0,884,-1061,-8139,1089,3878,-874
'2017-08-01 18:57:06.090,2,2,2,0,1,2,1,0,-148,520,-8389,-455,296,60,0,0,0,0,0,0,0,0,19,-528,-8301,1931,3029,-1054
'2017-08-01 18:57:06.100,2,2,2,0,1,2,1,0,-56,565,-8660,-491,352,79,0,0,0,0,0,0,0,0,-491,172,-7920,1737,1507,-885
'2017-08-01 18:57:06.110,2,2,2,0,1,2,1,0,0,534,-8790,-570,147,66,0,0,0,0,0,0,0,0,-166,488,-8034,848,80,-561
'2017-08-01 18:57:06.120,2,2,2,0,1,2,1,0,-2,497,-8840,-728,-165,59,0,0,0,0,0,0,0,0,579,335,-7760,167,-563,-293
'2017-08-01 18:57:06.130,2,2,2,0,1,2,1,0,-36,486,-8851,-833,-502,88,0,0,0,0,0,0,0,0,1421,227,-7387,13,-304,-212
'2017-08-01 18:57:06.140,2,2,2,0,1,2,1,0,-23,462,-8858,-838,-746,160,0,0,0,0,0,0,0,0,1978,175,-7423,247,662,-339
'2017-08-01 18:57:06.150,2,2,2,0,1,2,1,0,-71,559,-8759,-720,-959,216,0,0,0,0,0,0,0,0,1988,211,-7089,510,1728,-610
'2017-08-01 18:57:06.160,2,2,2,0,1,2,1,0,-78,478,-9354,-804,-1233,228,0,0,0,0,0,0,0,0,1892,334,-6891,601,2633,-967
'2017-08-01 18:57:06.170,2,2,2,0,1,2,1,0,-15,800,-9338,-1249,-1600,131,0,0,0,0,0,0,0,0,1748,391,-6771,609,3436,-1386
