시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-01 19:29:33.312,0,0,0,0,0,0,0,0,-32767,-20551,-15932,-17194,6847,-2449,0,0,0,0,0,0,0,0,-2578,-36,-8386,-1217,4099,-52
'2017-08-01 19:29:33.322,0,0,0,0,0,0,0,0,-32767,-27364,-11418,-8612,2864,-1921,0,0,0,0,0,0,0,0,-2578,-36,-8386,-1217,4099,-52
'2017-08-01 19:29:33.332,0,0,0,0,0,0,0,0,-32767,-16954,-11917,3205,157,-2346,0,0,0,0,0,0,0,0,-2390,33,-8265,-1217,4099,-52
'2017-08-01 19:29:33.342,0,0,0,0,0,0,0,0,-31674,-14585,-17639,9987,-8699,-5384,0,0,0,0,0,0,0,0,-2434,294,-8321,-1217,4099,-52
'2017-08-01 19:29:33.352,0,0,0,1,0,0,0,0,17177,2706,32767,8363,-12972,-6755,0,0,0,0,0,0,0,0,-2355,466,-8215,-1217,4099,-52
'2017-08-01 19:29:33.362,0,0,0,2,0,0,0,2,6432,9773,-12981,10245,-13731,-5252,0,0,0,0,0,0,0,0,-2250,610,-8193,-1872,-4313,89
'2017-08-01 19:29:33.372,0,0,0,2,0,0,0,2,3813,6958,-13233,4572,-19020,269,0,0,0,0,0,0,0,0,-2494,879,-8021,-1887,-4167,100
'2017-08-01 19:29:33.382,0,0,0,2,0,0,0,2,-888,-4303,-20894,3675,-23572,3211,0,0,0,0,0,0,0,0,-2313,982,-7820,-1904,-4154,84
'2017-08-01 19:29:33.392,0,0,0,2,0,0,0,2,-884,-3489,-31827,-1120,-23263,1487,0,0,0,0,0,0,0,0,-2280,1098,-7641,-1958,-3975,41
'2017-08-01 19:29:33.402,0,0,0,2,0,0,0,2,-457,-1754,-27802,-292,-17295,89,0,0,0,0,0,0,0,0,-2636,914,-7603,-2176,-3935,-54
'2017-08-01 19:29:33.412,0,0,0,2,0,0,0,2,-396,1375,-17587,-1691,-10601,-927,0,0,0,0,0,0,0,0,-2640,130,-7423,-2263,-4072,-283
'2017-08-01 19:29:33.422,0,0,0,2,0,0,0,2,706,1119,-13244,-2857,-8440,429,0,0,0,0,0,0,0,0,-2328,105,-7352,-2031,-3950,-599
'2017-08-01 19:29:33.432,0,0,0,2,0,0,1,2,650,1127,-10305,-1924,-7131,982,0,0,0,0,0,0,0,0,-2096,396,-7414,-1938,-3621,-796
'2017-08-01 19:29:33.442,0,0,0,2,0,0,1,2,-266,855,-10485,-560,-4235,674,0,0,0,0,0,0,0,0,-1855,519,-7375,-1854,-3270,-915
'2017-08-01 19:29:33.452,0,0,0,2,0,0,1,2,283,611,-9534,495,-2442,606,0,0,0,0,0,0,0,0,-1722,763,-7294,-1720,-2875,-1021
'2017-08-01 19:29:33.462,0,0,0,2,0,0,1,2,808,542,-8756,1121,-1702,501,0,0,0,0,0,0,0,0,-2133,965,-7142,-1720,-2567,-1108
'2017-08-01 19:29:33.472,0,0,0,2,0,0,1,2,837,400,-8638,1692,-1319,319,0,0,0,0,0,0,0,0,-2693,772,-6952,-1774,-2667,-1245
'2017-08-01 19:29:33.482,0,0,0,2,0,0,1,2,948,-52,-8865,1426,-1500,200,0,0,0,0,0,0,0,0,-2595,815,-6800,-1695,-2881,-1406
'2017-08-01 19:29:33.492,0,0,0,2,0,0,1,2,1275,-415,-8737,329,-1871,52,0,0,0,0,0,0,0,0,-2288,1110,-6703,-1654,-2751,-1495
'2017-08-01 19:29:33.502,0,0,1,2,0,0,1,2,1436,-373,-8844,-1141,-2526,-140,0,0,0,0,0,0,0,0,-2390,1120,-6672,-1725,-2395,-1459
'2017-08-01 19:29:33.512,0,0,1,2,0,0,1,2,1397,29,-9131,-2443,-3408,-158,0,0,0,0,0,0,0,0,-2774,822,-6707,-1824,-2155,-1459
'2017-08-01 19:29:33.522,0,0,1,2,0,0,2,2,1593,569,-9040,-2625,-4346,83,0,0,0,0,0,0,0,0,-2718,-227,-6158,-1986,-1952,-1631
'2017-08-01 19:29:33.532,0,0,1,2,0,0,2,2,1385,824,-8860,-1866,-5534,303,0,0,0,0,0,0,0,0,-2363,-1015,-5915,-1934,-1639,-1935
'2017-08-01 19:29:33.542,0,1,1,2,0,0,2,2,580,1004,-8825,-672,-6272,423,0,0,0,0,0,0,0,0,-2626,-823,-6278,-1544,-1257,-2213
'2017-08-01 19:29:33.552,0,1,2,2,0,1,2,2,533,1044,-8523,564,-6478,432,0,0,0,0,0,0,0,0,-3058,-216,-6437,-1161,-1282,-2254
'2017-08-01 19:29:33.562,0,2,2,2,0,1,2,1,61,1079,-8562,1620,-6374,97,0,0,0,0,0,0,0,0,-3092,689,-6603,-791,-1462,-2160
'2017-08-01 19:29:33.572,0,2,2,1,0,1,1,1,107,468,-8518,1855,-6338,-132,0,0,0,0,0,0,0,0,-2710,1511,-6683,-731,-1430,-2002
'2017-08-01 19:29:33.582,1,2,2,1,0,1,1,0,420,1026,-8610,1706,-6607,-493,0,0,0,0,0,0,0,0,-2497,1912,-6682,-926,-1169,-1789
'2017-08-01 19:29:33.592,1,2,2,1,0,1,1,0,-1163,-180,-8766,941,-7033,-1135,0,0,0,0,0,0,0,0,-2579,1768,-6658,-1154,-875,-1573
'2017-08-01 19:29:33.602,1,2,2,0,0,1,0,0,761,1828,-13244,963,-5946,-2235,0,0,0,0,0,0,0,0,-2547,1526,-6357,-1218,-762,-1292
'2017-08-01 19:29:33.612,1,2,2,0,0,1,0,0,54,2118,-9700,3532,-8829,-1931,0,0,0,0,0,0,0,0,-2078,1409,-6122,-1125,-624,-811
'2017-08-01 19:29:33.622,2,2,2,0,0,1,0,0,-813,1277,-10925,3042,-8384,-2453,0,0,0,0,0,0,0,0,-1489,1161,-6004,-894,-224,-184
'2017-08-01 19:29:33.632,2,2,2,0,0,1,0,0,-557,-319,-10738,3051,-9478,-2415,0,0,0,0,0,0,0,0,-1338,1255,-5752,-629,265,465
'2017-08-01 19:29:33.642,2,2,2,0,0,1,0,0,-154,-286,-10764,2813,-10186,-1905,0,0,0,0,0,0,0,0,-977,1374,-6499,-523,471,988
'2017-08-01 19:29:33.652,2,2,2,0,0,1,0,0,-263,-125,-11572,2641,-11084,-1586,0,0,0,0,0,0,0,0,655,1140,-7639,-642,441,1301
'2017-08-01 19:29:33.662,2,2,2,0,0,1,0,0,-283,107,-12200,2085,-12193,-1404,0,0,0,0,0,0,0,0,3603,1262,-9144,-629,1494,1535
'2017-08-01 19:29:33.672,2,2,2,0,1,1,0,0,-449,930,-12001,2196,-13753,-1474,0,0,0,0,0,0,0,0,7195,585,-10649,-734,3277,1717
'2017-08-01 19:29:33.682,2,2,2,0,1,1,0,0,-745,1189,-11474,2386,-15360,-1833,0,0,0,0,0,0,0,0,7869,-474,-11048,-343,4919,1689
