시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 15:55:52.446,2,2,2,0,2,1,0,0,-1637,775,-7666,1624,-5539,-1438,0,0,2,2,0,0,1,2,-336,524,-8475,208,52,37
'2017-08-03 15:55:52.456,2,2,2,0,2,1,0,0,-2090,559,-6946,1841,-5104,-1763,0,0,2,2,0,0,1,2,-347,527,-8470,208,52,37
'2017-08-03 15:55:52.466,2,2,2,0,2,1,0,0,-2345,494,-6685,1964,-4557,-2058,0,0,2,2,0,0,1,2,-327,552,-8438,208,52,37
'2017-08-03 15:55:52.476,2,2,2,0,2,1,0,0,-2506,-78,-6939,1994,-3953,-2270,0,0,2,2,0,0,1,2,-357,507,-8453,208,52,37
'2017-08-03 15:55:52.486,2,2,2,0,2,1,0,0,-2633,-414,-7495,2006,-3511,-2324,0,0,2,2,0,0,1,2,-324,538,-8441,208,52,37
'2017-08-03 15:55:52.496,2,2,2,0,2,1,0,0,-2223,-895,-7752,2123,-3320,-2218,0,1,2,2,0,0,1,2,-346,503,-8458,362,123,57
'2017-08-03 15:55:52.506,2,2,2,0,2,0,0,0,-2313,-568,-7795,2519,-3231,-2027,0,1,2,2,0,0,1,2,-328,526,-8529,348,114,37
'2017-08-03 15:55:52.516,2,2,2,0,2,0,0,0,-2433,-634,-7840,2815,-3149,-1990,0,1,2,2,0,0,1,2,-323,510,-8461,339,131,33
'2017-08-03 15:55:52.526,2,2,2,0,2,0,0,0,-2563,-539,-7853,3101,-3111,-1951,0,1,2,2,0,0,1,2,-322,490,-8417,322,98,24
'2017-08-03 15:55:52.536,2,2,2,0,2,0,0,0,-2605,-650,-8068,3288,-3149,-2006,0,1,2,2,0,0,1,2,-305,486,-8425,296,92,32
'2017-08-03 15:55:52.546,2,2,2,0,2,0,0,0,-2701,-735,-8721,3419,-3347,-2008,1,1,2,2,0,0,1,2,-294,495,-8458,292,48,28
'2017-08-03 15:55:52.556,2,2,2,0,2,0,0,0,-2668,-1079,-10015,3447,-3912,-1983,1,1,2,2,0,0,1,2,-312,434,-8437,274,7,11
'2017-08-03 15:55:52.566,2,2,2,0,2,0,0,0,-2656,-1099,-11844,3545,-4854,-1890,1,1,2,2,0,0,1,2,-302,443,-8447,225,-41,-4
'2017-08-03 15:55:52.576,2,2,2,0,2,0,0,0,-2563,-1215,-13975,3644,-6376,-1756,1,1,2,2,0,0,1,2,-303,446,-8416,181,-61,-17
'2017-08-03 15:55:52.586,2,2,2,0,2,0,0,0,-2638,-1059,-16409,3717,-8643,-1569,1,1,2,2,0,0,1,2,-315,404,-8477,125,-60,-16
'2017-08-03 15:55:52.596,2,2,2,0,2,0,0,0,-2138,-2167,-19290,3847,-11657,-1351,1,1,2,2,0,0,1,2,-315,451,-8460,82,-74,-18
'2017-08-03 15:55:52.606,2,2,2,0,2,0,0,0,-958,-1569,-21119,4120,-15455,-801,1,1,2,2,0,0,1,2,-314,431,-8469,51,-64,-15
'2017-08-03 15:55:52.616,2,2,2,0,1,0,0,0,568,-1853,-21361,4447,-19261,-214,1,1,2,2,0,0,1,2,-319,423,-8530,-3,-33,-6
'2017-08-03 15:55:52.626,2,2,1,0,1,0,0,0,1693,102,-19226,4506,-22829,74,1,1,2,2,0,0,1,2,-349,496,-8550,33,4,-3
'2017-08-03 15:55:52.636,2,2,1,0,1,0,0,0,2999,1213,-17631,4622,-26109,-33,1,1,2,2,0,0,1,2,-326,490,-8570,112,57,8
'2017-08-03 15:55:52.646,2,2,1,0,1,0,0,0,4306,153,-14688,6237,-29342,-382,1,1,2,2,0,0,1,2,-300,448,-8548,147,91,10
'2017-08-03 15:55:52.656,2,2,1,0,1,0,0,0,5617,-3388,-6411,10682,-30224,416,1,1,2,2,0,0,1,2,-291,416,-8512,164,118,8
'2017-08-03 15:55:52.666,1,2,1,0,1,0,0,0,4983,-167,-1411,13221,-27494,2833,1,1,2,2,0,0,1,2,-321,425,-8498,169,120,13
'2017-08-03 15:55:52.676,1,1,1,0,0,0,0,0,10702,2731,1252,9955,-26151,4383,1,1,2,2,0,0,1,2,-294,431,-8478,159,108,-1
'2017-08-03 15:55:52.686,1,1,0,0,0,0,0,0,22698,12691,1559,6805,-22657,6967,1,2,2,2,0,0,1,2,-297,391,-8463,130,97,3
'2017-08-03 15:55:52.696,0,0,0,0,0,0,0,0,21719,7675,-1515,-3222,-11401,8822,1,2,2,2,0,0,1,2,-284,404,-8515,109,105,5
'2017-08-03 15:55:52.706,0,0,0,0,0,0,0,0,21154,9093,-9862,-5558,4617,10921,1,2,2,2,0,0,1,2,-310,411,-8501,86,131,7
'2017-08-03 15:55:52.716,0,0,0,0,0,0,0,0,18580,2354,-4116,-21,15407,9766,1,2,2,2,0,0,1,2,-291,429,-8532,54,169,17
'2017-08-03 15:55:52.726,0,0,0,0,0,0,0,0,9863,7996,-2875,2451,16944,5421,1,2,2,2,0,0,1,2,-327,442,-8502,60,239,20
'2017-08-03 15:55:52.736,0,0,0,0,0,0,0,0,7267,8039,-3181,-1337,15082,-82,1,2,2,2,0,0,1,2,-298,454,-8564,102,320,39
'2017-08-03 15:55:52.746,0,0,0,0,0,0,0,0,7332,3854,-4282,-6135,15152,-5092,1,2,2,2,0,0,1,1,-296,430,-8530,139,392,55
'2017-08-03 15:55:52.756,0,0,0,0,0,0,0,0,5421,91,-6233,-5975,16828,-7219,1,2,2,2,0,0,1,1,-287,474,-8500,182,452,58
'2017-08-03 15:55:52.766,0,0,0,0,0,0,0,0,2937,501,-7144,-4144,17992,-6608,1,2,2,2,0,0,1,1,-252,420,-8491,224,499,76
'2017-08-03 15:55:52.776,0,0,0,0,0,0,0,0,813,2286,-7633,-4725,17947,-4425,1,2,2,2,0,0,1,1,-269,407,-8476,233,512,75
'2017-08-03 15:55:52.786,0,0,0,0,0,0,0,0,75,2252,-8015,-7183,17150,-1579,1,2,2,2,0,0,1,1,-208,412,-8516,264,514,75
'2017-08-03 15:55:52.796,0,0,0,0,0,0,0,0,-511,124,-8923,-8894,16157,1470,1,2,2,2,0,0,1,1,-191,387,-8476,280,507,81
'2017-08-03 15:55:52.806,0,0,0,0,0,0,0,0,-3340,-1421,-9345,-8525,14780,4547,2,2,2,2,0,0,1,1,-183,433,-8488,292,500,81
'2017-08-03 15:55:52.816,0,0,0,0,0,0,0,0,-5884,-705,-9522,-7899,12389,6622,2,2,2,1,0,0,1,1,-192,410,-8552,298,537,98
'2017-08-03 15:55:52.826,0,0,0,0,0,0,0,0,-8363,-56,-10272,-8375,9145,6728,2,2,2,1,0,0,1,1,-172,377,-8575,295,603,112
'2017-08-03 15:55:52.836,0,0,0,0,0,0,0,0,-10205,-594,-10992,-9254,6531,6058,2,2,2,1,0,0,1,1,-177,408,-8573,282,684,132
'2017-08-03 15:55:52.846,0,0,0,0,0,0,0,0,-12215,-1985,-11341,-9426,5694,5949,2,2,2,1,0,0,1,1,-159,409,-8647,267,792,144
'2017-08-03 15:55:52.856,0,0,0,0,0,0,0,0,-14028,-3186,-11644,-8045,5785,6644,2,2,2,1,0,0,1,1,-122,430,-8626,272,905,173
'2017-08-03 15:55:52.866,0,0,0,0,0,0,0,0,-15475,-3322,-11487,-5518,5991,7728,2,2,2,1,0,0,1,1,-102,462,-8675,245,1057,208
'2017-08-03 15:55:52.876,0,0,0,0,0,0,0,0,-17021,-2817,-10985,-3057,6167,8679,2,2,2,1,0,0,1,1,-102,462,-8672,264,1217,260
'2017-08-03 15:55:52.886,0,0,0,0,0,0,0,0,-19268,-1955,-9785,-1385,6403,9286,2,2,2,1,0,0,1,0,-10,432,-8633,320,1403,284
'2017-08-03 15:55:52.896,0,0,0,0,0,0,0,0,-21281,-1272,-7899,-736,6710,9203,2,2,2,1,0,1,1,0,44,384,-8602,284,1482,288
'2017-08-03 15:55:52.906,0,0,0,0,0,0,0,0,-22554,-917,-6035,-1165,6902,7979,2,2,2,0,0,1,1,0,112,382,-8530,275,1499,270
'2017-08-03 15:55:52.916,0,0,0,0,0,0,0,0,-22742,-1283,-4838,-2379,6369,5530,2,2,2,0,0,1,1,0,206,303,-8533,242,1428,212
'2017-08-03 15:55:52.926,0,0,0,0,0,0,0,0,-21671,-1373,-3696,-2988,4956,2480,2,2,2,0,0,1,1,0,169,382,-8632,251,1379,153
'2017-08-03 15:55:52.936,0,0,0,0,0,0,0,0,-21163,-1069,-2299,-2416,3215,-432,2,2,2,0,0,1,1,0,162,477,-8773,318,1404,100
'2017-08-03 15:55:52.946,0,0,0,0,0,0,0,0,-19643,655,-1117,-1564,1822,-2711,2,2,2,0,0,1,1,0,192,517,-8821,507,1496,81
'2017-08-03 15:55:52.956,0,0,0,0,0,0,0,0,-18617,2430,-869,-2298,677,-4278,2,2,2,0,0,1,1,0,217,543,-9029,692,1718,104
'2017-08-03 15:55:52.966,0,0,0,0,0,0,0,0,-18149,2828,-957,-4616,-602,-5178,2,2,2,0,0,1,1,0,223,444,-9230,935,2091,115
'2017-08-03 15:55:52.976,0,0,0,0,0,0,0,0,-17643,1466,-1045,-7268,-2265,-5691,2,2,2,0,0,1,1,0,144,261,-9517,1172,2660,40
'2017-08-03 15:55:52.986,0,0,0,0,0,0,0,0,-17081,-427,-1273,-8996,-4378,-6020,2,2,2,0,0,1,1,0,319,149,-9704,1268,3312,-43
'2017-08-03 15:55:52.996,0,0,0,0,0,0,0,0,-16391,-1947,-1991,-9429,-6984,-6228,2,2,2,0,0,1,1,0,154,440,-9893,994,3778,-37
'2017-08-03 15:55:53.006,0,0,0,0,0,0,0,0,-6420,-467,-125,-9577,-9824,-6041,2,2,2,0,0,1,0,0,428,298,-9596,660,4066,157
