'2017-08-03 16:20:20.008,2,1,2,2,1,1,2,2,-1440,1759,-7564,-1738,-7018,78,1,0,1,1,0,0,0,1,573,-190,-8477,-14,12,12
'2017-08-03 16:20:20.018,2,2,2,2,1,1,2,2,-1042,1286,-7895,-680,-5329,-480,1,0,1,1,0,0,0,1,618,-220,-8470,-1,13,20
'2017-08-03 16:20:20.028,2,2,2,2,2,2,2,2,-1524,305,-8535,-803,-4185,-323,1,0,1,1,0,0,0,1,606,-199,-8500,2,12,16
'2017-08-03 16:20:20.038,2,2,2,1,2,2,2,1,-1601,758,-8851,-1174,-3874,-331,1,0,1,1,0,0,0,1,628,-238,-8467,11,-1,8
'2017-08-03 16:20:20.048,2,2,2,1,2,2,2,1,-1076,1018,-8583,-981,-3789,-340,1,0,1,1,0,0,0,1,596,-214,-8498,0,-1,10
'2017-08-03 16:20:20.058,2,2,2,1,2,2,2,0,-1642,974,-8115,-699,-3503,-382,1,0,1,1,0,0,0,1,609,-239,-8450,0,6,11
'2017-08-03 16:20:20.068,2,2,2,0,2,2,2,0,-1797,618,-8291,-464,-3383,-446,1,0,1,1,0,0,0,1,606,-236,-8488,1,0,11
'2017-08-03 16:20:20.078,2,2,2,0,2,2,2,0,-1591,298,-8391,-323,-3391,-194,1,0,1,1,0,0,0,1,603,-225,-8464,-4,-2,-2
'2017-08-03 16:20:20.088,2,2,2,0,2,2,1,0,-1603,951,-8986,-250,-3416,13,1,0,1,1,0,0,0,1,649,-234,-8539,-10,-18,10
'2017-08-03 16:20:20.098,2,2,2,0,2,2,1,0,-1612,984,-9895,637,-3909,-106,1,0,1,1,0,0,0,1,620,-201,-8476,-20,-34,1
'2017-08-03 16:20:20.108,2,2,2,0,2,2,1,0,-1468,1095,-10270,611,-4589,-591,1,0,1,1,0,0,0,1,625,-229,-8495,-40,-32,1
'2017-08-03 16:20:20.118,2,2,2,0,2,1,0,0,-1422,1087,-10356,-134,-5141,-939,1,0,1,1,0,0,0,1,633,-216,-8466,-80,-84,-8
'2017-08-03 16:20:20.128,2,2,2,0,2,1,0,0,-1603,1706,-10691,-41,-6298,-1427,1,0,1,1,0,0,0,1,668,-227,-8465,-117,-145,-19
'2017-08-03 16:20:20.138,2,2,2,0,2,1,0,0,-1947,595,-11643,2,-7066,-1737,1,0,1,1,0,0,0,1,627,-208,-8436,-145,-242,-26
'2017-08-03 16:20:20.148,2,2,1,0,2,1,0,0,-1649,1943,-11068,622,-8275,-1522,1,0,1,1,0,0,0,1,643,-189,-8417,-156,-320,-44
'2017-08-03 16:20:20.158,2,2,1,0,2,1,0,0,-1922,2601,-10303,190,-9051,-2003,1,0,1,1,0,0,0,1,638,-199,-8454,-172,-399,-61
'2017-08-03 16:20:20.168,2,2,1,0,2,0,0,0,-2807,-676,-11675,269,-9387,-2582,1,0,0,1,0,0,0,1,612,-197,-8514,-182,-450,-71
'2017-08-03 16:20:20.178,2,2,1,0,2,0,0,0,-2316,1008,-10119,522,-10359,-1940,1,0,0,1,0,0,0,1,541,-156,-8524,-169,-439,-83
'2017-08-03 16:20:20.188,2,2,1,0,2,0,0,0,-2502,1415,-10173,426,-10912,-2184,1,0,0,1,0,0,0,1,557,-147,-8596,-162,-375,-53
'2017-08-03 16:20:20.198,2,2,1,0,2,0,0,0,-2678,2533,-9997,209,-11779,-2360,1,0,0,1,0,0,0,1,525,-132,-8557,-118,-281,-43
'2017-08-03 16:20:20.208,2,2,1,0,2,0,0,0,-2679,4269,-9855,-458,-12519,-3051,1,0,0,1,0,0,0,1,527,-151,-8550,-88,-178,-22
'2017-08-03 16:20:20.218,2,2,1,0,2,0,0,0,-3162,2572,-10532,-568,-13329,-4196,1,0,0,1,0,0,0,1,541,-127,-8524,-62,-83,-12
'2017-08-03 16:20:20.228,2,2,1,0,2,0,0,0,-2720,1390,-11122,185,-14433,-4794,0,0,0,1,0,0,0,1,566,-129,-8497,-56,-48,-10
'2017-08-03 16:20:20.238,2,2,1,0,2,0,0,0,-2416,2298,-11234,1363,-15880,-5167,0,0,0,1,0,0,0,1,555,-124,-8502,-32,-13,-6
'2017-08-03 16:20:20.248,2,2,1,0,2,0,0,0,-2588,2841,-11273,1858,-17624,-5780,0,0,0,1,0,0,0,1,560,-134,-8508,-4,20,0
'2017-08-03 16:20:20.258,2,2,1,0,2,0,0,0,-2745,2845,-11790,1097,-19400,-6465,0,0,0,1,0,0,0,1,532,-119,-8372,41,37,-3
'2017-08-03 16:20:20.268,2,2,1,0,2,0,0,0,-3541,3046,-13787,1281,-21457,-7014,0,0,0,1,0,0,0,1,337,-3,-8466,171,159,40
'2017-08-03 16:20:20.278,2,2,1,0,2,0,0,0,-2928,2297,-14686,-356,-23538,-7888,0,0,0,1,0,0,0,1,430,-7,-8622,340,449,127
'2017-08-03 16:20:20.288,2,2,1,0,2,0,0,0,-3327,1635,-17905,-506,-25973,-8371,1,0,0,1,0,0,0,1,433,22,-8744,461,791,236
'2017-08-03 16:20:20.298,2,2,1,0,2,0,0,0,-1988,3872,-17418,-2408,-27369,-8949,1,0,0,1,0,0,0,0,598,-46,-8698,469,989,357
'2017-08-03 16:20:20.308,2,1,1,0,2,0,0,0,-2507,9370,-19641,-7629,-29291,-9655,1,0,0,0,0,0,0,0,762,-174,-8689,366,1073,363
'2017-08-03 16:20:20.318,2,1,1,0,2,0,0,0,-4072,12527,-25123,-14879,-30672,-11678,1,0,0,0,0,0,0,0,729,-256,-8577,258,1034,291
'2017-08-03 16:20:20.328,2,1,1,0,1,0,0,0,-6546,10050,-32768,-21219,-31210,-16222,2,0,0,0,0,0,0,0,771,-224,-8509,101,932,271
'2017-08-03 16:20:20.338,2,0,1,0,1,0,0,0,321,5420,-31871,-18218,-31734,-18941,2,0,0,0,0,0,0,0,825,-250,-8351,-76,717,228
'2017-08-03 16:20:20.348,2,0,0,0,1,0,0,0,3714,6010,-32768,-14169,-29750,-22482,2,0,0,0,0,0,0,0,916,-273,-8199,-251,414,195
