시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 16:08:57.326,0,0,0,1,0,0,0,1,7991,3563,1278,21938,-20245,3402,0,0,0,1,0,0,0,1,-215,643,-8512,132,196,29
'2017-08-03 16:08:57.336,0,0,0,2,0,0,0,2,116,2193,-17222,6043,-18845,6636,0,0,0,1,0,0,0,1,-219,639,-8498,132,196,29
'2017-08-03 16:08:57.346,0,0,0,2,0,0,0,2,3884,-9385,-17430,5248,-20362,6741,0,0,0,1,0,0,0,1,-208,635,-8508,132,196,29
'2017-08-03 16:08:57.356,0,0,0,2,0,0,0,2,-4374,-6519,-22703,5472,-20018,2747,0,0,0,1,0,0,0,1,-221,629,-8537,132,196,29
'2017-08-03 16:08:57.366,0,0,0,2,0,0,0,2,-3058,-3041,-25919,1272,-16242,1733,0,0,0,1,0,0,0,1,-174,630,-8510,5,-9,43
'2017-08-03 16:08:57.376,0,0,0,2,0,0,0,2,-2506,-113,-20350,3110,-5801,-559,0,0,0,1,0,0,0,1,-145,606,-8482,-39,-42,7
'2017-08-03 16:08:57.386,0,0,0,2,0,0,0,2,-1760,821,-13847,-211,-2092,-1,0,0,0,1,0,0,0,1,-171,645,-8431,-68,-107,0
'2017-08-03 16:08:57.396,0,0,0,2,0,0,0,2,140,265,-9770,-297,-2334,158,0,0,0,1,0,0,0,1,-205,634,-8467,-86,-195,-8
'2017-08-03 16:08:57.406,0,0,0,2,0,0,0,2,-197,843,-8927,-275,-1939,-13,0,0,0,1,0,0,0,1,-175,626,-8501,-107,-242,-18
'2017-08-03 16:08:57.416,0,0,0,2,0,0,0,2,164,645,-8772,-112,-1373,147,0,0,0,1,0,0,0,1,-166,610,-8503,-124,-300,-28
'2017-08-03 16:08:57.426,0,0,0,2,0,0,1,2,12,708,-9073,-44,-971,65,0,0,0,1,0,0,0,1,-175,619,-8474,-129,-381,-28
'2017-08-03 16:08:57.436,0,0,0,2,0,0,1,2,200,730,-8979,84,-670,40,0,0,0,1,0,0,0,1,-209,658,-8472,-133,-459,-55
'2017-08-03 16:08:57.446,0,0,0,2,0,0,1,2,415,646,-8932,216,-810,-40,0,0,0,1,0,0,0,1,-294,625,-8487,-117,-463,-42
'2017-08-03 16:08:57.456,0,0,0,2,0,0,1,2,366,491,-8940,208,-1087,-105,0,0,0,1,0,0,0,1,-250,657,-8491,-139,-474,-25
'2017-08-03 16:08:57.466,0,0,0,2,0,0,1,2,384,363,-9071,-41,-1348,-91,0,0,0,1,0,0,0,1,-204,611,-8462,-165,-531,-62
'2017-08-03 16:08:57.476,0,0,0,2,0,0,1,2,388,246,-9008,-445,-1719,-94,0,0,0,1,0,0,0,1,-284,647,-8500,-203,-632,-84
'2017-08-03 16:08:57.486,0,0,0,2,0,0,1,2,430,328,-8940,-876,-2241,-56,0,0,0,1,0,0,0,1,-332,633,-8440,-228,-663,-49
'2017-08-03 16:08:57.496,0,0,0,2,0,0,1,2,356,514,-8770,-1109,-2738,-11,0,0,0,1,0,0,0,1,-330,674,-8441,-228,-698,-61
'2017-08-03 16:08:57.506,0,0,0,2,0,0,1,2,306,653,-8676,-1076,-3050,19,0,0,0,1,0,0,0,2,-279,674,-8484,-233,-728,-72
'2017-08-03 16:08:57.516,0,0,0,2,0,0,1,2,171,606,-8557,-628,-3278,133,0,0,0,1,0,0,0,2,-323,639,-8440,-245,-772,-87
'2017-08-03 16:08:57.526,0,0,0,2,0,0,1,2,163,695,-8520,-289,-3525,129,0,0,0,2,0,0,0,2,-333,682,-8458,-277,-779,-70
'2017-08-03 16:08:57.536,0,0,0,1,0,0,1,1,16,620,-8717,-154,-3830,37,0,0,0,2,0,0,0,2,-354,707,-8442,-319,-779,-88
'2017-08-03 16:08:57.546,0,0,0,1,0,0,1,1,-169,484,-8794,-49,-3943,31,0,0,0,2,0,0,0,2,-365,686,-8409,-322,-824,-116
'2017-08-03 16:08:57.556,1,0,0,1,0,0,1,0,-340,707,-8836,-96,-4047,86,0,0,0,2,0,0,0,2,-421,721,-8353,-333,-849,-138
'2017-08-03 16:08:57.566,1,0,1,0,0,1,1,0,-265,880,-8915,-394,-4185,-151,0,0,0,2,0,0,0,2,-437,701,-8417,-334,-847,-149
'2017-08-03 16:08:57.576,1,0,1,0,0,1,1,0,73,2405,-10617,-665,-4606,-819,0,0,0,2,0,0,0,2,-449,686,-8418,-344,-864,-146
'2017-08-03 16:08:57.586,1,1,1,0,0,1,1,0,-137,1141,-10027,551,-5872,-1262,0,0,0,2,0,0,0,2,-451,699,-8408,-384,-860,-147
'2017-08-03 16:08:57.596,1,2,2,0,1,1,1,0,-658,675,-8494,352,-5934,-1816,0,0,0,2,0,0,0,2,-555,727,-8349,-399,-816,-143
'2017-08-03 16:08:57.606,2,2,2,0,1,1,1,0,-986,235,-9150,433,-5827,-1303,0,0,0,2,0,0,0,2,-596,808,-8408,-349,-661,-128
'2017-08-03 16:08:57.616,2,2,2,0,1,2,0,0,-1055,869,-8199,610,-5926,-1642,0,0,0,2,0,0,0,2,-548,738,-8375,-284,-535,-110
'2017-08-03 16:08:57.626,2,2,2,0,2,2,0,0,-1017,960,-9791,770,-5402,-1488,0,0,0,2,0,0,0,2,-745,847,-8354,-214,-304,-89
'2017-08-03 16:08:57.636,2,2,2,0,2,2,0,0,-921,583,-10221,657,-6072,-1695,0,0,0,2,0,0,0,2,-681,865,-8510,16,7,-26
'2017-08-03 16:08:57.646,2,2,2,0,2,2,0,0,-931,626,-10820,1078,-6827,-1727,0,0,0,2,0,0,0,2,-398,645,-8591,127,98,14
'2017-08-03 16:08:57.656,2,2,2,0,2,2,0,0,-1161,1185,-11065,1299,-7695,-1797,0,0,0,2,0,0,1,2,-628,738,-8504,195,216,44
'2017-08-03 16:08:57.666,2,2,2,0,2,1,0,0,-1189,1583,-11613,1577,-8988,-2017,0,0,0,2,0,0,1,2,-505,782,-8694,344,554,93
'2017-08-03 16:08:57.676,2,2,2,0,2,1,0,0,-1377,2164,-12056,1902,-10503,-2362,0,0,0,2,0,0,1,2,-462,603,-8845,405,719,121
'2017-08-03 16:08:57.686,2,2,2,0,2,1,0,0,-1823,1111,-12691,1806,-11931,-2751,0,0,0,2,0,0,1,2,-529,738,-8751,356,966,112
'2017-08-03 16:08:57.696,2,2,2,0,2,1,0,0,-1442,347,-13497,1569,-13448,-2715,0,0,1,2,0,0,1,2,-513,671,-8741,410,1158,118
'2017-08-03 16:08:57.706,2,2,2,0,2,1,0,0,-1394,74,-14575,1501,-15271,-2713,1,0,1,2,0,0,1,2,-469,663,-8704,340,1267,134
'2017-08-03 16:08:57.716,2,2,2,0,2,0,0,0,-992,916,-15322,1918,-17410,-2747,1,0,1,2,0,0,1,2,-400,700,-8623,337,1315,137
'2017-08-03 16:08:57.726,2,2,2,0,2,0,0,0,-1079,1194,-14606,1860,-19682,-3045,1,0,2,2,0,0,1,2,-336,678,-8597,330,1297,149
'2017-08-03 16:08:57.736,2,2,2,0,2,0,0,0,-941,1790,-14162,2033,-22224,-3379,1,0,2,2,0,0,2,2,-310,655,-8557,285,1226,133
'2017-08-03 16:08:57.746,2,2,2,0,2,0,0,0,-622,3717,-14973,2594,-25322,-4019,2,0,2,2,0,0,2,2,-319,649,-8529,183,1138,140
'2017-08-03 16:08:57.756,2,2,2,0,2,0,0,0,-1006,5826,-17007,3316,-28987,-5726,2,0,2,2,0,0,2,2,-265,626,-8498,123,1059,133
'2017-08-03 16:08:57.766,2,2,2,0,2,0,0,0,-2061,7191,-21508,4851,-32640,-7971,2,0,2,2,0,0,2,2,-229,620,-8464,3,942,124
'2017-08-03 16:08:57.776,2,2,2,0,2,0,0,0,-5674,7908,-30105,4720,-32745,-9877,2,1,2,1,0,0,2,1,-222,604,-8444,-91,835,111
'2017-08-03 16:08:57.786,2,2,2,0,2,0,0,0,-6478,13637,-31773,1370,-32768,-10421,2,1,2,1,0,0,2,1,-192,651,-8458,-155,723,78
'2017-08-03 16:08:57.796,2,2,2,0,1,0,0,0,-2688,13705,-32768,-9898,-32768,-13225,2,1,2,1,0,0,2,1,-202,673,-8491,-201,632,70
'2017-08-03 16:08:57.806,2,1,1,0,1,0,0,0,-9802,9092,-32758,-16759,-32768,-15502,2,1,2,1,0,0,2,1,-177,689,-8508,-221,579,67
'2017-08-03 16:08:57.816,2,0,1,0,0,0,0,0,6643,7973,-32768,-14988,-32768,-19442,2,1,2,1,1,0,2,1,-149,692,-8457,-258,527,45
'2017-08-03 16:08:57.826,1,0,0,0,0,0,0,0,23784,11955,-32659,-10349,-32768,-23517,2,1,2,1,1,0,2,1,-165,663,-8489,-291,463,51
'2017-08-03 16:08:57.836,0,0,0,0,0,0,0,0,16818,-1653,9005,4360,-28314,-22674,2,1,2,1,1,0,2,1,-142,690,-8414,-356,385,49
'2017-08-03 16:08:57.846,0,0,0,0,0,0,0,0,19513,12822,-17462,7955,-14002,-12217,2,1,2,1,1,1,2,1,-109,692,-8443,-410,321,36
'2017-08-03 16:08:57.856,0,0,0,0,0,0,0,0,11045,12403,-21015,2679,8417,-3710,2,1,2,1,1,1,2,1,-127,718,-8449,-422,248,33
'2017-08-03 16:08:57.866,0,0,0,0,0,0,0,0,12148,4047,-17095,3704,16809,4303,2,0,2,1,1,1,2,1,-112,758,-8430,-406,183,21
'2017-08-03 16:08:57.876,0,0,0,0,0,0,0,0,12582,4042,-9781,8224,18482,7354,2,0,2,1,1,1,2,1,-129,744,-8453,-369,152,31
'2017-08-03 16:08:57.886,0,0,0,0,0,0,0,0,9254,7583,-8466,8361,17734,8138,2,0,2,1,1,1,2,1,-149,807,-8524,-329,211,34
'2017-08-03 16:08:57.896,0,0,0,0,0,0,0,0,8793,9919,-7244,2706,17996,7601,2,0,1,1,1,1,2,1,-132,781,-8570,-304,306,57
'2017-08-03 16:08:57.906,0,0,0,0,0,0,0,0,8841,7010,-7013,-5090,19415,5994,2,0,1,1,1,1,2,1,-151,795,-8581,-269,437,80
'2017-08-03 16:08:57.916,0,0,0,0,0,0,0,0,7879,2081,-8160,-9118,21380,5112,2,0,1,1,1,1,2,1,-125,801,-8598,-227,531,90
'2017-08-03 16:08:57.926,0,0,0,0,0,0,0,0,6910,-1323,-9148,-8359,23538,5206,2,0,1,1,1,1,2,1,-101,765,-8482,-178,628,98
