시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 15:59:55.532,0,0,0,0,0,0,0,0,-13420,5029,-21884,-4681,24066,6538,1,0,1,1,0,0,1,1,-170,627,-8413,12,12,34
'2017-08-03 15:59:55.542,0,0,0,0,0,0,0,0,-17840,3377,-21474,-5882,22363,4496,1,0,1,1,0,0,1,1,-177,666,-8394,12,12,34
'2017-08-03 15:59:55.552,0,0,0,0,0,0,0,0,-22354,1848,-19966,-5452,20235,2655,1,0,1,1,0,0,1,1,-169,664,-8434,12,12,34
'2017-08-03 15:59:55.562,0,0,0,0,0,0,0,0,-26688,1249,-16965,-4210,17683,1357,1,0,1,1,0,0,1,1,-190,670,-8433,12,12,34
'2017-08-03 15:59:55.572,0,0,0,0,0,0,0,0,-30767,1250,-13565,-3279,14613,424,1,0,1,1,0,0,0,1,-199,677,-8466,12,12,34
'2017-08-03 15:59:55.582,0,0,0,0,0,0,0,0,-32767,840,-9964,-3388,10921,-563,0,0,1,1,0,0,0,1,-210,626,-8478,-44,-286,-12
'2017-08-03 15:59:55.592,0,0,0,0,0,0,0,0,-32754,-20,-7806,-3892,6898,-1718,0,0,1,1,0,0,0,1,-209,661,-8478,0,-293,-9
'2017-08-03 15:59:55.602,0,0,0,0,0,0,0,0,-32767,-1844,-7109,-4186,2884,-2720,0,0,1,1,0,0,0,1,-215,641,-8475,-9,-307,-10
'2017-08-03 15:59:55.612,0,0,0,0,0,0,0,0,-32767,-4449,-6756,-3753,-821,-3006,0,0,1,1,0,0,0,1,-248,641,-8480,-20,-323,-13
'2017-08-03 15:59:55.622,0,0,0,0,0,0,0,0,-32180,-8796,-5184,-1800,-4406,-2216,0,0,1,1,0,0,0,1,-236,644,-8465,-31,-349,-22
'2017-08-03 15:59:55.632,0,0,0,0,0,0,0,0,-6914,2991,-5568,14317,-18082,2144,0,0,1,1,0,0,0,1,-248,612,-8419,-49,-385,-25
'2017-08-03 15:59:55.642,0,0,0,1,0,0,0,1,2963,1406,-11700,12059,-16669,1835,0,0,1,1,0,0,0,1,-234,633,-8430,-54,-415,-24
'2017-08-03 15:59:55.652,0,0,0,1,0,0,0,2,3504,-21,-2734,6714,-18040,4448,0,0,1,1,0,0,0,1,-269,602,-8422,-73,-444,-28
'2017-08-03 15:59:55.662,0,0,0,2,0,0,0,2,-1966,-5320,-13556,5773,-21804,3537,0,0,1,1,0,0,0,1,-294,627,-8439,-78,-488,-40
'2017-08-03 15:59:55.672,0,0,0,2,0,0,0,2,-2412,-2166,-13446,2515,-20666,2082,0,0,1,1,0,0,0,1,-275,631,-8428,-109,-502,-40
'2017-08-03 15:59:55.682,0,0,0,2,0,0,0,2,-4432,-4379,-30159,1949,-18584,908,0,0,1,1,0,0,0,1,-295,629,-8399,-107,-569,-50
'2017-08-03 15:59:55.692,0,0,0,2,0,0,0,2,-3815,1990,-18252,1131,-3848,-817,0,0,0,2,0,0,0,2,-287,621,-8398,-141,-629,-52
'2017-08-03 15:59:55.702,0,0,0,2,0,0,0,2,-2777,532,-11413,135,1896,-275,0,0,0,2,0,0,0,2,-343,633,-8378,-147,-708,-53
'2017-08-03 15:59:55.712,0,0,0,2,0,0,0,2,1121,436,-10557,335,43,451,0,0,0,2,0,0,0,2,-362,647,-8414,-163,-797,-61
'2017-08-03 15:59:55.722,0,0,0,2,0,0,1,2,231,340,-9147,-102,-1946,234,0,0,0,2,0,0,0,2,-360,604,-8405,-204,-846,-69
'2017-08-03 15:59:55.732,0,0,0,2,0,0,1,2,-158,384,-8504,-705,-1673,226,0,0,0,2,0,0,0,2,-399,601,-8376,-227,-905,-62
'2017-08-03 15:59:55.742,0,0,0,2,0,0,1,2,44,976,-8286,-735,-1181,180,0,0,0,2,0,0,0,2,-408,626,-8408,-279,-966,-73
